股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
002868.SZ,*ST绿康,40.0,2.485267742761975,涨停,3,0, 09:30:00, 09:30:00,土地收储+POE胶膜+ST保壳,,,,33,002868
002922.SZ,伊戈尔,36.69,3.003930376193151,涨停,1,0, 09:39:02, 09:39:02,数据中心+变压器+海外工厂,,,,33,002922
002929.SZ,润建股份,45.33,0.9127337488869024,涨停,1,0, 13:09:15, 13:33:38,算力出海+阿里合作+AI机器人,,,,33,002929
002931.SZ,锋龙股份,46.42,9.999999999999996,涨停,9,0, 09:30:00, 09:30:00,优必选拟入主+机器人+园林机械+业绩大增,,,,33,002931
003004.SZ,*ST声迅,26.3,1.387818041634539,涨停,3,0, 09:30:00, 14:53:21,ST板块+安检+语音技术+亏损收窄,,,,33,003004
003031.SZ,中瓷电子,83.3,3.3114225474389207,涨停,1,0, 11:01:39, 11:01:39,光模块+电子陶瓷+SiC芯片+央企,,,,33,003031
300200.SZ,高盟新材,15.06,3.434065934065934,涨停,1,0, 09:50:32, 13:48:13,光刻胶+新能源胶+航空航天+聚氨酯龙头,,,,33,300200
300290.SZ,荣科科技,21.03,-8.565217391304342,跌停,0,1,,,, 09:30:00, 13:05:53,超聚变正式启动上市辅导+大宗折价+业绩亏损,33,300290
300346.SZ,南大光电,57.2,3.641964123935505,涨停,1,0, 11:02:39, 14:56:38,光刻胶+存储芯片+收购股权,,,,33,300346
300986.SZ,志特新材,22.55,16.7184265010352,涨停,3,0, 11:01:39, 11:02:24,AI应用+量子科技+机器人+外销,,,,33,300986
301079.SZ,邵阳液压,47.54,15.025405274618924,涨停,1,0, 11:03:54, 11:10:54,拟收购新承航锐+商业航天+液压龙头,,,,33,301079
301213.SZ,观想科技,85.6,3.30678252474052,涨停,1,0, 09:30:00, 09:30:00,拟收购辽晶电子+军工电子+AI军工,,,,33,301213
301256.SZ,华融化学,17.8,2.771362586605083,涨停,1,0, 09:37:32, 09:37:32,电子化学品+半导体客户+氢氧化钾,,,,33,301256
301363.SZ,美好医疗,42.3,1.7805582290663977,涨停,3,0, 09:30:00, 13:08:43,脑机接口+机器人+呼吸机+人工耳蜗,,,,33,301363
600053.SH,九鼎投资,22.0,2.0408163265306185,涨停,1,0, 09:47:47, 10:02:17,人形机器人+六维力传感器+私募股权投资,,,,17,600053
600135.SH,乐凯胶片,11.28,-2.4221453287197328,涨停,1,0, 13:49:20, 14:17:02,航天系+锂电池隔膜+TAC膜+工业胶片,,,,17,600135
600198.SH,大唐电信,11.25,4.748603351955305,涨停,1,0, 09:42:32, 09:42:32,低轨卫星+安全芯片+央企,,,,17,600198
600266.SH,城建发展,7.01,3.8518518518518485,涨停,4,0, 09:30:00, 09:44:17,商业航天+北京国资+房地产,,,,17,600266
600289.SH,ST信通,7.09,0.7102272727272702,涨停,1,0, 13:44:25, 14:35:48,涉诉和解+AI智算+ST板块,,,,22,600289
600337.SH,美克家居,4.27,10.05154639175257,涨停,3,0, 09:30:00, 09:30:00,拟收购万德溙+高速互连+AI智家,,,,17,600337
600403.SH,大有能源,8.1,2.9224904701397656,涨停,1,0, 13:58:28, 13:58:28,焦煤期货涨停+煤炭开采+河南国资,,,,17,600403
600408.SH,安泰集团,4.78,5.0549450549450645,涨停,1,0, 11:20:14, 13:32:52,焦煤涨停+焦炭受托加工+循环经济,,,,17,600408
600435.SH,北方导航,20.0,0.9081735620585253,涨停,2,0, 09:35:47, 09:35:47,卫星通信+军工制导+央企,,,,17,600435
600475.SH,华光环能,21.36,2.103250478011461,涨停,1,0, 13:31:19, 13:44:56,氢能装备+无锡国资+热电运营,,,,17,600475
600525.SH,ST长园,4.11,1.7326732673267398,涨停,1,0, 10:06:17, 11:27:31,电网设备+储能+新能源合同+ST板块,,,,22,600525
600599.SH,*ST熊猫,8.54,-5.005561735261414,跌停,0,1,,,, 10:00:32, 10:00:32,证监会立案+退市风险+司法拍卖进展,22,600599
600637.SH,东方明珠,11.68,6.085376930063578,涨停,1,0, 09:34:17, 09:57:17,参投超聚变+MiniMax合作+文旅地标+上海国资,,,,17,600637
600673.SH,东阳光,26.85,0.0,涨停,1,0, 13:20:14, 13:50:35,液冷+AI算力+制冷剂+人形机器人,,,,17,600673
600721.SH,百花医药,9.92,-9.981851179673319,跌停,0,1,,,, 09:30:00, 09:30:00,终止控制权变更+复牌补跌+停牌前涨幅较大,17,600721
600735.SH,ST新华锦,5.78,5.090909090909095,涨停,3,0, 09:30:00, 09:30:00,机器人+石墨新材料+发制品出口+ST摘帽预期,,,,22,600735
600775.SH,南京熊猫,17.0,4.551045510455094,涨停,3,0, 09:30:00, 09:30:00,脑机接口+卫星通信+智能制造+央企,,,,17,600775
600783.SH,鲁信创投,29.63,9.98515219005196,涨停,2,0, 09:30:00, 09:30:00,蓝箭航天IPO+人工智能基金+山东国资,,,,17,600783
600869.SH,远东股份,10.44,5.135951661631418,涨停,2,0, 09:46:32, 09:49:47,AI芯片供应链+人形机器人+智慧机场,,,,17,600869
601015.SH,陕西黑猫,4.18,2.7027027027026884,涨停,1,0, 11:27:46, 13:55:41,焦炭+煤化工+循环经济,,,,17,601015
601106.SH,中国一重,4.92,10.067114093959736,涨停,1,0, 09:46:02, 09:46:02,核电+金属镍+央企,,,,17,601106
601179.SH,中国西电,10.59,0.0,涨停,1,0, 09:39:17, 09:39:17,特高压中标+可控核聚变+央企,,,,17,601179
601399.SH,国机重装,5.74,4.174228675136124,涨停,1,0, 09:50:17, 13:48:48,可控核聚变+核电装备+央企+极限制造,,,,17,601399
601611.SH,中国核建,16.35,6.237816764132559,涨停,1,0, 09:48:47, 09:48:47,可控核聚变+核电建造+央企,,,,17,601611
603015.SH,弘讯科技,15.55,9.971711456859971,涨停,1,0, 09:43:17, 09:43:17,可控核聚变+注塑机控制+芯片概念,,,,17,603015
603028.SH,赛福天,9.61,-0.9278350515463903,涨停,1,0, 10:00:32, 14:46:42,人形机器人+光伏+特种钢丝绳,,,,17,603028
