name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,4031.54,4036.59,4031.54,427946100.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-07-10 09:25:06,-5.05,-0.13,4031.54,4031.54,4031.54/4279461/13614469610,427946100,13614470000.0,0.0,17.84,,4031.54,4031.54,0.0,625163.55,676557.18,0.0,-1.0,-1.0,0.0,0.0,4031.54,,
深证成指,sz399001,15480.41,15398.73,15480.41,637009900.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-07-10 09:25:03,81.68,0.53,15480.41,15480.41,15480.41/6370099/15704804204,637009900,15704800000.0,0.03,50.05,,15480.41,15480.41,0.0,403658.85,473516.51,0.0,-1.0,-1.0,0.0,0.0,15480.41,,
创业板指,sz399006,4041.86,4018.17,4041.86,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-07-10 09:25:03,23.69,0.59,4041.86,4041.86,4041.86/0/0,0,0.0,0.03,70.05,,4041.86,4041.86,0.0,167366.73,206316.92,0.0,-1.0,-1.0,0.0,0.0,0.0,,
