name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,85.81,86.3,85.81,12700.0,85.81,400,85.89,1500,-0.57,85.81,85.81,12700,1090000.0,0.06,0.0,19.3,95.82,103.56,69.04,0.0
锡华科技,sh603248,26.33,26.23,26.33,22900.0,26.24,1600,26.33,100,0.38,26.33,26.33,22900,600000.0,0.03,0.0,18.25,121.12,28.85,23.61,0.0
天溯计量,sz301449,61.95,62.06,61.95,6500.0,61.9,100,61.95,1200,-0.18,61.95,61.95,6500,400000.0,0.05,0.0,8.62,40.4,74.47,49.65,0.0
美埃科技,sh688376,70.0,70.3,70.0,2370000.0,70.0,1000,70.3,900,-0.43,70.0,70.0,2370000,1660000.0,0.02,0.0,94.68,94.68,84.36,56.24,0.0
同飞股份,sz300990,81.51,81.95,81.51,19300.0,81.5,1000,81.78,300,-0.54,81.51,81.51,19300,1570000.0,0.02,0.0,63.39,139.56,98.34,65.56,0.0
中光防雷,sz300414,11.92,11.93,11.92,5800.0,11.92,700,12.0,8500,-0.08,11.92,11.92,5800,70000.0,0.0,0.0,37.37,38.86,14.32,9.54,0.0
苏州天脉,sz301626,316.18,316.66,316.18,6500.0,316.18,1800,317.1,300,-0.15,316.18,316.18,6500,2060000.0,0.01,0.0,166.37,365.76,379.99,253.33,0.0
ST名家汇,sz300506,4.56,4.6,4.56,22500.0,4.55,3400,4.56,91800,-0.87,4.56,4.56,22500,100000.0,0.0,0.0,33.5,65.01,5.52,3.68,0.0
森赫股份,sz301056,12.78,12.87,12.78,46300.0,12.78,4300,12.97,1500,-0.7,12.78,12.78,46300,590000.0,0.03,0.0,22.49,34.1,15.44,10.3,0.0
宏达电子,sz300726,79.98,79.92,79.98,978500.0,79.97,200,79.98,8900,0.08,79.98,79.98,978500,78260000.0,0.46,0.0,171.51,329.39,95.9,63.94,0.0
宏源药业,sz301246,29.61,29.59,29.61,94100.0,29.59,15200,29.61,300,0.07,29.61,29.61,94100,2790000.0,0.06,0.0,50.36,118.44,35.51,23.67,0.0
华盛锂电,sh688353,81.9,81.62,81.9,859300.0,81.6,500,81.9,300,0.34,81.9,81.9,859300,700000.0,0.01,0.0,130.63,130.63,97.94,65.3,0.0
鼎泰高科,sz301377,408.5,408.52,408.5,50700.0,408.12,100,408.5,100,-0.0,408.5,408.5,50700,20710000.0,0.05,0.0,403.85,1680.62,490.22,326.82,0.0
