股票代码,股票简称,最高价,收盘价,涨跌幅,成交额,涨停价,跌停价
601966,玲珑轮胎,14.88,14.88,0.95,294099870.63,16.21,13.27
300553,集智股份,47.85,46.8,0.95,608732570.0,55.63,37.09
003030,祖名股份,20.27,20.24,0.95,44639593.0,22.06,18.05
000506,招金黄金,14.28,13.86,0.95,527656050.0,15.1,12.36
301180,万祥科技,18.46,18.15,0.95,94596209.0,21.58,14.38
601218,吉鑫科技,5.35,5.35,0.94,223165655.28,5.83,4.77
601696,中银证券,15.05,14.99,0.94,1472941146.23,16.34,13.37
601686,友发集团,6.45,6.43,0.94,66511636.0,7.01,5.73
601020,华钰矿业,30.66,30.01,0.94,1517096491.67,32.7,26.76
000507,珠海港,5.37,5.36,0.94,80505897.0,5.84,4.78
000860,顺鑫农业,15.02,15.01,0.94,161066950.0,16.36,13.38
688739,成大生物,26.92,26.85,0.94,77792474.78,31.92,21.28
688667,菱电电控,73.49,73.08,0.94,82147358.74,86.88,57.92
300219,鸿利智汇,7.55,7.53,0.94,231036590.0,8.95,5.97
600020,中原高速,4.31,4.31,0.94,65939992.75,4.7,3.84
605286,同力天启,43.2,43.11,0.94,114036943.85,46.98,38.44
603901,永创智能,15.21,15.11,0.94,248430903.15,16.47,13.47
600612,老凤祥,46.74,46.43,0.93,175839550.24,50.6,41.4
300610,晨化股份,12.05,11.95,0.93,53844618.0,14.21,9.47
301151,冠龙节能,19.65,19.61,0.93,37840210.0,23.32,15.54
601096,宏盛华源,4.38,4.36,0.93,114505563.4,4.75,3.89
688480,赛恩斯,68.21,66.5,0.93,221102641.28,79.07,52.71
600559,老白干酒,16.37,16.37,0.92,260449331.64,17.84,14.6
000966,长源电力,4.37,4.37,0.92,108208245.0,4.76,3.9
002965,祥鑫科技,42.87,42.66,0.92,487142410.0,46.5,38.04
688606,奥泰生物,65.85,65.7,0.92,34980336.18,78.12,52.08
000572,海马汽车,7.85,7.69,0.92,1214521050.0,8.38,6.86
600527,江南高纤,2.2,2.2,0.92,113818882.32,2.4,1.96
001319,铭科精技,27.64,27.5,0.92,127675817.0,29.98,24.53
688265,南模生物,47.38,47.3,0.92,74618213.75,56.24,37.5
600587,新华医疗,16.61,16.5,0.92,527182787.55,17.99,14.72
301092,争光股份,38.69,38.56,0.92,139361020.0,45.85,30.57
603773,沃格光电,37.73,37.51,0.91,576698538.42,40.89,33.45
