name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,95.21,95.53,95.21,157100.0,95.21,5100,95.51,5600,-0.33,95.21,95.21,157100,14960000.0,0.7,0.0,21.42,106.32,114.64,76.42,0.0
锡华科技,sh603248,26.99,28.8,26.99,331100.0,26.99,4200,27.0,6400,-6.28,26.99,26.99,331100,8940000.0,0.48,0.0,18.71,124.15,31.68,25.92,0.0
天溯计量,sz301449,78.01,81.6,78.01,47200.0,78.01,4700,78.95,400,-4.4,78.01,78.01,47200,3680000.0,0.34,0.0,10.85,50.88,97.92,65.28,0.0
美埃科技,sh688376,60.73,64.73,60.73,3740100.0,60.18,700,60.73,53700,-6.18,60.73,60.73,3740100,2270000.0,0.03,0.0,82.14,82.14,77.68,51.78,0.0
同飞股份,sz300990,81.23,84.0,81.23,40100.0,81.23,0,82.0,5900,-3.3,81.23,81.23,40100,3260000.0,0.05,0.0,62.65,138.56,100.8,67.2,0.0
中光防雷,sz300414,13.2,13.51,13.2,137400.0,13.2,1900,13.21,1000,-2.29,13.2,13.2,137400,1810000.0,0.04,0.0,41.39,43.03,16.21,10.81,0.0
苏州天脉,sz301626,237.0,247.0,237.0,50300.0,237.0,800,238.0,3400,-4.05,237.0,237.0,50300,11920000.0,0.1,0.0,124.71,274.16,296.4,197.6,0.0
ST名家汇,sz300506,4.9,4.99,4.9,26900.0,4.88,1200,4.9,6700,-1.8,4.9,4.9,26900,130000.0,0.0,0.0,36.0,69.85,5.99,3.99,0.0
森赫股份,sz301056,14.15,14.33,14.15,2400.0,14.15,1300,14.18,600,-1.26,14.15,14.15,2400,30000.0,0.0,0.0,24.9,37.75,17.2,11.46,0.0
宏达电子,sz300726,43.7,44.52,43.7,73200.0,43.68,6700,43.8,1000,-1.84,43.7,43.7,73200,3200000.0,0.03,0.0,93.71,179.97,53.42,35.62,0.0
宏源药业,sz301246,19.77,20.1,19.77,39200.0,19.76,400,19.77,1200,-1.64,19.77,19.77,39200,770000.0,0.02,0.0,33.62,79.08,24.12,16.08,0.0
华盛锂电,sh688353,100.02,103.53,100.02,2997400.0,100.02,700,100.42,200,-3.39,100.02,100.02,2997400,3000000.0,0.02,0.0,159.53,159.53,124.24,82.82,0.0
鼎泰高科,sz301377,173.87,177.59,173.87,28100.0,173.54,100,174.03,100,-2.09,173.87,173.87,28100,4890000.0,0.04,0.0,123.49,712.87,213.11,142.07,0.0
腾景科技,sh688195,225.39,234.11,225.39,12380100.0,225.39,2200,228.43,1300,-3.72,225.39,225.39,12380100,27900000.0,0.1,0.0,291.54,291.54,280.93,187.29,0.0
珂玛科技,sz301611,96.16,97.61,96.16,93400.0,96.16,3800,96.3,100,-1.49,96.16,96.16,93400,8980000.0,0.06,0.0,140.95,419.26,117.13,78.09,0.0
新诺威,sz300765,30.08,30.16,30.08,49600.0,30.08,300,30.1,1500,-0.27,30.08,30.08,49600,1490000.0,0.0,0.0,422.5,422.5,36.19,24.13,0.0
安达智能,sh688125,229.56,231.27,229.56,110000.0,222.0,200,229.56,600,-0.74,229.56,229.56,110000,250000.0,0.0,0.0,187.53,188.53,277.52,185.02,0.0
杰华特,sh688141,44.3,45.01,44.3,8680900.0,44.03,300,44.3,9300,-1.58,44.3,44.3,8680900,3850000.0,0.02,0.0,199.49,199.49,54.01,36.01,0.0
铜冠铜箔,sz301217,37.01,37.83,37.01,180300.0,37.01,1200,37.18,300,-2.17,37.01,37.01,180300,6670000.0,0.02,0.0,306.82,306.82,45.4,30.26,0.0
海科新源,sz301292,61.0,63.76,61.0,223400.0,61.0,5100,61.73,4600,-4.33,61.0,61.0,223400,13630000.0,0.26,0.0,51.89,135.91,76.51,51.01,0.0
奕东电子,sz301123,52.0,53.5,52.0,51300.0,51.99,500,52.0,12200,-2.8,52.0,52.0,51300,2670000.0,0.02,0.0,121.47,122.01,64.2,42.8,0.0
安通控股,sh600179,4.29,4.34,4.29,324800.0,4.28,25600,4.29,101000,-1.15,4.29,4.29,324800,1390000.0,0.01,0.0,165.69,181.53,4.77,3.91,0.0
华联控股,sz000036,4.76,4.82,4.76,232500.0,4.76,12200,4.77,4800,-1.24,4.76,4.76,232500,1110000.0,0.02,0.0,66.69,66.82,5.3,4.34,0.0
滨海能源,sz000695,12.91,13.08,12.91,122800.0,12.91,2500,12.93,2600,-1.3,12.91,12.91,122800,1590000.0,0.06,0.0,28.64,29.92,14.39,11.77,0.0
嘉美包装,sz002969,26.12,27.46,26.12,1031700.0,26.12,25000,26.14,100,-4.88,26.12,26.12,1031700,26950000.0,0.09,0.0,285.31,286.93,30.21,24.71,0.0
联发股份,sz002394,14.0,14.26,14.0,83500.0,13.96,200,14.0,22400,-1.82,14.0,14.0,83500,1170000.0,0.03,0.0,45.26,45.32,15.69,12.83,0.0
海汽集团,sh603069,17.69,18.07,17.69,50000.0,17.69,9200,17.7,5500,-2.1,17.69,17.69,50000,880000.0,0.02,0.0,55.9,55.9,19.88,16.26,0.0
胜通能源,sz001331,52.14,52.13,52.14,113400.0,52.14,1300,52.27,1500,0.02,52.14,52.14,113400,5910000.0,0.07,0.0,87.53,147.16,57.34,46.92,0.0
海南瑞泽,sz002596,3.74,3.8,3.74,166100.0,3.73,500,3.74,478100,-1.58,3.74,3.74,166100,620000.0,0.01,0.0,42.88,42.92,4.18,3.42,0.0
多氟多,sz002407,25.69,26.12,25.69,359800.0,25.68,3300,25.69,16000,-1.65,25.69,25.69,359800,9240000.0,0.03,0.0,277.59,305.82,28.73,23.51,0.0
章源钨业,sz002378,33.31,33.73,33.31,1052300.0,33.31,37000,33.33,12500,-1.25,33.31,33.31,1052300,35050000.0,0.09,0.0,398.09,400.19,37.1,30.36,0.0
神剑股份,sz002361,10.86,11.23,10.86,367300.0,10.85,2900,10.86,39800,-3.29,10.86,10.86,367300,3990000.0,0.05,0.0,87.87,103.28,12.35,10.11,0.0
圣晖集成,sh603163,103.18,109.92,103.18,39000.0,103.13,1000,103.18,4800,-6.13,103.18,103.18,39000,4020000.0,0.04,0.0,103.18,103.18,120.91,98.93,0.0
万润股份,sz002643,15.3,15.66,15.3,175900.0,15.3,15000,15.31,4100,-2.3,15.3,15.3,175900,2690000.0,0.02,0.0,139.12,141.21,17.23,14.09,0.0
快克智能,sh603203,36.0,36.79,36.0,26300.0,36.0,1400,36.1,1000,-2.15,36.0,36.0,26300,950000.0,0.01,0.0,89.7,91.32,40.47,33.11,0.0
海南发展,sz002163,12.63,12.9,12.63,254400.0,12.62,800,12.63,1500,-2.09,12.63,12.63,254400,3210000.0,0.03,0.0,101.49,106.72,14.19,11.61,0.0
宏和科技,sh603256,62.7,64.1,62.7,133000.0,62.7,13100,62.82,200,-2.18,62.7,62.7,133000,8340000.0,0.02,0.0,551.59,567.18,70.51,57.69,0.0
