股票代码,market_code,code,涨停原因类别[20260331]
600528.SH,17,600528,轨道交通+盾构机龙头+中字头
002168.SZ,33,002168,申请撤销退市风险警示+充电桩+地方国资
600066.SH,17,600066,年报高增+出口新能源+高股息
600599.SH,22,600599,
603657.SH,17,603657,清洁电器+机器人订单+小米客户
000638.SZ,33,000638,
000913.SZ,33,000913,大排量摩托+出口增长+吉利系
605299.SH,17,605299,足球概念+体育产业+健身器材+外销
000927.SZ,33,000927,年报增长+铁路物流+一带一路+央企
000711.SZ,33,000711,
605116.SH,17,605116,司美格鲁肽+创新药+欧盟出口
002565.SZ,33,002565,太空算力+增资轨道辰光+环保纸
000592.SZ,33,000592,海峡两岸+福建自贸区+林木主业
002995.SZ,33,002995,AI营销+抖音概念+持股中书艺莲+VR文旅
000720.SZ,33,000720,电缆+光纤+实控人中国华能+央企
600355.SH,22,600355,
600894.SH,17,600894,高股息+智慧楼宇+电梯+机器人
002821.SZ,33,002821,年报增长+创新药CDMO+境外订单
002580.SZ,33,002580,算力储能+固态电池+山东国资
002542.SZ,33,002542,盾构机+岩土工程+低空经济+成都国资
600502.SH,17,600502,年报增长+基建龙头+低空经济+国企改革
301048.SZ,33,301048,轨交装备+央企
000030.SZ,33,000030,汽车零部件+电控减振器+低空经济+吉林国资
000908.SZ,33,000908,
002263.SZ,33,002263,特高压电容膜+光伏背板膜+算电协同应用潜力+国企改革
000070.SZ,33,000070,光纤涨价+CPO+深圳国资
600495.SH,17,600495,轨交设备+高铁车轴+央企增持
600982.SH,17,600982,
002578.SZ,33,002578,铝型材+光伏铝材+国企改革
000691.SZ,33,000691,
000678.SZ,33,000678,机器人轴承+汽车轴承+军工轴承+湖北国资
600184.SH,17,600184,光纤概念+人形机器人+军工装备+央企
001239.SZ,33,001239,盾构机+深地经济+风电
002342.SZ,33,002342,商业航天+深海系泊+索具龙头
301255.SZ,33,301255,齿轮减速机+机器人+锂电设备
603660.SH,17,603660,卫星+低空经济+音视频产品
603559.SH,22,603559,ST摘帽预期+通信工程+重整完成
000037.SZ,33,000037,电力+储能+业绩预增
600488.SH,17,600488,创新药+原料药+出口
000609.SZ,33,000609,
603429.SH,22,603429,固态电池+烟草包装+ST摘帽博弈
002560.SZ,33,002560,年报高增+特高压线缆+航空零部件+机器人电缆
600136.SH,22,600136,
603813.SH,22,603813,
002800.SZ,33,002800,煤炭运输+航空物流+跨境电商+一带一路
002634.SZ,33,002634,TOPCon电池+无缝服装外销+预重整推进
301079.SZ,33,301079,拟收购新承航锐+商业航天+液压龙头
002361.SZ,33,002361,商业航天+无人机+聚酯树脂+地方国资
301008.SZ,33,301008,间接投资张雪机车+人形机器人+减速器
003033.SZ,33,003033,张雪机车合作+微型链+灵巧手
002082.SZ,33,002082,创新药+一季报预增+阿尔茨海默
600238.SH,22,600238,
000004.SZ,33,000004,
605162.SH,17,605162,热电联产+储能+回购
002454.SZ,33,002454,年报增长+小鹏汇天+储能热管理+移动式热管理
600158.SH,17,600158,体育产业+彩票概念+央企背景
000008.SZ,33,000008,高铁+轨交机器人+锂电池+央企
605081.SH,22,605081,
000608.SZ,33,000608,
605199.SH,22,605199,创新药+儿科药+海南自贸区
601908.SH,17,601908,绿色电力+光伏设备+硅片
603268.SH,22,603268,
600581.SH,22,600581,复牌+特钢+新疆龙头+央企
000993.SZ,33,000993,绿色电力+福建国资+风电试点
000863.SZ,33,000863,IP经济+绿色地产+数字文旅
603822.SH,22,603822,
600250.SH,17,600250,旅游+商贸+IP经济+南京国资
002218.SZ,33,002218,太空光伏+钙钛矿+绿电
603826.SH,17,603826,一季报预增+钛白粉涨价+珠光材料
603039.SH,17,603039,年报增长+AI智能体+信创
000631.SZ,33,000631,清洁能源转型+储能+风电+回购注销
300992.SZ,33,300992,复牌+控制权变更+溢价转让+民用水泵
002538.SZ,33,002538,
300834.SZ,33,300834,股权转让+聚苯乙烯+回购完成
002528.SZ,33,002528,庭外重组+深圳国资+智慧城市
002788.SZ,33,002788,海峡两岸+中药饮片+医药分销
