涨停原因类别[20260414],股票代码,market_code,code
航天+军工电子+央企,600855.SH,17,600855
商业地产+央企重组+净资产转正,002305.SZ,33,002305
液冷服务器+储能+汽车零部件+回购,002328.SZ,33,002328
商业航天+可控核聚变+稀有金属+国企,002149.SZ,33,002149
液冷服务器+核电冷却塔+回购+制造业单项冠军,603269.SH,17,603269
核电模块+海工模块+工业模块,605167.SH,17,605167
财税SaaS+AI智能体,603171.SH,17,603171
铟靶材+固危废资源化+ST炒作,000711.SZ,33,000711
中东重建+国际工程+算力+一带一路,002051.SZ,33,002051
T/R芯片+商业航天+扭亏为盈+摘帽预期,001270.SZ,33,001270
回购股份注销+算电协同+储能,601778.SH,17,601778
电池项目投资+钠电储能龙头+锂电产业链,600152.SH,17,600152
,603929.SH,17,603929
算力销售+5G消息+短信通道,000889.SZ,33,000889
液冷储能+固态电池+山东国资,002580.SZ,33,002580
液冷+东数西算+BMS,301157.SZ,33,301157
AI算力业务+彩票印刷龙头,002229.SZ,33,002229
先进封装+英伟达链+环氧树脂+覆铜板,603002.SH,17,603002
小型发电机+储能+北美大客户+拟投资新质基金,603109.SH,17,603109
实控人筹划重组+物业管理+北京国资,600743.SH,17,600743
,600491.SH,17,600491
ST重整+拟全资控股拉萨啤酒+业绩预增,000752.SZ,33,000752
,603778.SH,17,603778
锂电池添加剂+涂层材料+业绩增长+地方国企,002083.SZ,33,002083
电解液龙头+固态电池+比亚迪大单,301292.SZ,33,301292
,600082.SH,22,600082
住宅开发+储能+REITs+国企,002314.SZ,33,002314
算力中心+家装AI+重整完成,002713.SZ,33,002713
半导体投资+上海房产租赁+战略转型,600605.SH,17,600605
心脑血管中药+独家产品线+业绩大增,002107.SZ,33,002107
电源类产品+磁性元器件+储能+业绩预增,002885.SZ,33,002885
,600696.SH,22,600696
ST板块+锆钛选矿+世博家具,603389.SH,22,603389
存储芯片+人形机器人+智慧口岸,002990.SZ,33,002990
一季报预增+算力租赁+光模块,300857.SZ,33,300857
控股股东增持+房地产+会展+北京国资,601588.SH,17,601588
退市风险博弈预期+电商物流合作+氢能物流布局,603813.SH,22,603813
火电+氢能+央企,600396.SH,17,600396
一季度业绩预盈+锂电池电解液+国企,603026.SH,17,603026
巨型轮胎项目+工程机械配套+央企,600469.SH,17,600469
,002634.SZ,33,002634
光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表,002980.SZ,33,002980
风光储氢+储能中标+氢能出海,600173.SH,17,600173
算力+新能源环卫+机器人,000967.SZ,33,000967
中药医保+控制权变更+资产处置收益,603139.SH,17,603139
退市博弈+高端白酒+虫草龙头,600381.SH,22,600381
数据中心冷却+控制权变更+浙江国资,002686.SZ,33,002686
退市风险博弈+保健酒主业+海南国资,600238.SH,22,600238
退市风险博弈+算力+移动应用安全,000004.SZ,33,000004
创新药+保健品+仿制药一致性评价,600664.SH,17,600664
摘帽+AI算力+第三方支付,002647.SZ,33,002647
猪肉+预重整+销量增长,002124.SZ,33,002124
先进封装+封测设备+年报增长,603061.SH,17,603061
申请撤销退市风险警示+啤酒饮料+果汁扩产+扭亏预期,000929.SZ,33,000929
存储芯片+锂矿资源+拟定增,002213.SZ,33,002213
固态电池+铜箔+新能源结构件+3D打印,603527.SH,17,603527
电商服务+锂电订单+机器视觉+并购重组,600539.SH,17,600539
ST摘帽博弈+新能源转型+OPC感光鼓,002808.SZ,33,002808
算力租赁+液冷+英伟达合作+年报预增,603629.SH,17,603629
,000793.SZ,33,000793
燃气+综合能源转型+年报增长+西部大开发,001299.SZ,33,001299
ST摘帽预期+储能+高效环保锅炉,002630.SZ,33,002630
摘星脱帽预期+商业地产+控制权变更,000608.SZ,33,000608
,600636.SH,22,600636
一季报业绩预增+商业航天+硬质合金,002297.SZ,33,002297
存储芯片+拟收购长兴半导体+文旅地产,000620.SZ,33,000620
一季度业绩预增+钴铜涨价+能源金属,301219.SZ,33,301219
,600193.SH,22,600193
一季度业绩预增+AI服务器PCB+68亿扩产,002463.SZ,33,002463
军工装备+商业航天+无人机禁毒,688287.SH,22,688287
宁德时代入股+HVDC+数据中心电源,002364.SZ,33,002364
,603843.SH,22,603843
溴素涨价+百菌清涨价+阻燃剂,603585.SH,17,603585
AI服务器+英伟达概念+沐曦合作,301189.SZ,33,301189
实控人航天科技+绿氢工程+煤气化+央企,603698.SH,17,603698
退市博弈+减速器+电梯配件,600243.SH,22,600243
生猪养殖+量价齐升+双胞胎协同,002157.SZ,33,002157
参股华芯科技（产品应用于光模块）+航空装备+eVTOL模拟器,002023.SZ,33,002023
金融科技+AI应用+信创,603383.SH,17,603383
PCB+铜箔+陕西国资+次新股,688813.SH,17,688813
超短期融资券发行+电线电缆+参股半导体+国企改革,002692.SZ,33,002692
