涨停原因类别[20260410],market_code,股票代码,code
,33,000004.SZ,000004
北京国资+商业地产+减债,33,000402.SZ,000402
燃气轮机零部件+低空经济+微生态活菌,33,000534.SZ,000534
,33,000586.SZ,000586
大宗商品贸易+生物农药+特种油脂,33,000626.SZ,000626
,33,000638.SZ,000638
饮料代工+PET瓶+控制权变更,33,000659.SZ,000659
存储芯片+重大资产重组+半导体分销,33,000670.SZ,000670
,33,000711.SZ,000711
,33,000720.SZ,000720
锂盐湖+二期爬坡+宝武央企,33,000762.SZ,000762
海南国资入主+重整计划+文旅传媒,33,000793.SZ,000793
算力销售+5G消息+短信通道,33,000889.SZ,000889
,33,000890.SZ,000890
竹产业链+金钢瓷新品+PPS材料+外贸增长,33,001211.SZ,001211
内蒙古+半导体石英坩埚+光伏坩埚,33,001269.SZ,001269
燃气+综合能源转型+年报增长+西部大开发,33,001299.SZ,001299
存储芯片+业绩暴增,33,001309.SZ,001309
年报扭亏+申请摘帽+珠海国资+光耦合器,33,002047.SZ,002047
固态电池+储能订单+动力电池,33,002074.SZ,002074
智能金融设备+产业园运营+广州资产,33,002177.SZ,002177
碳酸锂+石英晶体+退市博弈,33,002199.SZ,002199
有机硅减亏+高温硅橡胶+ST摘帽预期,33,002211.SZ,002211
特高压电容膜+国企改革,33,002263.SZ,002263
液冷服务器+汽车零部件+特斯拉+回购,33,002328.SZ,002328
商业航天+制动部件,33,002363.SZ,002363
宁德时代入股+HVDC+数据中心电源,33,002364.SZ,002364
液冷+算力租赁+家电制冷,33,002418.SZ,002418
庭外重组+深圳国资+智慧城市+AI安防,33,002528.SZ,002528
,33,002542.SZ,002542
储能电池+液冷+山东国资,33,002580.SZ,002580
减盐酱油+ST摘帽预期+无实控人,33,002650.SZ,002650
算力中心+家装AI+重整完成,33,002713.SZ,002713
算力UPS+氢能+固态电池,33,002733.SZ,002733
半导体+锂电池结构件+金属包装+年报增长,33,002787.SZ,002787
消费电子+AI终端+电池结构件,33,002824.SZ,002824
医用敷料+出口第一+三胎概念+AI医疗,33,002950.SZ,002950
玻璃晶圆+微棱镜量产+AR/VR拓展,33,002962.SZ,002962
铝基新材料+汽车轻量化+人形机器人+商业航天,33,002988.SZ,002988
固态电池+纺织机器人+高端纺机,33,003036.SZ,003036
OCS光路交换机+拟收购光隆集成+存储分销+车载芯片,33,300131.SZ,300131
摘帽申请+金融科技+内控整改,33,300561.SZ,300561
,33,300720.SZ,300720
光模块+林浆纸+福建国资,17,600103.SH,600103
光通信+超导带材+可控核聚变+业绩预增,17,600105.SH,600105
算力租赁+拟收购易信科技+湖南国资,17,600156.SH,600156
重整完成+长链二元酸+ST摘帽,22,600165.SH,600165
退市博弈+建筑装饰+算力概念,22,600193.SH,600193
保壳博弈+保健酒+海南国资,22,600238.SH,600238
退市博弈+减速器+电梯配件,22,600243.SH,600243
参股长飞光纤+商业航天+央企,17,600345.SH,600345
退市博弈+高端白酒+中药大健康,22,600381.SH,600381
风电模具+业绩预盈+壳博弈,22,600421.SH,600421
液冷+机器人传感器+汽车零部件+央企,17,600480.SH,600480
燃气轮机+船周期+军工动力+央企,17,600482.SH,600482
光伏组件+钙钛矿电池+预重整备案,17,600537.SH,600537
,22,600608.SH,600608
玻璃基板+ITC胜诉+国企改革,17,600707.SH,600707
医药流通+AI医疗+南京国资,17,600713.SH,600713
实控人筹划重组+物业管理+北京国资,17,600743.SH,600743
光伏玻璃封装+央企,17,600876.SH,600876
年报增长+高端家电+外销高增,17,600983.SH,600983
南通零售龙头+数字化升级,17,601010.SH,601010
年报增长+出版+数据确权+辽宁国资,17,601999.SH,601999
ST博弈+日用玻璃+轻量化技术,22,603021.SH,603021
电解液+宁德时代+国企,17,603026.SH,603026
液冷+机器人+换热器+国企,17,603088.SH,603088
期货经纪+境外清算+年报增长,17,603093.SH,603093
零售+胖东来调改+大消费+新疆,17,603101.SH,603101
,17,603182.SH,603182
固态电池+液冷服务器+业绩预增,17,603200.SH,603200
墙布龙头+智能家居+控股股东转让股份,17,603272.SH,603272
童装童鞋+三胎概念+此前获赠资产+ST板块,22,603557.SH,603557
退市博弈+轻型输送带+新能源电池配件,22,603580.SH,603580
,17,603588.SH,603588
玻璃基板+CPO+商业航天,17,603773.SH,603773
拟协议转让10%股份+健康零食+IP经济,17,603777.SH,603777
退市博弈+氢能物流+电商物流,22,603813.SH,603813
年报增长+高派息+毛纺龙头,17,603889.SH,603889
复牌+拟收购博泰智能+精密传动+IC分销,17,603933.SH,603933
重大资产重组+柴油动力单元+发动机零部件,17,603950.SH,603950
玻纤涨价+风电纱+山东国资,17,605006.SH,605006
燃气轮机+液冷+年报增长,17,605060.SH,605060
智谱AI+生态修复+水利基建,17,605069.SH,605069
一季报预增+储能逆变器+海外需求,17,605117.SH,605117
中昊芯英入主+汽车管路+多次风险提示,17,605255.SH,605255
,17,605299.SH,605299
碳化硅+半导体级单晶炉+并购为准智能,17,688478.SH,688478
一季报预增+GLP-1+减肥药+色谱填料,17,688690.SH,688690
