market_code,股票代码,涨停原因类别[20260514],code
17,605366.SH,含硫硅烷+电子级硅烷+泰国项目,605366
33,002309.SZ,光伏储能+特种线缆+厦门国资,002309
33,003031.SZ,光模块陶瓷+SiC功率器件+央企,003031
33,300363.SZ,,300363
33,001259.SZ,股份转让+小家电+露营经济,001259
17,603903.SH,芯长征入主+功率半导体+污水处理+一季报扭亏,603903
17,603082.SH,人形机器人+智能物流+拟收购穗柯智能+央企,603082
17,603118.SH,硅光芯片+800G交换机+机器人代工+唐山国资,603118
33,002940.SZ,创新药+定增推进+原料药,002940
17,600156.SH,算力租赁+液冷+拟收购易信科技+湖南国资,600156
17,603717.SH,生猪放量+红曲增长+光伏,603717
33,002840.SZ,猪肉+屠宰放量+肉牛布局,002840
22,603359.SH,,603359
33,002580.SZ,,002580
17,600118.SH,,600118
17,605060.SH,,605060
151,920580.BJ,碳化硅+新能源电池+一季报增长,920580
33,002501.SZ,汽车铝型材+步步高纾困+ST摘帽预期,002501
17,688281.SH,14.8亿大单+航空发动机+特种材料,688281
17,600982.SH,,600982
33,002713.SZ,算力中心+家装AI+摘帽申请,002713
22,600180.SH,,600180
33,001210.SZ,数据中心+供能+蓄冷储能,001210
22,600302.SH,控制权变更+缝制设备+机器人概念+西安国资,600302
33,003022.SZ,光伏EVA+POE投产+锂电材料+电子特气,003022
33,002990.SZ,算力采购+人形机器人+智慧口岸,002990
33,000609.SZ,半导体资产注入+房地产+ST博弈,000609
33,002805.SZ,,002805
33,002560.SZ,,002560
33,002789.SZ,珠海国资+储能+建筑装饰,002789
17,600719.SH,,600719
33,002980.SZ,拟收购伽蓝特+光通信测试+AI眼镜+仪器仪表,002980
33,002082.SZ,,002082
17,688146.SH,六氟化钨+存储上游+电子特气+央企,688146
17,603007.SH,更名+机器人+储能+摘帽,603007
22,600381.SH,申请摘帽+酒水高增+虫草龙头,600381
33,000159.SZ,光伏支架+油品批发,000159
22,688496.SH,,688496
22,603828.SH,控制权变更+光伏建筑一体化+装配化装修,603828
33,002620.SZ,重整投资人+光伏建筑一体化+建筑装饰,002620
33,002431.SZ,,002431
33,000632.SZ,债务延期+跨境电商+地方国资,000632
22,600818.SH,高空风能+共享单车+ST反弹,600818
17,600481.SH,光伏+液冷服务器+氢能装备,600481
22,600678.SH,,600678
17,603126.SH,,603126
33,000669.SZ,重整协议+实控人变更+天然气+ST,000669
22,603377.SH,智能驾驶培训+预重整+ST板块,603377
22,600084.SH,,600084
33,000066.SZ,,000066
17,600449.SH,数据中心+水泥+央企,600449
33,300715.SZ,OLED+半导体检测+建筑防水+芯片概念,300715
17,605365.SH,,605365
33,002198.SZ,,002198
17,600903.SH,天然气+页岩气收购+贵州国资,600903
33,002971.SZ,电子特气+硅基新材料+国产替代,002971
17,603610.SH,脑机接口+智能电动床+适老化补贴,603610
22,600730.SH,ST投机+AI教育+国资背景,600730
33,002323.SZ,,002323
22,603595.SH,碳化硅+新能源汽车+消费电子+ST摘帽预期,603595
17,600509.SH,电力+算电协同+兵团国资,600509
17,600857.SH,黄金零售+商业零售+老字号+杭州金帝入主,600857
33,002207.SZ,ST板块+新疆国资+油气服务+连续涨停,002207
17,603052.SH,牛散举牌+硅光芯片+消费电子,603052
17,603779.SH,淄博国资入主+复牌+葡萄酒,603779
33,002277.SZ,半导体并购+SiC+百货零售,002277
22,603378.SH,ST反弹+重整预期+涂装业务,603378
33,002976.SZ,空气悬架+特斯拉概念+光通信散热布局,002976
22,600759.SH,,600759
33,002254.SZ,光纤+芳纶涂覆+半固态电池+国企,002254
33,000677.SZ,,000677
33,000711.SZ,,000711
33,002726.SZ,,002726
33,001270.SZ,,001270
22,600370.SH,,600370
17,605399.SH,功能性硅烷+气凝胶+产能释放,605399
33,002617.SZ,碳化硅+算力+电力,002617
33,301139.SZ,,301139
33,002165.SZ,环氧丙烷+技改试产+硬泡聚醚,002165
22,600491.SH,,600491
17,603344.SH,机器人+汽车热管理+吸尘器电机,603344
22,605336.SH,,605336
22,600965.SH,,600965
17,605296.SH,生猪出栏大增+全产业链+成本控制,605296
33,001267.SZ,1.6T光模块+硅光芯片+供货高意（Coherent）,001267
33,002918.SZ,先进陶瓷+建筑陶瓷+地产链,002918
33,002289.SZ,摘帽申请+一季报暴增+IDC并表+算力租赁,002289
33,002809.SZ,环氧丙烷+精细化工+产能爬坡,002809
33,002973.SZ,人形机器人+环卫中标+智慧城服,002973
33,002723.SZ,控制权变更+短剧游戏+家电出海+电子烟,002723
22,603272.SH,ST板块+墙布+流通盘小,603272
33,002782.SZ,电源产品+机器人+墨西哥扩产,002782
17,603016.SH,断路器+特高压+国企改革,603016
22,603813.SH,申请撤销退市风险警示+氢能物流+供应链服务,603813
33,000510.SZ,,000510
17,600578.SH,风光火储+绿电转型+北京国资,600578
17,603045.SH,,603045
