涨停原因类别[20260209],market_code,股票代码,code
银价上涨+业绩预增+湖南国资,33,002716.SZ,002716
光伏储能+钙钛矿电池+光纤概念+厦门国资,33,002309.SZ,002309
光伏+光储充+虚拟电厂,33,300982.SZ,300982
文生视频+算力租赁+蓝宝石,17,600666.SH,600666
安徽国资拟入主+固态电池+偏光片龙头,17,600884.SH,600884
中标火箭基地+光伏研发+钢结构,17,600477.SH,600477
轨交设备+卫星导航+AI巡检,33,002296.SZ,002296
,33,000638.SZ,000638
500kV变压器+数据中心+取向硅钢,17,603191.SH,603191
光伏玻璃+钙钛矿,17,600586.SH,600586
AI漫剧+短剧+算力+山东国资,33,301262.SZ,301262
免税+大消费+横琴新区,17,600185.SH,600185
文旅复苏+ST摘帽预期+供应链扩张,33,002485.SZ,002485
IC洁净室+台积电扩产+东南亚订单,17,603929.SH,603929
商业航天+扭亏为盈+大家居定制,33,300749.SZ,300749
燃气轮机+AIDC+风电+精密零部件,17,605060.SH,605060
光伏+铝型材+新能源汽车,33,002501.SZ,002501
IDC算力+光伏+重整完成,33,002822.SZ,002822
核电阀门+商业航天+半导体阀门,33,002438.SZ,002438
商业航天+高温合金+电网设备,33,002471.SZ,002471
年报扭亏+数据中心+上海国资,17,600841.SH,600841
光通信+CPO+钙钛矿,17,688025.SH,688025
拟收购兴福新材+PEEK新材料+PCCP水利,17,603616.SH,603616
染料+国资改革+资产处置,17,603188.SH,603188
稀土+Peak收购+央企+年报预增,17,600392.SH,600392
司法拍卖+房地产+创投,33,000609.SZ,000609
MiniLED+央企+白电,33,000016.SZ,000016
医疗器械+跨境电商+出口龙头,17,603301.SH,603301
拟收购愚恒影业58%股权+影视内容+复牌,17,603729.SH,603729
人形机器人+固态电池+精密制造,17,603626.SH,603626
ST板块+高端白酒+中药大健康,22,600381.SH,600381
马斯克调研协鑫+光伏设备+蚂蚁数科合作,33,002015.SZ,002015
,33,000004.SZ,000004
信创替代+数据复制+华为鲲鹏,17,688435.SH,688435
影视制作+短剧游戏+AIGC,33,000892.SZ,000892
影视院线+春节档+AI漫剧,17,603103.SH,603103
光储+算力+商业航天,33,001266.SZ,001266
算力租赁+年报预增+英伟达合作,17,603629.SH,603629
AI短剧+数字阅读+海外扩张,17,603533.SH,603533
AI互动玩具+阿里概念+少儿图书,33,301231.SZ,301231
AI营销+短剧出海+业绩预增,17,603598.SH,603598
创新药+染料+原料药+创投,33,002099.SZ,002099
热沉片量产+培育钻石+国资背景,17,600172.SH,600172
日用玻璃+地下管网+跨境电商,22,603021.SH,603021
纺织助剂龙头+本源量子IPO+2025年预增,33,002054.SZ,002054
短剧出海+AI应用+H股融资,33,300364.SZ,300364
AI传媒+粤港澳大湾区+家装龙头,33,002830.SZ,002830
太空光伏+钙钛矿+回购注销,33,002218.SZ,002218
液冷服务器+AI液冷+清洁能源装备+西藏移动合作,33,002272.SZ,002272
新型工业化+数控机床+退市风险,22,600243.SH,600243
半导体封测+第三代半导体+订单满产,33,300480.SZ,300480
特斯拉概念+钙钛矿+阿联酋项目,33,002623.SZ,002623
光伏建筑一体化+光伏设备+枣庄国资,33,002323.SZ,002323
太空光伏+铜浆量产+半导体掩模,17,688503.SH,688503
光伏银浆+BC电池+HJT银包铜浆料+先进封装,33,002079.SZ,002079
染料涨价+机器人皮肤+光伏减亏,17,605566.SH,605566
农药+国企改革+回购注销,33,000525.SZ,000525
机器人轴承+北美LED+越南产能,33,001326.SZ,001326
储能中标+固废处理+ST板块,33,000820.SZ,000820
金属铟+ITO靶材+鑫联科技资产注入,33,000711.SZ,000711
染料+苯二胺投产+硝酸龙头+氨基树脂项目,33,001217.SZ,001217
,22,600355.SH,600355
控制权变更+染料+宇树科技,17,603980.SH,603980
国资控股+生态文旅+诉讼风险,33,002717.SZ,002717
染料涨价+年报预增+半导体投资,33,002440.SZ,002440
甲醇+风电+国企改革,17,600722.SH,600722
AI影视+浪浪山爆款+上海国资,17,601595.SH,601595
AI漫剧+影视版权+文化传媒,33,300182.SZ,300182
,17,600538.SH,600538
锂电闭环+光刻胶概念+精细化工+固态电池,33,002455.SZ,002455
影视院线+春节档IP+AI短剧,33,001330.SZ,001330
,22,603813.SH,603813
半导体洁净室+东南亚布局+在手订单,17,603163.SH,603163
空芯光纤+800G硅光模块+算力网络,17,601869.SH,601869
游戏+AI应用+电竞赛事,33,002624.SZ,002624
海南自贸区+保健酒+国资背景,22,600238.SH,600238
房地产+TOD轨道物业+北京国资,17,600683.SH,600683
数据中心电源+军工信息化+扭亏为盈,17,600590.SH,600590
海南自贸区+煤炭+航空发动机,33,000571.SZ,000571
铌酸锂晶体+商业航天+光伏设备,17,600330.SH,600330
,17,600969.SH,600969
数字体验+豆包合作+人形机器人,17,603466.SH,603466
一带一路+超临界锅炉+ST摘帽预期,33,002630.SZ,002630
马斯克调研+太空光伏+TOPCon+钙钛矿,33,002506.SZ,002506
光伏+氢能源+央企,17,600875.SH,600875
AI漫剧+AI应用+扭亏为盈+Sora概念,17,601360.SH,601360
航运+贸易+海南自贸港,17,600751.SH,600751
