涨停原因类别[20260423],code,股票代码,market_code
,600421,600421.SH,22
一季报扭亏+七彩虹入主+AI营销,300061,300061.SZ,33
退市博弈+烟花爆竹+业绩预盈,600599,600599.SH,22
一季报增长+光纤涨价+特高压+锂电铜箔,603618,603618.SH,17
,600259,600259.SH,17
商业航天+产业园运营+苏州+脑机接口,600736,600736.SH,17
一季报高增+物联网+芯片设计,300590,300590.SZ,33
Q1业绩回暖+白酒+洞藏系列+高分红,603198,603198.SH,17
一季报增长+创新药+替戈拉生片+医保全覆盖,002793,002793.SZ,33
,600110,600110.SH,17
,603529,603529.SH,17
AI应用+国潮文创+B2B集采,002301,002301.SZ,33
百货零售+首店经济+恐龙IP,000715,000715.SZ,33
,002565,002565.SZ,33
算力中心+绿电直连+储能,601778,601778.SH,17
,002731,002731.SZ,33
光纤业务澄清+重大资产出售完成+环保技术突破+金属制品,000890,000890.SZ,33
一季报增长+绿电转型+热电联产+煤炭,600726,600726.SH,17
半导体收购+温控设备+金属包装+一季报增长,002787,002787.SZ,33
算力租赁+资产重组+林业,600265,600265.SH,22
功率半导体+吉莱微并购+芯片设计,600770,600770.SH,17
,600338,600338.SH,17
算力租赁+光模块+AI基金,603220,603220.SH,17
AI算力PCB+商业航天+一季报高增,002008,002008.SZ,33
算力租赁+AI营销+浙江国资,600986,600986.SH,17
,002713,002713.SZ,33
,605336,605336.SH,22
商业航天+新材料检测+央企,603060,603060.SH,17
硅光模块+硅光芯片+鄂州扩产+园林工程,001267,001267.SZ,33
液冷+算力+签约江西电建,603912,603912.SH,17
燃气+氢能中心+控制权变更完成,000593,000593.SZ,33
浆纸一体化+山东国资+摘帽预期,000488,000488.SZ,33
退市博弈+酱香型白酒,600696,600696.SH,22
一季报倍增+VC投产+EVA+电子特气,003022,003022.SZ,33
拟收购烽云信息+算力服务,300067,300067.SZ,33
,000909,000909.SZ,33
氢能源+人形机器人+气缸套,002448,002448.SZ,33
,603272,603272.SH,17
半导体资产注入+房地产+ST博弈,000609,000609.SZ,33
申请撤销退市风险警示+氢能物流+供应链服务,603813,603813.SH,22
减肥药+益生菌GLP-1+小核酸创新药+转债赎回,603538,603538.SH,17
火电+绿电+央企,600396,600396.SH,17
业绩大增+拟并购RFID+AI终端,001314,001314.SZ,33
,002789,002789.SZ,33
,603565,603565.SH,17
,002898,002898.SZ,33
服装贴牌+回购注销+广州国资入主,001234,001234.SZ,33
绿电扩张+海上风电+广西国资,600310,600310.SH,17
高端白酒+虫草龙头+退市博弈,600381,600381.SH,22
,000004,000004.SZ,33
预制菜+三胎概念+回购,001215,001215.SZ,33
,688089,688089.SH,17
,603363,603363.SH,17
净利暴增+金针菇涨价+扩产+食用菌,300970,300970.SZ,33
,603828,603828.SH,22
,605081,605081.SH,22
家电3C+以旧换新+ST板块,002024,002024.SZ,33
,002808,002808.SZ,33
,000892,000892.SZ,33
机器人+绿色电力+间接参股昆仑芯+苏州,601512,601512.SH,17
一季报增长+煤炭+高股息+北京国资,601101,601101.SH,17
商业航天+工程设计+低空经济,603017,603017.SH,17
算力租赁+商业航天+智慧交通,000925,000925.SZ,33
员工持股计划+小家电+机器人+太空科技,002242,002242.SZ,33
燃气轮机+核电铸件+水电转轮,603315,603315.SH,17
绿电交易+储能+央企,000537,000537.SZ,33
,000533,000533.SZ,33
,600636,600636.SH,22
一季报增长+特高压+海外订单+瓷绝缘子,002606,002606.SZ,33
跨境电商+功能沙发+越南基地+养老,603709,603709.SH,17
,600193,600193.SH,22
原料短缺+光刻胶基材+湿电子化学品+HPPO环氧丙烷,300721,300721.SZ,33
油气装备+寿光国资+海外订单+业绩增长,002490,002490.SZ,33
商业航天产业配套+半导体洁净室+越南合作+EPC总包,002081,002081.SZ,33
,688287,688287.SH,22
风电+储能突破+绿电扩张+央企,601016,601016.SH,17
燃气轮机+核能核电+商业航天,603308,603308.SH,17
,603585,603585.SH,17
CPO+MicroLED+光模块+深圳国资,002429,002429.SZ,33
,600815,600815.SH,17
,600243,600243.SH,22
收购调整+锂电池+热水服务+国资背景,600052,600052.SH,17
电子特气+硅基新材料+国产替代,002971,002971.SZ,33
一季报业绩大增+智慧交通+氢能源+比亚迪,603390,603390.SH,17
业绩高增+算力租赁+调味品,600186,600186.SH,17
,600843,600843.SH,17
氦气+燃气轮机掺氢+氢能应用+山东国资,603318,603318.SH,17
,603169,603169.SH,17
