market_code,涨停原因类别[20260224],股票代码,code
33,银价上涨+业绩预增+湖南国资,002716.SZ,002716
33,光纤光缆+数据中心+储能消防,002491.SZ,002491
17,油气储运+一带一路+可控核聚变,600339.SH,600339
33,AI光模块+订单爆满+武汉国资,000988.SZ,000988
17,光纤概念+商业航天+智慧应急+央企,600345.SH,600345
33,军工+粮食+退市博弈,000638.SZ,000638
17,算力中心+出海订单+特高压,603861.SH,603861
17,,603171.SH,603171
17,黄金+铜冶炼+锂电材料,601212.SH,601212
17,液冷服务器+铜基散热片+PCB客户+业绩增长,603124.SH,603124
17,AI算力+电子布涨价+PCB概念,603256.SH,603256
33,商业航天+扭亏为盈+大家居定制,300749.SZ,300749
17,定增收购钨钽资产+磁选设备+江西国资,600397.SH,600397
17,MLCC扩产+陶瓷热沉+消费电子,688260.SH,688260
33,化肥+磷矿资源+磷酸铁+回购,002895.SZ,002895
33,煤层气+国企,000968.SZ,000968
17,油气开采及服务+伊拉克中标+民营龙头,603619.SH,603619
17,锶盐+小金属,600714.SH,600714
33,,002713.SZ,002713
17,AI服务器+储能电极箔+股权激励,603115.SH,603115
33,地下管网+塑料管道+诉讼冲回,002694.SZ,002694
33,年报预增+室内设计+IP经济+一带一路,002811.SZ,002811
17,磷化工+聚甲醛+国企改革,600096.SH,600096
17,,601888.SH,601888
17,PEEK新材料+拟收购兴福新材+PCCP水利,603616.SH,603616
22,通信服务+重整完成+ST摘帽预期,603559.SH,603559
33,,000609.SZ,000609
17,油服龙头+国企改革,601808.SH,601808
17,算力订单+液冷服务器+AR/VR+风电EPC,605289.SH,605289
33,黄金涨价+金精矿+四川国资,001337.SZ,001337
17,焦炭+减亏+云南国资,600792.SH,600792
33,油气开采+可燃冰+涠洲5-3油田,300191.SZ,300191
33,化肥+磷矿建设+复合肥龙头,002470.SZ,002470
33,童装+三胎概念+跨境电商+增持完成,002875.SZ,002875
17,军工装备+锚链,601890.SH,601890
17,控制权变更+中药+医保目录,603139.SH,603139
17,铜钴资源+水利基建+央企回购,601390.SH,601390
33,,000004.SZ,000004
33,光伏剥离+肿瘤放疗+阀门管件,002795.SZ,002795
33,CVD金刚石+培育钻石+油气进口替代,300179.SZ,300179
151,AI大模型+大数据存储+政务场景,920305.BJ,920305
17,磷化工+新材料+扭亏,600078.SH,600078
33,,002326.SZ,002326
17,,603103.SH,603103
33,,002951.SZ,002951
17,,603533.SH,603533
33,预重整+天然气+扭亏,000669.SZ,000669
17,油运+回购+央企,601975.SH,601975
33,,300251.SZ,300251
17,矿产资源+磷矿+草甘膦,603077.SH,603077
17,热沉片量产+培育钻石+国资背景,600172.SH,600172
33,特高压+海外订单+江西二期,002606.SZ,002606
33,油气装备+中东订单+扭亏+国资背景,002490.SZ,002490
33,磷化工+锂矿+磷酸铁锂+四川国资,002312.SZ,002312
17,油气开采+CCUS+海外大单+央企,600871.SH,600871
22,ST板块+退市博弈+日用玻璃,603021.SH,603021
33,氯碱化工+氢能源+PVC+热力+央企,000635.SZ,000635
22,生物航煤+扭亏+ST摘帽预期,603822.SH,603822
33,特高压+海上风电+电网设备,002498.SZ,002498
17,春耕用肥+固态电池+磷化工+国企,600141.SH,600141
17,玻纤+风电纱+山东国资,605006.SH,605006
33,油气+压缩机+绿氢氨+扭亏,300157.SZ,300157
33,钛白粉+磷酸铁+国企改革,002136.SZ,002136
33,油气服务+新疆国资,002207.SZ,002207
17,拟并购嘉合劲威+存储芯片+智慧城市,605178.SH,605178
33,机器人+AI智能体+曲轴+回购,002283.SZ,002283
17,玻璃微纤维+SpaceX传闻+高效滤材,603601.SH,603601
22,,600599.SH,600599
33,玻纤涨价+电子细纱+风电纱+云南国资,301526.SZ,301526
17,油气开采+哈萨克斯坦油田,600759.SH,600759
33,油气+北美巨头合作+射孔技术,300164.SZ,300164
33,扭亏为盈+虚拟电厂+零碳园区+央企,003035.SZ,003035
33,钛白粉+减产+转型橡胶,000545.SZ,000545
17,有机硅+纯碱龙头+电子化学品+唐山国资,600409.SH,600409
33,金属铟+ITO靶材+鑫联科技注入,000711.SZ,000711
33,地下管网+专精特新+次新股,001396.SZ,001396
33,重大资产出售+光纤概念+钢帘线,000890.SZ,000890
22,,600355.SH,600355
33,油气+年报预增+新能源转型+央企回购,000554.SZ,000554
33,磷化工+新能源材料+季戊四醇+国企,000422.SZ,000422
17,磷化工+化肥+精制磷酸,600470.SH,600470
33,环氧丙烷+技改试产+硬泡聚醚,002165.SZ,002165
17,甲醇+风电+国企改革,600722.SH,600722
33,UCO+固废处理+山东国资,000803.SZ,000803
17,,601595.SH,601595
17,绿电算力+增量配网+年报预增+照明组件,603685.SH,603685
22,ST板块+LPG分销+年报预盈,600753.SH,600753
22,锆钛选矿+业绩预计减亏+世博家具,603389.SH,603389
17,机器人+锂电工具+回购,603400.SH,603400
33,环氧丙烷+化工+混凝土外加剂,002809.SZ,002809
33,中芯国际概念+半导体洁净室+有机涂层板,002652.SZ,002652
33,,001330.SZ,001330
33,,000681.SZ,000681
