market_code,股票代码,涨停原因类别[20260202],code
33,002716.SZ,,002716
33,002491.SZ,光纤光缆+数据中心+出售股权,002491
33,002848.SZ,,002848
33,000426.SZ,,000426
33,001368.SZ,体育户外+外销+福建自贸区,001368
22,603789.SH,,603789
33,000506.SZ,,000506
33,000638.SZ,,000638
22,600608.SH,,600608
17,603861.SH,特高压+算力中心+出海订单+回购价上调,603861
33,002258.SZ,,002258
33,000630.SZ,,000630
17,601212.SH,,601212
17,601069.SH,,601069
17,601616.SH,电网设备+数据中心+变压器,601616
33,002731.SZ,,002731
33,002112.SZ,电网设备+变压器+欧洲设子公司+地方国资,002112
33,002501.SZ,,002501
17,605151.SH,汽车物流+比亚迪概念+统一大市场,605151
17,600961.SH,,600961
33,002547.SZ,,002547
17,603602.SH,,603602
33,002895.SZ,,002895
17,603619.SH,,603619
33,002713.SZ,重整完成+算力中心+家装AI,002713
33,002471.SZ,商业航天+高温合金+电网设备,002471
33,000060.SZ,,000060
33,002496.SZ,,002496
33,002291.SZ,AI应用+直播电商+剥离鞋业,002291
33,002253.SZ,,002253
17,600531.SH,,600531
33,002694.SZ,,002694
33,002155.SZ,,002155
17,600711.SH,,600711
33,000838.SZ,,000838
33,000909.SZ,,000909
17,603488.SH,,603488
33,000016.SZ,,000016
33,000830.SZ,,000830
33,000960.SZ,,000960
17,600362.SH,,600362
17,688066.SH,,688066
17,603697.SH,大消费+渠道扩张+泡卤凤爪,603697
33,002227.SZ,,002227
33,001337.SZ,,001337
22,600228.SH,AI导购+电商零售+毛利率回升,600228
17,605255.SH,中昊芯英入主+汽车管路,605255
33,000751.SZ,,000751
22,600381.SH,,600381
33,000004.SZ,,000004
17,600389.SH,,600389
33,000822.SZ,,000822
17,603103.SH,春节档+AI漫剧+院线龙头,603103
17,603629.SH,算力租赁+腾讯概念+年报预增,603629
33,002175.SZ,,002175
17,600489.SH,,600489
33,003042.SZ,,003042
17,603986.SH,,603986
33,300265.SZ,电网设备+商业航天,300265
33,000533.SZ,变压器+北美出口+数据中心+核电,000533
17,600172.SH,热沉片量产+培育钻石+国资背景,600172
33,002606.SZ,特高压+电网设备+海外订单+江西二期,002606
33,000878.SZ,,000878
33,002490.SZ,,002490
17,600871.SH,,600871
17,600667.SH,,600667
17,603117.SH,木材物流+股权转让完成,603117
33,002498.SZ,特高压+海上风电+电网设备,002498
