股票代码,code,涨停原因类别[20260728],market_code
002309.SZ,002309,中报扭亏+特种线缆+光伏储能+厦门国资,33
605068.SH,605068,人形机器人+电子皮肤+减持终止+汽车内饰,17
000988.SZ,000988,,33
600775.SH,600775,脑机接口概念+卫星通信+央企,17
002642.SZ,002642,算力服务+AI应用+国企改革+股权转让,33
603823.SH,603823,,17
600076.SH,600076,半导体并购+林地资产转让+集装箱地板+无锡国资,17
603124.SH,603124,,17
002995.SZ,002995,AI应用+广告营销+Web3.0,33
002353.SZ,002353,,33
002338.SZ,002338,长春光机所旗下+半年报预增+商业航天,33
002173.SZ,002173,脑机接口+医疗器械注册证+医疗服务,33
002636.SZ,002636,,33
002310.SZ,002310,重大资产重组+中报扭亏+风电+北京国资,33
603950.SH,603950,,17
000859.SZ,000859,并购重组+光刻胶+合肥国资,33
600199.SH,600199,白酒+亏损收窄+阜阳国资,17
603757.SH,603757,,17
000503.SZ,000503,AI医疗+DRG/DIP+央企,33
002889.SZ,002889,光刻机服务+中报预增+AI智能报关,33
002387.SZ,002387,ViP技术+AMOLED+第8.6代产线,33
002536.SZ,002536,,33
002212.SZ,002212,AI安全+智算云+量子科技,33
603297.SH,603297,光刻机+精密光学+收购江丰生物,17
000909.SZ,000909,业绩减亏+充电桩+杭州国资,33
600191.SH,600191,半年报预增+粮食深加工+黄原胶,17
920176.BJ,920176,,151
000517.SZ,000517,房地产开发+长三角+建筑节能,33
605289.SH,605289,,17
002980.SZ,002980,,33
000428.SZ,000428,旅游酒店+国企改革+酒店主业,33
002195.SZ,002195,脑机接口+AI大模型+AI PC+人形机器人,33
002082.SZ,002082,创新药+神经系统疾病+中报预增,33
301421.SZ,301421,半导体光学+PCB光学+中报预增,33
603918.SH,603918,AI应用+信创+定增,17
601208.SH,601208,,17
002869.SZ,002869,ETC+车路协同+低空智联+数字能源,33
688089.SH,688089,,22
688496.SH,688496,ST板块+面退博弈+电子纸,22
300290.SZ,300290,AI医疗+河南国资+违规担保进展,33
605162.SH,605162,热电联产+弗迪电池供热+储能,17
002388.SZ,002388,锂电材料+华为产业链+胶粘剂+增持,33
002795.SZ,002795,中报预增+水暖阀门+医疗器械,33
603061.SH,603061,,17
600183.SH,600183,,17
920305.BJ,920305,,151
002156.SZ,002156,,33
002965.SZ,002965,,33
603629.SH,603629,,17
600693.SH,600693,零售+首店经济+仓储物流+资产处置,17
603986.SH,603986,,17
600619.SH,600619,光刻机+半年度业绩预增+上海国资,17
000533.SZ,000533,数据中心+干式变压器+储能+控制权变更预期,33
001258.SZ,001258,,33
603083.SH,603083,,17
001309.SZ,001309,,33
605111.SH,605111,,17
002436.SZ,002436,,33
000779.SZ,000779,工程咨询+甘肃国资+AI应用,33
002484.SZ,002484,,33
002937.SZ,002937,,33
000811.SZ,000811,,33
002080.SZ,002080,,33
603137.SH,603137,,17
000021.SZ,000021,,33
600756.SH,600756,AI政务+财税数字化+山东国资,17
600303.SH,600303,氢燃料电池客车+军工+新能源客车,17
002211.SZ,002211,拟易主+有机硅+半年报扭亏,33
605376.SH,605376,,17
002428.SZ,002428,,33
002938.SZ,002938,,33
001358.SZ,001358,回购+电子化学品+光刻胶,33
603980.SH,603980,控制权变更+染料+中报预增,17
003032.SZ,003032,AI教育+具身智能+中报扭亏,33
301139.SZ,301139,市值退市博弈+算力租赁+AI应用,33
002847.SZ,002847,休闲食品+魔芋零食+一季报增长,33
002083.SZ,002083,,33
600722.SH,600722,,17
002687.SZ,002687,职业装+校服+通勤服,33
600105.SH,600105,,17
001376.SZ,001376,定增获批+热电联产+工业园区供热,33
603389.SH,603389,摘帽+锆钛矿选矿+家居,17
603400.SH,603400,新能源汽车+机器人+智能家居,17
603228.SH,603228,,17
603358.SH,603358,新能源汽车零部件+人形机器人+总经理增持完成,17
300067.SZ,300067,拟收购烽云信息+算力服务+染料主业,33
003001.SZ,003001,,33
603429.SH,603429,拟购慧聚药业+固态电池+包装印刷,22
002281.SZ,002281,,33
002384.SZ,002384,,33
920690.BJ,920690,光刻机+PEEK材料+汽车零部件,151
601869.SH,601869,,17
603221.SH,603221,拟收购欧康诺+存储测试设备+PVC弹性地板,17
001389.SZ,001389,,33
000659.SZ,000659,控制权变更+饮料包装+横琴新区,33
300663.SZ,300663,脑机接口+AI机器人+鸿蒙生态,33
000566.SZ,000566,创新药+基药目录+脑机接口+央企,33
603716.SH,603716,脑机接口+AI医疗+高血压疫苗+SPD,17
002279.SZ,002279,AI智能体+业绩减亏+数字政务,33
603580.SH,603580,控制权拟变更+轻型输送带+消费电子,17
600629.SH,600629,上海微电子相关+子公司重整获批+工程设计+上海国资,17
600539.SH,600539,,17
002969.SZ,002969,中报预增+饮料包装+实控人变更,33
002837.SZ,002837,,33
605179.SH,605179,乳业+烘焙食品+业绩增长,17
000948.SZ,000948,AI应用+金融科技+半年报扭亏+云南国资,33
000045.SZ,000045,偏光片+OLED+深圳国资+更名预期,33
600850.SH,600850,光刻机+AI应用+国企改革,17
002851.SZ,002851,,33
002463.SZ,002463,,33
603917.SH,603917,小米汽车+一体化压铸+汽车模具,17
003018.SZ,003018,,33
603232.SH,603232,抗量子密码+AI安全+PKI龙头,17
002199.SZ,002199,摘帽+石英晶体元器件+碳酸锂,33
603928.SH,603928,光刻胶+酚醛树脂+合成树脂,17
600895.SH,600895,光刻机+上海微电子+集成电路+浦东国资,17
603186.SH,603186,,17
002916.SZ,002916,,33
