market_code,涨停原因类别[20260807],code,股票代码
33,PCB化学品+先进封装+半年度预增,002741,002741.SZ
33,液冷服务器+氢能管道+国企改革,002443,002443.SZ
33,覆铜板+黄金+业绩增长+国企,002552,002552.SZ
33,细胞与基因治疗+药品生产许可证+创新药CDMO,300363,300363.SZ
17,资产重组+功率半导体+SiC MOSFET,688693,688693.SH
33,创新药+CNS研发+业绩增长+仿制药龙头,002437,002437.SZ
33,更名+模块化建筑+AI4S,300986,300986.SZ
17,跨界存储+建筑幕墙+新签项目增长,603137,603137.SH
33,黄金+半年报预增+国企改革,000506,000506.SZ
17,中药+创新药+CXO概念,603567,603567.SH
17,铜箔+HVLP+固态电池+半年报扭亏,600110,600110.SH
17,AI服务器PCB+800G光模块+陶瓷衬板,603936,603936.SH
17,定增扩产+液冷散热+铜基材料+半年报预增,603124,603124.SH
33,磷化铟+重大合同+锗业龙头,002428,002428.SZ
17,PCB+AI算力+业绩预增+珠海国资,600601,600601.SH
33,创新药+多肽CDMO+增资子公司,002821,002821.SZ
17,PCB层压机+可控核聚变+高端成形机床,603011,603011.SH
33,石墨烯+家居+业绩减亏,002631,002631.SZ
17,液冷服务器+屏蔽泵+实控人变更,603757,603757.SH
17,创新药+海外扩张+模式动物+中报预增,688046,688046.SH
33,拟入股佳贤通信+英伟达相关+卫星通信,002792,002792.SZ
33,创新药+化学制药+中报预计减亏,002900,002900.SZ
33,光模块+重大资产重组+CPO+代工,001267,001267.SZ
33,跨界并购+电机控制芯片+医疗器械出口,301234,301234.SZ
33,创新药+医药商业+中药,002589,002589.SZ
33,氟泽雷塞获批+CDMO+创新药合作,000739,000739.SZ
17,AI算力PCB+光模块+汽车电子,603228,603228.SH
17,TGV玻璃基板+先进封装+6G,603773,603773.SH
17,AI应用+低空经济+卫星数据应用+视频会议,603660,603660.SH
17,创新药+药物分子砌块,688073,688073.SH
33,AI制药+CRO+创新药,301230,301230.SZ
33,阿尔茨海默病+p-Tau217蛋白+CRO概念+生物试剂,301047,301047.SZ
33,光模块+半年报预增+H股上市,002281,002281.SZ
17,AI算力+液冷服务器+2026中报预增,605289,605289.SH
17,火电+新能源+定增+央企,600744,600744.SH
33,拟收购半导体+人形机器人+家电零部件,301008,301008.SZ
33,稀土+一季报增长+央企,000831,000831.SZ
17,定增扩产+AI算力+PCB+绵阳国资,603328,603328.SH
17,,603106,603106.SH
17,CRO+创新药+金华国资入主,600721,600721.SH
17,可剥铜+铜箔+电磁屏蔽膜,688020,688020.SH
17,人形机器人+真空镀膜+发动机核心零部件+回购注销,603758,603758.SH
17,橡胶密封件+新能源汽车+年报增长,603655,603655.SH
17,铟+铋材料+半导体设备+存储芯片,600641,600641.SH
17,先进封装+存储芯片+订单饱满,688419,688419.SH
17,高速电子树脂+AI算力+中报预增,601208,601208.SH
17,创新药+拟中标集采+业绩预增,600664,600664.SH
17,SPD+医药商业+上海国资,600272,600272.SH
17,AI覆铜板+PCB+半年报预增,600183,600183.SH
17,CRO+重组蛋白+AI医药,688137,688137.SH
17,创新药+宠物药+中报预增+椒江国资,600267,600267.SH
17,,600892,600892.SH
17,覆铜板上游（PPE树脂）+光纤概念+拟收购南通星辰,600500,600500.SH
17,AI制药+基因修饰模型+CRO服务,688265,688265.SH
33,母婴用品+摘帽+中报预计扭亏,002762,002762.SZ
17,减持未实施+芯片测试+医疗器械+上海国资,600651,600651.SH
33,PCB+AI服务器+回购完成,002913,002913.SZ
33,减肥药+医药制造+资产注入+高管增持,002742,002742.SZ
33,AI蛋白质设计+创新药+CGT+回购注销,301080,301080.SZ
17,HDI技改扩产+AI算力+PCB,603459,603459.SH
17,半年报增长+半导体靶材+稀土+央企,600206,600206.SH
33,6G预研+滤波器龙头+卫星通信,002194,002194.SZ
33,民爆一体化+资产注入预期+央企,002037,002037.SZ
17,算力租赁+数据中心+水泥+央企,600449,600449.SH
17,,601700,601700.SH
33,碳化硅设备+机器人+稀土永磁+定增,002943,002943.SZ
33,电子特气+六氟化钨+大宗气体,002971,002971.SZ
33,PCB+AI硬件+光模块+半年报增长,301366,301366.SZ
33,白银龙头+铜金矿投产+技改获批+半年报增长,000603,000603.SZ
17,营养保健食品+维生素+宠物经济,603102,603102.SH
33,,000779,000779.SZ
17,光伏玻璃+减供稳价+收购新材料公司,601865,601865.SH
33,PCB设备+PI膜+薄膜材料,001223,001223.SZ
33,3D打印+覆膜砂+油气勘探,001296,001296.SZ
17,实验猴涨价+中报预增+CRO,603127,603127.SH
17,覆铜板+AI算力+定增受理+半年报预增,603186,603186.SH
17,AI应用+AI漫剧+火山引擎合作,605287,605287.SH
33,机器人+液冷+智能控制器,300916,300916.SZ
