涨停原因类别[20260618],market_code,股票代码,code
,33,000016.SZ,000016
,33,000037.SZ,000037
燃气轮机叶片+高温合金+微生态活菌,33,000534.SZ,000534
,33,000539.SZ,000539
商业运营+数字科技+摘帽,33,000608.SZ,000608
,33,000632.SZ,000632
调入深证100+AI PCB钻针+央企,33,000657.SZ,000657
,33,000777.SZ,000777
数据中心液冷+拟收购整合+权益分派+烟台国资,33,000811.SZ,000811
,33,000838.SZ,000838
AI语料+网络安全+央企,33,000839.SZ,000839
算力销售+通信服务+追索7.25亿款项,33,000889.SZ,000889
,33,000911.SZ,000911
氧化锆粉体+齿科材料+高分红+定增完成,33,001216.SZ,001216
,33,001269.SZ,001269
非金属材料+覆膜砂龙头+3D打印,33,001296.SZ,001296
算力+人形机器人+定增募资+一季报增长,33,001339.SZ,001339
人形机器人+储能连接器+汽车线束龙头+广州国资,33,001365.SZ,001365
超级电容+炭黑龙头+超导电炭黑,33,002068.SZ,002068
覆铜板+PCB上游+扭亏为盈,33,002141.SZ,002141
半导体真空泵+AIDC液冷+一季报增长,33,002158.SZ,002158
自然景点+索道+国企改革,33,002159.SZ,002159
锆材料+固态电池+定增,33,002167.SZ,002167
AI散热+铜箔+固态电池+一季报增长,33,002203.SZ,002203
3.2T硅光NPO+CPO+定增+央企,33,002281.SZ,002281
大缸径曲轴+数据中心+机器人+重卡曲轴龙头,33,002283.SZ,002283
硬质合金+商业航天+培育钻石+湖南国资,33,002297.SZ,002297
减肥药+创新药+流感,33,002317.SZ,002317
,33,002323.SZ,002323
3D视觉+具身智能数据集+算力租赁+AI营销,33,002354.SZ,002354
硅碳负极+收购联创锂能+耐火材料+AI芯片,33,002392.SZ,002392
,33,002431.SZ,002431
参股月之暗面+拟投资阶跃星辰+AI医疗,33,002432.SZ,002432
炭黑龙头+绿色低碳,33,002442.SZ,002442
文旅演艺+供应链物流,33,002485.SZ,002485
光纤光缆+产能扩张+数据中心,33,002491.SZ,002491
,33,002547.SZ,002547
,33,002568.SZ,002568
定增通过+PCB+高阶HDI+AIPC,33,002579.SZ,002579
,33,002620.SZ,002620
,33,002634.SZ,002634
激光加工+拟控股浙江镝嘉+车载声学+增持,33,002655.SZ,002655
,33,002667.SZ,002667
机器人电子皮肤+汽车内饰皮革+一季报增长,33,002674.SZ,002674
算力产业+增资子公司+家装AI,33,002713.SZ,002713
,33,002717.SZ,002717
人形机器人+工业机器人出货量第一+具身智能,33,002747.SZ,002747
庭外重组+债务豁免+珠海国资,33,002789.SZ,002789
磷酸铁锂+固态电池+一季报扭亏,33,002805.SZ,002805
摘帽预期+机器人线束+半导体设备+颖泉国资,33,002816.SZ,002816
定增通过+钨全产业链+光伏钨丝+业绩增长,33,002842.SZ,002842
,33,002856.SZ,002856
MLCC离型膜+HVLP铜箔+转债强赎,33,002859.SZ,002859
高速连接器+华为链+液冷散热+CPO,33,002897.SZ,002897
创新药+中成药国际化+仿创结合,33,002907.SZ,002907
