market_code,code,股票代码,涨停原因类别[20260520]
17,688584,688584.SH,半导体硅片+供货晶圆厂+12英寸扩产
33,002055,002055.SZ,高速连接器+存储芯片
33,001259,001259.SZ,股份转让+小家电
17,603082,603082.SH,
33,002126,002126.SZ,人形机器人+液冷服务器+汽车热管理
33,002645,002645.SZ,稀土永磁+机器人+一季报大增
17,600563,600563.SH,薄膜电容器+AI硬件+机器人+新能源
17,600156,600156.SH,
33,002158,002158.SZ,半导体真空泵+数据中心压缩机+光伏真空泵
17,603663,603663.SH,半导体产业链+核级锆+锆铪分离
33,001313,001313.SZ,特种水产饲料+越南投产+一季度高增长
17,688449,688449.SH,存储芯片+PCIe6/7+UFS5.0
33,000859,000859.SZ,光刻胶+芯片封装膜+拟收购金张科技+合肥国资
33,002169,002169.SZ,高压储能+重组进展+粤芯半导体
33,000767,000767.SZ,
22,600180,600180.SH,
33,003036,003036.SZ,固态电池+电子布纺织机+高端纺机+纺织机器人
22,600302,600302.SH,控制权变更+缝制设备+机器人概念+西安国资
17,603121,603121.SH,
17,603790,603790.SH,机器人+染料助剂+海外扩张
17,603316,603316.SH,存储芯片+定增扩产+业绩暴增
33,301322,301322.SZ,拟收购诚瑞科技+半导体设备+场地电动车
17,603324,603324.SH,光刻胶+半导体设备+绿色厂务
17,600962,600962.SH,重组推进+芯片产线+央企
33,002082,002082.SZ,
17,603007,603007.SH,
22,600381,600381.SH,
17,603061,603061.SH,半导体设备+测试分选机+可转债扩产+一季报高增
33,002620,002620.SZ,
33,001266,001266.SZ,液冷储能+算电一体化+一季报大增+智能电控
33,002175,002175.SZ,
22,600678,600678.SH,地天板+ST反弹+石灰石+洛阳国资
33,000669,000669.SZ,
17,603986,603986.SH,持股长鑫科技+存储芯片涨价+一季报高增
17,605288,605288.SH,机器人+线性驱动+智能家居
33,002442,002442.SZ,董事长增持+炭黑龙头+绿色降碳
17,600611,600611.SH,间接投资长江存储+智能网联+上海国资
33,301013,301013.SZ,半导体测试+华为合作+MLCC
33,000417,000417.SZ,间接投资长鑫科技+合肥国资+零售+农批
17,603938,603938.SH,存储上游+光纤材料+硅产品
33,002272,002272.SZ,液冷服务器+机器人+定增扩产
17,603278,603278.SH,
22,600243,600243.SH,
33,002348,002348.SZ,
33,300069,300069.SZ,收购中科西光+商业航天+复牌+特高压玻璃绝缘子
33,001269,001269.SZ,半导体石英坩埚+大尺寸光伏坩埚+客户验证加速
33,002207,002207.SZ,
17,600769,600769.SH,
33,002654,002654.SZ,存储芯片+长江产业控股+湖北国资
33,000010,000010.SZ,
17,603779,603779.SH,淄博国资入主+葡萄酒+白兰地
17,603618,603618.SH,光纤涨价+一季报增长+特高压
17,600604,600604.SH,间接投资长存+创投+上海国资
17,603005,603005.SH,TSV封装+第三代半导体+车规CIS
17,600530,600530.SH,保健品+宠物新品+益生菌+养老护理
17,605299,605299.SH,
33,000029,000029.SZ,
33,000890,000890.SZ,参股光纤公司+金属制品+环保业务
22,600370,600370.SH,
33,002787,002787.SZ,半导体设备+温控设备+并购扩张
33,301139,301139.SZ,超跌反弹+算力租赁+通信运维+新能源
17,600936,600936.SH,
17,603375,603375.SH,存储芯片+电子雷管+低空经济
33,002796,002796.SZ,光模块+6G+精密箱体
33,000695,000695.SZ,电池+负极材料+绿电+产能扩张
33,002031,002031.SZ,
17,603919,603919.SH,白酒+全国化扩张+高端产品升级
17,603178,603178.SH,
33,301092,301092.SZ,盐湖提锂+稀土永磁+核电树脂
33,002918,002918.SZ,
17,601133,601133.SH,长鑫产业链+存储芯片+洁净室
17,600023,600023.SH,
33,002782,002782.SZ,电源产品+SST高频变压器+机器人+墨西哥扩产
33,000926,000926.SZ,城中村改造+武汉地产+金属制品+碳中和
17,600396,600396.SH,
22,603517,603517.SH,ST摘帽预期+卤味龙头+冷链物流
17,603353,603353.SH,芯片IP+控股奎芯科技+成品油
33,003004,003004.SZ,摘帽+智能安防+军工信息化
17,600578,600578.SH,
33,000911,000911.SZ,
22,600238,600238.SH,保健酒+海南国资+ST摘帽预期
33,002667,002667.SZ,
22,603580,603580.SH,
33,002407,002407.SZ,氢氟酸涨价+大圆柱电池+一季报暴增
17,600539,600539.SH,
33,000078,000078.SZ,
33,002072,002072.SZ,司法拍卖+煤炭贸易
17,600208,600208.SH,
33,000518,000518.SZ,摘帽+生物医药+园林绿化
17,600615,600615.SH,智能农机+机器人+无人割草机
33,000809,000809.SZ,实控人变更+风电混塔+绿色电力
22,600745,600745.SH,
33,000880,000880.SZ,发电机组+数据中心+山东国资
33,002081,002081.SZ,
22,603008,603008.SH,AI床垫+脑机接口+ST重整
17,688323,688323.SH,PI薄膜+AI服务器上游+商业航天+国产替代
33,002421,002421.SZ,液冷服务器+AIoT平台+机器人概念+AI应用
33,002514,002514.SZ,人形机器人+智能制造+亏损收窄
33,301020,301020.SZ,控股股东拟变更+氢能密封+技改扩产+国企
33,000056,000056.SZ,
33,000716,000716.SZ,黑色健康食品+一季报高增+广西国资入主
17,600895,600895.SH,上海微电子+集成电路+浦东国资
17,603186,603186.SH,覆铜板+AI算力+定增扩产
17,603687,603687.SH,GPU投资+芯片布局+纸包装
17,603090,603090.SH,液冷服务器+铝制换热器+氢能源
33,002392,002392.SZ,
17,601991,601991.SH,
