涨停原因类别[20260311],market_code,股票代码,code
炭黑+高压电缆屏蔽料+人形机器人,33,001207.SZ,001207
硫铁矿+光伏银粉+业绩预增+广东国资,33,000833.SZ,000833
业绩预盈+烟花爆竹+ST板块,22,600599.SH,600599
光伏逆变器+储能+全球化布局,33,301658.SZ,301658
机器人+环保包装+全球布局,33,002831.SZ,002831
花卉转型+ST板块+昆明国资,22,600608.SH,600608
粮食概念+玉米种子+土地流转+甘肃国资,17,600108.SH,600108
绿证交易+垃圾焚烧+北京国资,17,601330.SH,601330
800G光模块+AMB陶瓷衬板+HDI扩产,17,603936.SH,603936
钛白粉+租赁合作+减产,33,000545.SZ,000545
烧碱+化工+有机硅+唐山国资,17,600409.SH,600409
金属铟+ITO靶材+资产注入预期,33,000711.SZ,000711
智能金融设备+产业园+广州资产+资产出售,33,002177.SZ,002177
光伏设备+储能一体机+外销,33,002150.SZ,002150
绿电转型+热电联产+煤炭概念+央企,17,600726.SH,600726
算电协同+氢能+央企,17,601868.SH,601868
退市博弈+缝制数控+智能电网,22,600355.SH,600355
光纤+光通信+FTTR+卫星通信,33,300504.SZ,300504
重整+创新药CDMO+合成生物,33,000908.SZ,000908
工业母机+业绩预增+高端装备,33,002248.SZ,002248
氨基酸+合成生物+回购,17,600873.SH,600873
固态电池+异质结光伏+光伏治沙,17,603778.SH,603778
液冷服务器+屏蔽泵+维谛技术,17,603757.SH,603757
甲醇+风电项目+河北国资,17,600722.SH,600722
锂电电解液+光伏PVB膜,33,001369.SZ,001369
CPO+智算中心+高速光模块,17,603803.SH,603803
南网业务恢复+液流储能+智能电网,17,603421.SH,603421
烧碱+PVC+兵团国资,17,600075.SH,600075
,17,600302.SH,600302
退市博弈+酱香型白酒+直播电商,22,600696.SH,600696
ST摘帽预期+液化石油气+充电桩,22,600753.SH,600753
CPO+商业航天+Micro LED+玻璃基板,17,603773.SH,603773
增资宁夏+锂电闭环+TMP涨价,33,002455.SZ,002455
煤制烯烃+绿氢耦合+业绩预增+回购,17,600989.SH,600989
房地产+半导体背景+创投,33,000609.SZ,000609
工商储逆变器+光伏设备+海外扩张,17,605117.SH,605117
大宗商品贸易+生物农药+特种油脂,33,000626.SZ,000626
电源产品+储能+墨西哥扩产,33,002782.SZ,002782
智能电网+电缆业务+高级男装,33,002656.SZ,002656
液冷服务器+新能源车热管理+大众供货,17,603158.SH,603158
参股中经云+宁波国资+房屋建设,17,601789.SH,601789
拟购苏龙热电+火电转型+江阴国资,33,002445.SZ,002445
成品油+铜官油库+拟收购奎芯+超快充,17,603353.SH,603353
蛋氨酸+动物营养添加剂+基础化工+央企改革,17,600299.SH,600299
算力中标+扭亏预告+退市博弈,33,000004.SZ,000004
碳酸锂+郴州锂矿+控制权拟变更,33,002667.SZ,002667
,17,603061.SH,603061
氢能材料+特种纸+央企,17,600433.SH,600433
钠离子电池+化工+天然碱项目+央企,17,600328.SH,600328
算力UPS+氢能+固态电池+储能,33,002733.SZ,002733
AI数据标注+央企背景+业绩预增,33,000839.SZ,000839
国资入股+血透设备+脑电监护,33,300246.SZ,300246
算力租赁+年报预增+英伟达合作,17,603629.SH,603629
广西国资委拟入主+智能物流+数显量具,33,002175.SZ,002175
摘星脱帽预期+商业地产+控制权变更,33,000608.SZ,000608
重整预期+天然气+扭亏,33,000669.SZ,000669
算电协同+储能+绿电交易+央企,33,000537.SZ,000537
培育钻石+热沉片+国资增持,17,600172.SH,600172
绿电+储能布局+央企,17,601016.SH,601016
火电+新能源+江西国资,33,000899.SZ,000899
华为昇腾+存储芯片+电子分销,33,000062.SZ,000062
算力租赁+基建转型+盐湖提锂,22,603843.SH,603843
存储芯片+电子特气+光纤材料,17,603938.SH,603938
南方电网中标+特高压铁塔+唐山国资+回购完成,17,601700.SH,601700
数据要素+数字教育+央企,17,601858.SH,601858
创投+AI医疗+CGM上市+回购注销,33,002432.SZ,002432
氯碱化工+甲醇+国企改革+PVC涨价预期,33,002092.SZ,002092
深圳国资+智慧城市+减亏预期,33,002528.SZ,002528
武汉新城+供水+国企,17,600769.SH,600769
