涨停原因类别[20260609],股票代码,market_code,code
猪价反弹+机器人+生猪养殖+养鸡,000048.SZ,33,000048
参股长飞光纤+商业航天+国企,600345.SH,17,600345
,600608.SH,21,600608
覆铜板+PCB概念,002141.SZ,33,002141
铜箔+HVLP+固态电池+满产满销,600110.SH,17,600110
光伏电池+海外突破+杀菌剂+减亏,002513.SZ,33,002513
半导体+锆铪分离+固态电池+核级锆,603663.SH,17,603663
铜基新材料+液冷散热+一季报增长,603124.SH,17,603124
特种电子布+PCB概念+H股发行+一季报增长,603256.SH,17,603256
AI营销+字节概念+持股中书艺莲+VR文旅,002995.SZ,33,002995
半导体洁净室+新加坡布局+一季报倍增,603929.SH,17,603929
覆铜板满产满销+定增高等级覆铜板+一季报增长,002636.SZ,33,002636
数据要素+具身智能智脑+股权激励归属,688500.SH,17,688500
阿尔茨海默概念+原料药制剂一体化+头孢回暖,605177.SH,17,605177
,600265.SH,22,600265
具身智能+仿生飞行器+AI应用,002362.SZ,33,002362
ST板块+预重整+管理层增持+产业新城,600340.SH,22,600340
液冷算力+高压快充+多媒体视讯,002771.SZ,33,002771
跨界磷化铟衬底+光稳定剂,603065.SH,17,603065
重大资产重组+存储芯片+电子元器件分销,000670.SZ,33,000670
电子布织机+固态电池+高端纺机,003036.SZ,33,003036
控制权拟变更+组织架构调整+缝制机器人+西安国资,600302.SH,22,600302
半导体设备+固态电池+精密金属结构件,003043.SZ,33,003043
拟收购PEEK龙头+PCCP+中标大单,603616.SH,17,603616
MLCC离型膜+复合铜箔量产+扭亏为盈,002585.SZ,33,002585
控制权拟变更+房地产+环保+ST板块,000838.SZ,33,000838
电力+储能+综合能源服务+一季报扭亏,000037.SZ,33,000037
PPO树脂+PCB上游+先进封装,605589.SH,17,605589
被动元件+产品涨价+TLVR电感,002138.SZ,33,002138
芳纶纸+收购中菱科技+烟台国资,920394.BJ,151,920394
液冷服务器+半导体核心零部件+泛半导体,300260.SZ,33,300260
,000517.SZ,33,000517
热电联产+大连国资+一季报增长,600719.SH,17,600719
转增股本+锌锰电池+外销+一季报增长,301222.SZ,33,301222
稀土永磁+机器人+央企,002057.SZ,33,002057
数据中心电源+发电机+柴油发动机,605100.SH,17,605100
高速树脂+覆铜板上游+一季报增长,601208.SH,17,601208
人形机器人+机器人零部件+定增扩产,603211.SH,17,603211
申请摘帽+听花酒增长+大健康,600381.SH,22,600381
腾讯概念+数据标注+自动驾驶+具身智能,301428.SZ,33,301428
光通信芯片+火腿龙头+除权除息,002515.SZ,33,002515
,603825.SH,22,603825
AI服务器电源+机器人电源,002993.SZ,33,002993
覆铜板龙头+AI PCB+上证50调入,600183.SH,17,600183
低空经济+航空发动机+资产置换+通用机械,001696.SZ,33,001696
半导体设备+先进制程+一季报扭亏,688409.SH,17,688409
人形机器人+工业机器人出货量第一+具身智能,002747.SZ,33,002747
空调风叶+机器人概念+定增获批+广州国资,002676.SZ,33,002676
半导体设备+碳化硅陶瓷零部件+订单景气,688596.SH,17,688596
半导体石英+光纤概念+高纯石英砂,603688.SH,17,603688
光模块透镜固定用胶+电子胶+半导体,603330.SH,17,603330
,600636.SH,21,600636
PPO树脂+覆铜板上游+江西产能,301630.SZ,33,301630
间接投资长江存储+算力+上海出租车,600611.SH,17,600611
300mm硅片+SOI硅片+存储芯片,688126.SH,17,688126
,600279.SH,17,600279
机器人概念+化工装备+重大资产重组+央企,600579.SH,17,600579
光纤上游+有机硅+人形机器人+一季报增长,600596.SH,17,600596
数据中心电源+算力+商业航天,300593.SZ,33,300593
MLCC涨价+投资建厂+存储芯片测试,301013.SZ,33,301013
页岩气收购+氦气+天然气+贵州国资,600903.SH,17,600903
玻纤+电子纱+风电纱+山玻转债提前赎回,605006.SH,17,605006
算力大单+人形机器人+液冷,600673.SH,17,600673
六氟化钨+电子特气+硅基新材料,002971.SZ,33,002971
汽车铝合金轮毂+轮胎+股份协议转让,603335.SH,17,603335
功率半导体+人形机器人+MOSFET+先进封装,605111.SH,17,605111
算力+Token工厂+类ABF膜+味精龙头,600186.SH,17,600186
AI专网通信+机器人,002583.SZ,33,002583
半导体石英坩埚+光伏石英坩埚+大尺寸量产,001269.SZ,33,001269
实控人拟变更+BIPV+枣庄国资,002323.SZ,33,002323
人形机器人+PEEK材料+汽车零部件,002048.SZ,33,002048
AI服务器电源+超级电容+浙江国资,002484.SZ,33,002484
物理AI+具身智能数据集+AI应用,002354.SZ,33,002354
液冷数据中心+拟收购整合+业绩增长+烟台国资,000811.SZ,33,000811
PCB铜箔+锂电铜箔+股东协议转让,600226.SH,17,600226
庭外重组+一季报扭亏+建筑工程,000010.SZ,33,000010
PCB化学品+算力+股权激励,002741.SZ,33,002741
,600421.SH,21,600421
智算服务+腾讯合作+酒类销售,002575.SZ,33,002575
AI智算+装配式建筑+亏损收窄,605318.SH,17,605318
耐火材料龙头+湿法冶金沉淀剂+氧化镁,002225.SZ,33,002225
安全芯片+卫星通信+央企,600198.SH,17,600198
光通信散热布局+5G+空气悬架+特斯拉产业链,002976.SZ,33,002976
AI特种纤维布+风电叶片+一季报增长+央企,002080.SZ,33,002080
香精香料+鱼油+收购进展+一季报增长,603020.SH,17,603020
人形机器人+数据服务+ST摘帽预期,002122.SZ,33,002122
,600759.SH,22,600759
光纤光缆+芳纶隔膜+烟台国资,002254.SZ,33,002254
车载照明+汽车电子+收购嘉利股份+分红登记,603303.SH,17,603303
电子树脂+覆铜板上游+定增注册,002669.SZ,33,002669
半导体材料+风电出海+央企,600458.SH,17,600458
权益分派+房地产+深圳国资,000029.SZ,33,000029
ITO靶材投产+一季度扭亏+摘帽预期,000711.SZ,33,000711
12英寸硅片+存储芯片+拟参股半导体上游,688783.SH,17,688783
印尼锂盐+固态电池+一季报扭亏,002240.SZ,33,002240
电源管理芯片+车规芯片+收购兼并,688141.SH,17,688141
数据中心+国际工程+中东市场,002051.SZ,33,002051
PCB用化学试剂+电子化学品+一季报增长,002584.SZ,33,002584
MLCC镍粉+AI算力+扩产+光伏银包铜粉,605376.SH,17,605376
PPO树脂+覆铜板上游+机器人,300221.SZ,33,300221
空芯光纤光缆+光通信+分拆上市+一季报增长,600487.SH,17,600487
特高压电容膜+镀膜产线+国企改革,002263.SZ,33,002263
高速覆铜板+环氧树脂+先进封装,603002.SH,17,603002
聚乙烯醇+PVB树脂+锂电池电解液,001369.SZ,33,001369
私募基金投资+细胞免疫治疗+养老机器人,600682.SH,17,600682
,600696.SH,21,600696
,002581.SZ,33,002581
,603272.SH,22,603272
半导体硅片+抛光硅片+一季报增长,003026.SZ,33,003026
AI语料+参股MiniMax+一季报增长,000681.SZ,33,000681
PCB概念+AI服务器+玻璃芯基板,002134.SZ,33,002134
PCB+半导体洁净室+东南亚,603163.SH,17,603163
,002243.SZ,33,002243
定增扩产+功率半导体+AI机器视觉,300656.SZ,33,300656
拟收购AI电商+新能源+国企改革,002769.SZ,33,002769
火力发电+绿氢+央企,600396.SH,17,600396
人形机器人+飞行汽车+协议转让,605018.SH,17,605018
AI算力光纤+空芯光纤+业绩高增+富时中国50,601869.SH,17,601869
液冷阀门+高出口占比+分红实施,002871.SZ,33,002871
MLCC+AI算力+高端转型,000636.SZ,33,000636
离子注入机+铋材料+存储芯片+业绩增长,600641.SH,17,600641
烘焙新品+海外建厂+一季度营收增长,001215.SZ,33,001215
除权除息+高性能计算电源芯片+收购易冲科技,688368.SH,17,688368
,002667.SZ,33,002667
煤炭+C919供应商+海南自贸区,000571.SZ,33,000571
退市整理+水环境修复,605081.SH,21,605081
数字能源代工+Robobus自动驾驶方案+年报增长,002970.SZ,33,002970
PPO材料+稀土永磁+家电零部件,603150.SH,17,603150
污水处理+中标1.97亿项目+股份回购,600187.SH,22,600187
PCB概念+PCBA制造+一季报增长,920357.BJ,151,920357
薄膜铌酸锂+光模块+软磁材料,600330.SH,17,600330
液冷服务器+谷歌合作+英伟达产业链,002837.SZ,33,002837
参股六度人和（腾讯投资）+间接持股宇树科技+先进封装,002137.SZ,33,002137
,603319.SH,17,603319
PPE树脂+环氧树脂+央企,600500.SH,17,600500
环保锅炉+垃圾焚烧发电+ST板块,002630.SZ,33,002630
数字科技+商业运营+摘帽,000608.SZ,33,000608
智谱AI+生态水利+中标,605069.SH,17,605069
,600193.SH,21,600193
华为合作+AI应用+算力+分红除权,000158.SZ,33,000158
PCB钻针设备+工业母机+国资股权转让+湖北国资,000509.SZ,33,000509
碳化硅+半导体设备+订单增长,688478.SH,17,688478
SiC模块+功率半导体+AI服务器电源+人形机器人,688711.SH,17,688711
AI应用+信创+一季报增长,603039.SH,17,603039
并购贷款落地+液冷散热+北美客户,003018.SZ,33,003018
L4无人配送车+柴油机+昆明国资,000903.SZ,33,000903
,000056.SZ,33,000056
光伏硅片+太空光伏+组件放量,002129.SZ,33,002129
MLCC离型膜+HVLP铜箔+复合集流体,002859.SZ,33,002859
元件+碳酸锂+申请摘帽,002199.SZ,33,002199
硅片订单饱满+VCSEL芯片+12英寸硅片+光通信,605358.SH,17,605358
碳化硅+有机硅+定增扩产,603260.SH,17,603260
