code,涨停原因类别[20260814],market_code,股票代码
002418,算力+液冷+家电,33,002418.SZ
003031,电子陶瓷+CPO+央企,33,003031.SZ
600198,安全芯片+卫星通信+央企,17,600198.SH
688286,MEMS传感器+人形机器人,17,688286.SH
603618,光纤光缆+定增扩产+PCB铜箔,17,603618.SH
300017,CDN涨价+液冷+算力租赁+边缘AI,33,300017.SZ
603118,数据中心交换机+机器人+网通设备+唐山国资,17,603118.SH
603137,,17,603137.SH
000936,间接参股光芯片+磷化铟+涤纶化纤+创投,33,000936.SZ
002774,股份过户+印度地铁订单+电梯出口,33,002774.SZ
300684,中际旭创入股+CPO散热+液冷服务器,33,300684.SZ
688485,半导体切割+光纤传感+声纹监测,17,688485.SH
002645,稀土永磁+机器人概念+中报预增,33,002645.SZ
600288,机器视觉+半导体+半年报预计扭亏,17,600288.SH
301130,创新药+瑞香素+化学制药,33,301130.SZ
002726,预重整+猪肉+预制菜+半年报减亏,33,002726.SZ
002651,商业航天+军工+分红提议,33,002651.SZ
001260,汽车软内饰+海外产能+新能源客户,33,001260.SZ
603095,AI验布机+纺织机械+高端装备,17,603095.SH
920083,导热粉体+光模块导热应用+次新股,151,920083.BJ
600487,光纤光缆+硅光芯片+CPO+海洋通信,17,600487.SH
603682,,17,603682.SH
600613,化学制药+抗肿瘤+感冒止咳,17,600613.SH
600936,,17,600936.SH
000582,,33,000582.SZ
603079,维生素+合成生物+生物保鲜剂,17,603079.SH
603115,AI服务器+电极箔+全球龙头+中报预增,17,603115.SH
300929,净水概念+BAF污水处理+股东增持,33,300929.SZ
603696,,17,603696.SH
000593,,33,000593.SZ
002811,MEMS芯片+室内设计+订单高增,33,002811.SZ
603089,机器人概念+汽车减震器龙头+定增完成,17,603089.SH
002172,脑机接口+医疗服务+国企改革,33,002172.SZ
603725,回购+机器人+电子皮肤+高分子饰面材料,17,603725.SH
603989,MLPC+铝电解电容+AI服务器+算力,17,603989.SH
002907,临床试验批准+青光眼+创新药+中成药,33,002907.SZ
002766,重大合同+智能舱驾+5G,33,002766.SZ
000831,稀土+半年报增长+央企,33,000831.SZ
688662,CPO+Micro TEC+产能扩张,17,688662.SH
300120,专网通信+电磁线+液晶显示+收购完成,33,300120.SZ
601609,算力散热+液冷服务器+铜加工龙头+稀土,17,601609.SH
603758,,17,603758.SH
603177,钠电池+大气治理+环保催化剂,17,603177.SH
600645,细胞治疗+精准诊断+创新药,17,600645.SH
000950,医药商业+创新药+央企背景,33,000950.SZ
600683,,17,600683.SH
002628,萤石矿+机器人+氟化工+中标基建,33,002628.SZ
600272,SPD+医药商业+资产收购+上海国资,17,600272.SH
600353,氮化铝+可控核聚变+光刻机+真空灭弧室,17,600353.SH
002724,照明+智慧灯杆+物联网,33,002724.SZ
603382,尼龙6+涤纶工业丝+智能制造,17,603382.SH
002988,机器人轻量化+液冷散热+汽车轻量化+定增获批,33,002988.SZ
002322,半年报增长+高分红+AI应用,33,002322.SZ
002047,,33,002047.SZ
002951,超级电容+储能+中报预计减亏,33,002951.SZ
301419,CPO+存储芯片+导热材料,33,301419.SZ
603629,算力租赁+英伟达合作+中报预增,17,603629.SH
603330,CPO+电子胶+半年报预盈,17,603330.SH
002658,半导体气体检测+碳监测+商业航天检测,33,002658.SZ
000620,存储芯片+AI算力+转型科技,33,000620.SZ
002081,洁净室+参建数据中心+海外业务+建筑装饰龙头,33,002081.SZ
600829,医药商业+DTP药房+半年报增长,17,600829.SH
002400,,33,002400.SZ
603083,高速光模块+CPO+中报预增,17,603083.SH
603881,算力租赁+智算转型+上海国资,17,603881.SH
603025,半年报增长+缝制电控龙头+机器人+算力,17,603025.SH
300404,中药创新药+CRO+战略合作,33,300404.SZ
600815,工程机械+军工+厦门国资,17,600815.SH
300862,拟收购岚创科技+真空镀膜设备+环境监测+低空经济,33,300862.SZ
600186,算力租赁+阶跃星辰+类ABF膜+调味品,17,600186.SH
002989,FCBGA封装基板+半导体转型+浙江国资,33,002989.SZ
002820,中华老字号+大消费+国企改革,33,002820.SZ
603186,覆铜板+AI算力+定增受理+半年报预增,17,603186.SH
600769,存算基地+供水+武汉国资,17,600769.SH
