market_code,code,股票代码,涨停原因类别[20260203]
33,002716,002716.SZ,
33,002957,002957.SZ,半导体设备+光模块+AI眼镜+低空经济
33,000856,000856.SZ,京津冀一体化+北京国资+机器人概念
33,301182,301182.SZ,液冷散热+铜缆高速连接+安防线缆+机器人
33,000638,000638.SZ,
33,002126,002126.SZ,具身智能+液冷服务器+汽车热管理
17,601992,601992.SH,京津冀一体化+北京国资+水泥龙头+商业航天
17,601212,601212.SH,
33,000738,000738.SZ,商业航天+航空发动机+央企
17,600586,600586.SH,钙钛矿电池+TCO玻璃+光伏概念
17,600053,600053.SH,私募股权投资+人形机器人+六维力传感器
33,002112,002112.SZ,电网设备+变压器+欧洲设子公司+地方国资
33,001316,001316.SZ,商业航天+业绩预增+低空经济
33,002501,002501.SZ,
33,002547,002547.SZ,
17,603778,603778.SH,光伏设备+固态电池+钙钛矿
33,002471,002471.SZ,商业航天+高温合金+电网设备
33,002713,002713.SZ,重整完成+算力中心+家装AI
33,301636,301636.SZ,钙钛矿电池+光伏接线盒+新能源汽车
17,600869,600869.SH,中标30.75亿元+AI芯片供应链+液冷检测设备
17,603806,603806.SH,柔性砷化镓投资+太空光伏+光伏胶膜+电子材料
33,002792,002792.SZ,卫星通信+低空经济+基站天线
33,000691,000691.SZ,重整完成+军工导入+精细化工+股东增持
33,002155,002155.SZ,重组复牌+黄金预增+湖南国资
33,002342,002342.SZ,商业航天+深海系泊+扭亏为盈
33,000016,000016.SZ,
33,001400,001400.SZ,商业航天+铝挤压模具+风电装备
17,605599,605599.SH,业绩预增+国潮IP+北京国资
22,600381,600381.SH,
17,603211,603211.SH,机器人+毫米波雷达+卫星通信+铝合金压铸
33,000004,000004.SZ,
17,600410,600410.SH,AI算力+AI应用+DeepSeek概念
17,601799,601799.SH,H股递表+车灯龙头+机器人合作+回购
33,000547,000547.SZ,商业航天+天目一号+央企
151,920305,920305.BJ,AI大模型+大数据存储+政务场景
22,600735,600735.SH,资金占用解决+发制品出口+石墨烯
17,603103,603103.SH,春节档+AI漫剧+扭亏为盈
17,600481,600481.SH,光伏设备+氢能装备+中标空冷
33,002951,002951.SZ,储能系统+超级电容+风电应用
33,002175,002175.SZ,
33,300842,300842.SZ,存储芯片+商业航天+光伏银浆
33,000533,000533.SZ,北美变压器+数据中心+核电+智能电网
17,600984,600984.SH,工程机械+煤矿智能开采+一带一路+陕西国资
33,002012,002012.SZ,超级电容+特种纸+海外拓展
17,600149,600149.SH,京津冀一体化+供热+国企
22,603021,603021.SH,日用玻璃+地下管网+跨境电商
33,002830,002830.SZ,AI传媒+住宅装饰+数字化平台
33,300757,300757.SZ,CPO订单+硅光设备+光伏龙头
33,002238,002238.SZ,AI智能体+深圳国资+数据中心+并购预期
17,600673,600673.SH,液冷+秦淮数据+人形机器人
22,600243,600243.SH,
33,002943,002943.SZ,扭亏为盈+光伏设备+碳化硅设备+消费电子
33,000610,000610.SZ,
33,000811,000811.SZ,液冷+核聚变+HRSG+航天燃料+烟台国资
