market_code,code,股票代码,涨停原因类别[20260304]
33,002357,002357.SZ,低空经济+客运龙头+无人物流+年报预增
22,600599,600599.SH,
17,603618,603618.SH,特高压+电力+超薄铜箔
33,000862,000862.SZ,风电技改+绿电直连+智能电网+资产注入预期
17,600236,600236.SH,西藏资产收购+水电高股息+央企
33,000638,000638.SZ,
17,600759,600759.SH,油气开采+哈萨克斯坦油田
17,600108,600108.SH,粮食概念+玉米种子+土地流转+甘肃国资
17,603175,603175.SH,PCB+AI算力扩产+存储芯片
33,000525,000525.SZ,绿色农药+敌草快涨价+国企改革
33,000711,000711.SZ,复牌+金属铟+ITO靶材
33,001396,001396.SZ,地下管网+专精特新+次新股
33,001270,001270.SZ,
33,000890,000890.SZ,光纤概念+钢帘线剥离+环保设备
33,002485,002485.SZ,
33,300617,300617.SZ,北美数据中心+特高压GIL+智慧变电站
33,002877,002877.SZ,智能控制阀+国产化替代+新能源+新型工业化
33,002911,002911.SZ,
17,605196,605196.SH,北美电网+油服电缆+海外产能
17,600313,600313.SH,粮食概念+种业龙头+央企
17,601008,601008.SH,
17,688176,688176.SH,希维她上市+APL-1702获批+创新药商业化
33,000985,000985.SZ,
33,002885,002885.SZ,磁性元器件+变压器+业绩预增+AI智造
17,603530,603530.SH,特高压+越南建厂+电网设备
33,000520,000520.SZ,
33,301129,301129.SZ,智慧供热+磁悬浮离心压缩机+EMC大单+碳化硅
17,603616,603616.SH,
17,600545,600545.SH,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销
33,000609,000609.SZ,
33,002339,002339.SZ,电网设备+中标+特高压
33,001225,001225.SZ,
17,603316,603316.SH,存储芯片+企业级SSD+定增扩产
17,605268,605268.SH,安全门锁+数据要素+智能制造+华为概念
17,600792,600792.SH,
33,001205,001205.SZ,
33,001209,001209.SZ,
33,001282,001282.SZ,人形机器人+汽车锻件+外销增长
33,002162,002162.SZ,康养机器人+银发经济+扭亏为盈
17,603045,603045.SH,业绩预增+数据中心+电接触材料
33,301373,301373.SZ,球形硅微粉+纳米二氧化硅+人形机器人
33,000004,000004.SZ,
33,002512,002512.SZ,
17,601096,601096.SH,电网设备+特高压中标+央企
33,300880,300880.SZ,电网设备+储能+充电桩+中标
17,688525,688525.SH,业绩暴增+存储涨价+AI眼镜+先进封测
17,600821,600821.SH,绿电+算力+回购注销+天津国资
33,000669,000669.SZ,
33,300265,300265.SZ,特高压中标+商业航天+光纤光缆
33,000533,000533.SZ,算力基建+干式变压器+北美出口
33,002167,002167.SZ,锆产品+扩产+固态电池
17,600149,600149.SH,供热+京津冀一体化+国企
33,002490,002490.SZ,油气装备+中东订单+扭亏+国资背景
33,002058,002058.SZ,
17,600871,600871.SH,油服工程+海外大单+央企
33,002389,002389.SZ,无人机军贸+中东冲突+央企
33,002498,002498.SZ,特高压+海上风电+电网设备
33,000697,000697.SZ,无人机+航空发动机+重整完成+四川国资
22,603843,603843.SH,
33,001309,001309.SZ,业绩预增+存储芯片+国产替代
33,002272,002272.SZ,液冷服务器+北美订单+绿色算力
33,002178,002178.SZ,AI医疗+智慧城市+数字能源+扭亏为盈
17,603318,603318.SH,燃气运营+氢能源+山东国资
33,002040,002040.SZ,
33,002207,002207.SZ,油气服务+新疆国资
17,605287,605287.SH,
33,000010,000010.SZ,算力+市政基建+抽水蓄能
