market_code,涨停原因类别[20260401],股票代码,code
22,,600421.SH,600421
17,医药制造+投资并购,600851.SH,600851
22,,600599.SH,600599
33,,000048.SZ,000048
33,PCB+存储芯片+AI算力,002579.SZ,002579
17,年报增长+黄酒+高端化+年轻化,601579.SH,601579
33,AI制药+ADC/CDMO+扭亏预增,300149.SZ,300149
17,算力租赁+扭亏为盈+蓝宝石,600666.SH,600666
17,多元金融+香港牌照+信托,600643.SH,600643
33,,000638.SZ,000638
33,创新药+原料药+定增+年报预增,002940.SZ,002940
33,,000692.SZ,000692
33,稀土永磁+机器人+汽车拆解+扭亏为盈,002645.SZ,002645
33,,000720.SZ,000720
22,,600355.SH,600355
33,年报增长+创新药CDMO+境外订单,002821.SZ,002821
17,年报增长+航运+东南亚航线扩张+上海国资,601083.SH,601083
33,,000752.SZ,000752
17,异质结光伏+储能+固态电池,603778.SH,603778
33,锂电池添加剂+涂层材料+地方国企,002083.SZ,002083
33,算力中心+家装AI+重整完成,002713.SZ,002713
33,创新药+右酮洛芬+抗感染镇痛+原料药获上市批件,000788.SZ,000788
17,光通信+超导带材+可控核聚变+业绩预增,600105.SH,600105
17,CPO+智算中心+高速光模块,603803.SH,603803
17,液冷+算力+东数西算,603912.SH,603912
17,算力租赁+风电轴承+扭亏为盈+国企,603985.SH,603985
17,半导体洁净室+存储芯片+海外扩张,601133.SH,601133
17,固态电池+提前终止减持+回购+衢州国资,601515.SH,601515
17,人形机器人+传感器+氢能,603121.SH,603121
33,可控核聚变+商业航天+氢能装备+压缩机,002639.SZ,002639
17,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销,600545.SH,600545
17,创新药+原料药+出口,600488.SH,600488
22,固态电池+烟草包装+ST摘帽博弈,603429.SH,603429
33,年报高增+特高压线缆+航空零部件+机器人电缆,002560.SZ,002560
22,,603813.SH,603813
17,广西国资委入主+复牌+中药牙膏,600249.SH,600249
17,算力订单+液冷服务器+AR/VR+风电EPC,605289.SH,605289
33,燃气轮机零部件+低空经济+微生态活菌,000534.SZ,000534
17,,600396.SH,600396
17,液冷服务器+新能源车热管理+大众供货,603158.SH,603158
33,医药包装+海外拓展+中硼硅模制瓶,301188.SZ,301188
22,卤味龙头+冷链物流+ST摘帽预期,603517.SH,603517
17,,600310.SH,600310
17,风电齿轮箱+大兆瓦产品,603248.SH,603248
33,CPO设备+半导体设备+机器人,301312.SZ,301312
33,,000004.SZ,000004
33,AI游戏+《异环》即将上线+业绩预计扭亏,002624.SZ,002624
17,电池铝箔扩建+锂电池概念+彩涂铝,603937.SH,603937
17,热电联产+储能+回购,605162.SH,605162
17,驱蚊产品+婴童护理+广州智造基地,603193.SH,603193
33,真空镀膜+苹果链+半导体应用,301392.SZ,301392
22,,605081.SH,605081
33,AI游戏+征途IP+回购注销,002558.SZ,002558
17,,600844.SH,600844
17,阿扎胞苷获批+抗肿瘤药+民营医院,600594.SH,600594
33,创新药+流感+医疗器械,000078.SZ,000078
33,10亿采购合同+潮流户外+5.0新零售+童装品牌,002269.SZ,002269
17,H股聆讯+算力服务器+人形机器人,603296.SH,603296
17,VLCC油运+地缘溢价+央企,601872.SH,601872
22,创新药+儿科药+推进内控缺陷整改,605199.SH,605199
22,昨日复牌+特钢+中亚出口+央企,600581.SH,600581
17,商业地产+并购转型+国企改革,600724.SH,600724
33,退市风险博弈,002306.SZ,002306
33,800G光模块+AI算力+车载磁性元器件,002902.SZ,002902
22,生物航煤+出口白名单+预计扭亏,603822.SH,603822
33,创新药+尼古丁+原料药,002923.SZ,002923
22,出售资产保壳+服装+储能,600107.SH,600107
17,玻纤涨价+风电纱+山东国资,605006.SH,605006
33,AI投资+AI医疗+CGM上市,002432.SZ,002432
33,股权转让+聚苯乙烯+回购完成,300834.SZ,300834
33,环氧丙烷涨价+甲乙酮龙头+山东国资,002408.SZ,002408
33,乙肝创新药+III期临床试验+中药布局,300436.SZ,300436
33,算电协同+东数西算+扭亏为盈+央企,000815.SZ,000815
17,FPSO南美大单+油气开采及服务+圭亚那项目,603727.SH,603727
33,庭外重组+深圳国资+智慧城市,002528.SZ,002528
17,抗HIV新药+人源蛋白+国际化,688488.SH,688488
17,拟投GPU+钙钛矿设备+参股曲速科技+纸包装,603687.SH,603687
17,AI漫剧+城市更新+扭亏为盈,605287.SH,605287
17,新能源电动风扇+汽车热管理+间接投资宇树科技,603949.SH,603949
