涨停原因类别[20260506],code,股票代码,market_code
,002193,002193.SZ,33
液冷技术+算力+家电制冷,002418,002418.SZ,33
皮鞋+C2M+跨境电商,603001,603001.SH,17
半导体硅片+12英寸扩产+CIS外延片,688584,688584.SH,17
,688022,688022.SH,22
商业航天+稀有金属+国企+章建平新进,002149,002149.SZ,33
六氟磷酸锂+商业航天+芯片概念+一季报增长,603978,603978.SH,17
算力租赁+蓝宝石+扭亏,600666,600666.SH,17
农机+无人驾驶+专用车注入+摘帽预期,603789,603789.SH,22
AI纺织大模型+跨境电商+一季度业绩暴增+国企,600790,600790.SH,17
长存投资+核桃乳+创投,603156,603156.SH,17
算力租赁+800G光模块+一季报净利增长+武汉国资,000818,000818.SZ,33
半导体真空泵+数据中心压缩机+光伏真空泵,002158,002158.SZ,33
,600053,600053.SH,22
电子布涨价+AI算力+80亿扩产,603256,603256.SH,17
,300068,300068.SZ,33
,603359,603359.SH,22
运力扩张+干散货航运+海峡两岸,603162,603162.SH,17
算力租赁+彩票印刷,002229,002229.SZ,33
燃气轮机+液冷+一季报增长,605060,605060.SH,17
一季报增长+商业航天+可转债受理,001316,001316.SZ,33
,002501,002501.SZ,33
参股神州龙芯（CPU）+功率半导体+并购吉莱微,600770,600770.SH,17
,002547,002547.SZ,33
,600340,600340.SH,22
天津国资+工业地产+利空落地+ST板块,600082,600082.SH,22
AI服务器电极箔+全球市占率第一+业绩高增,603115,603115.SH,17
铅锌铜+万侯矿项目+广东国资+一季报增长,000060,000060.SZ,33
,600180,600180.SH,22
商业航天+光模块+卫星通信+基站天线,002792,002792.SZ,33
,300010,300010.SZ,33
,600239,600239.SH,22
,600302,600302.SH,22
算力电源+锂电池+外销占比大,002052,002052.SZ,33
,300352,300352.SZ,33
摘帽申请+通信工程+扭亏为盈,603559,603559.SH,22
存储芯片+算力+韶关国资,300042,300042.SZ,33
人形机器人+丝杠+汽车轴承,300652,300652.SZ,33
半导体资产注入+ST博弈+房地产,000609,000609.SZ,33
磷酸铁锂+固态电池+业绩扭亏,002805,002805.SZ,33
,000016,000016.SZ,33
存储芯片+业绩暴增+定增扩产,603316,603316.SH,17
电子特气+氢能+储能+特高压+央企,600379,600379.SH,17
热电联产+新能源注入预期+大连国资+业绩增长,600719,600719.SH,17
,688066,688066.SH,22
预重整推进+无缝服装主业+ST板块,002634,002634.SZ,33
智算中心+算力租赁,300166,300166.SZ,33
锂盐产能扩张+一季度扭亏+固态电池材料,603399,603399.SH,17
,603729,603729.SH,22
订单需求饱满+数据中心+SOFC+山东国资,000338,000338.SZ,33
,002082,002082.SZ,33
一季报净利扭亏+跨境电商+母婴奶粉,002640,002640.SZ,33
影视IP+文旅小镇+演出经济,000802,000802.SZ,33
申请摘帽+酒水高增+虫草龙头,600381,600381.SH,22
算电协同+储能+虚拟电厂,002015,002015.SZ,33
机器人+工业母机+半导体,002903,002903.SZ,33
控制权变更+光伏建筑一体化+装配化装修,603828,603828.SH,22
,002431,002431.SZ,33
存储芯片封测+AMD链+一季报高增,002156,002156.SZ,33
AI应用+世界杯+广州国资,002181,002181.SZ,33
,000632,000632.SZ,33
,600818,600818.SH,22
,600735,600735.SH,22
算力租赁+业绩暴增+高送转,603629,603629.SH,17
连接器+数据中心+人形机器人,688800,688800.SH,17
,002175,002175.SZ,33
,600678,600678.SH,22
算电协同+绿电+天津国资,600821,600821.SH,17
存储芯片涨价+利基DRAM+机器人MCU,603986,603986.SH,17
存储芯片+股权变更+园林工程,605303,605303.SH,17
,002691,002691.SZ,33
,600084,600084.SH,22
CPU+AI服务器电源+央企,000066,000066.SZ,33
,002198,002198.SZ,33
风电+储能突破+绿电扩张+央企,601016,601016.SH,17
,603021,603021.SH,22
,600537,600537.SH,22
股份转让+环境治理+湖泊生态医院+高送转,688069,688069.SH,17
存储芯片+业绩暴增+国产替代,001309,001309.SZ,33
ST保壳+储能+服装,600107,600107.SH,22
液冷服务器+定增扩产+风电装备,002272,002272.SZ,33
算力大单+液冷+制冷剂涨价,600673,600673.SH,17
人形机器人+腱绳+商业航天+胎圈钢丝,603278,603278.SH,17
HVLP铜箔+存储芯片+业绩高增,301511,301511.SZ,33
,688033,688033.SH,22
,002883,002883.SZ,33
收购莱恩光电+光气资源+光刻胶+精细化工,002453,002453.SZ,33
固废处理+黄金供应链+一季度扭亏,002210,002210.SZ,33
集成电路+国资背景+ST板块,600730,600730.SH,22
,002323,002323.SZ,33
一季报大增+草甘膦+央企,000553,000553.SZ,33
ST板块+油气服务+新疆国资,002207,002207.SZ,33
,601718,601718.SH,22
农批运营+屠宰扩产+国资划转+温州国资,600113,600113.SH,17
摘帽+参股华大北斗+汽车电子+消费电子,600130,600130.SH,17
大缸径曲轴+数据中心+一季报增长,002283,002283.SZ,33
,000010,000010.SZ,33
,603922,603922.SH,22
,603378,603378.SH,22
AI纤维布+风电叶片+央企背景,002080,002080.SZ,33
光纤涨价+特高压+锂电铜箔+一季报增长,603618,603618.SH,17
,600759,600759.SH,22
液冷服务器+核电冷却塔+订单高增,603269,603269.SH,17
储能+风电设备+氢能,603063,603063.SH,17
,000677,000677.SZ,33
AI算力+800G光模块+AMB陶瓷衬板+年报扭亏,603936,603936.SH,17
铟靶材+固危废资源化+一季度扭亏,000711,000711.SZ,33
,002726,002726.SZ,33
算力中心+绿电直连+储能,601778,601778.SH,17
磷化铟扩产+光伏锗+商业航天,002428,002428.SZ,33
,603189,603189.SH,22
,600370,600370.SH,22
算力租赁+通信运维+5G消息+亏损收窄,000889,000889.SZ,33
半导体设备+温控设备+并购扩张,002787,002787.SZ,33
存储芯片+AI端侧+业绩爆发,301308,301308.SZ,33
,601010,601010.SH,22
AI编程+固件信创+业绩大增,688258,688258.SH,17
一季报增长+复合短纤维+涤纶毛条,600527,600527.SH,17
,600491,600491.SH,22
,600965,600965.SH,22
,002102,002102.SZ,33
存储芯片+英伟达代理+央企,001287,001287.SZ,33
一季报大增+湖北国资+证券,000783,000783.SZ,33
,300430,300430.SZ,33
算力租赁+风电轴承+扭亏为盈+国企,603985,603985.SH,17
摘帽申请+一季报暴增+IDC并表+算力租赁,002289,002289.SZ,33
,603718,603718.SH,22
申请撤销退市风险警示+锆钛选矿+家居业务,603389,603389.SH,22
ST摘帽预期+液化石油气+充电桩,600753,600753.SH,22
,002581,002581.SZ,33
*ST+墙布+流通盘小+回购,603272,603272.SH,22
摘帽预期+跨境物流转型+房地产去化,000668,000668.SZ,33
绿电+火电+央企,600396,600396.SH,17
,600337,600337.SH,22
液冷服务器+新能源车热管理+一季报增长,603158,603158.SH,17
摘帽申请+安消一体化+智能安防,003004,003004.SZ,33
芯片IP+拟控股奎芯+成品油+一季报增长,603353,603353.SH,17
健康零食+东芯系入股+腾讯概念,603777,603777.SH,17
算力服务器PCB+泰国产能释放+一季度高增,001389,001389.SZ,33
数据中心+液冷阀门+出口占比高,002871,002871.SZ,33
风光储能+数据中心+电接触材料+业绩大增,603045,603045.SH,17
风电齿轮箱+大兆瓦产品+高端装备,603248,603248.SH,17
,300663,300663.SZ,33
,920575,920575.BJ,151
,000911,000911.SZ,33
算力租赁+电子纸+福建国资,002217,002217.SZ,33
,002667,002667.SZ,33
年报扭亏+轻型输送带+新能源电池配件,603580,603580.SH,22
电池铝箔+锂电池概念+扭亏为盈,603937,603937.SH,17
增资CPU+家电复合材料+年报增长,002290,002290.SZ,33
铝合金零部件+特斯拉+小米汽车+次新股,603418,603418.SH,17
锡锑锌铟+资源增储+广西国资,600301,600301.SH,17
短剧+游戏+唐山国资+一季度营收增长,600892,600892.SH,22
,000078,000078.SZ,33
ST更名+国资背景+建筑装饰,002856,002856.SZ,33
,600187,600187.SH,22
算力租赁+低空经济+车联网,002355,002355.SZ,33
预重整+光伏硅片+ST板块,603398,603398.SH,22
算力租赁+商业航天+OSS,003007,003007.SZ,33
PCB铜箔+固态电池铜箔+铜加工龙头,002203,002203.SZ,33
,600745,600745.SH,22
存储芯片+长兴半导体+文旅地产,000620,000620.SZ,33
半导体洁净室+海外EPC+城市更新,002081,002081.SZ,33
,603008,603008.SH,22
PI薄膜+PCB上游+商业航天+国产替代,688323,688323.SH,17
绿色地产+数字文旅,000863,000863.SZ,33
数据中心电源+HVDC+宁德时代入股,002364,002364.SZ,33
,002109,002109.SZ,33
算力租赁+重整预期+ST板块,603843,603843.SH,22
云计算+金融机具+光伏清洁机器人+国企改革,300368,300368.SZ,33
,000639,000639.SZ,33
,002514,002514.SZ,33
