market_code,股票代码,涨停原因类别[20260310],code
22,600421.SH,业绩预盈+风电模具+壳博弈,600421
17,605318.SH,装配式建筑+AI子公司,605318
33,002575.SZ,算力租赁+腾讯合作+酒类销售,002575
33,002632.SZ,石墨烯散热膜+固态电池+AR+反光材料,002632
22,600599.SH,业绩预盈+烟花爆竹+ST板块,600599
17,600345.SH,参股长飞光纤+智慧应急+卫星互联网+央企,600345
17,600759.SH,,600759
33,000638.SZ,,000638
17,603269.SH,液冷服务器+核电冷却塔+制造业单项冠军,603269
17,600108.SH,粮食概念+玉米种子+土地流转+甘肃国资,600108
33,000711.SZ,金属铟+ITO靶材,000711
33,003021.SZ,H股上市+纳入港股通+人形机器人,003021
17,688655.SH,PCB+800G光模块,688655
33,001270.SZ,T/R芯片+商业航天+扭亏为盈,001270
17,601778.SH,算电协同+智能电网+光伏+储能,601778
33,002485.SZ,ST摘帽预期+文旅复苏+供应链物流,002485
33,002760.SZ,拟收购危废资产+军工特种电机+耐磨材料,002760
17,600726.SH,绿电转型+热电联产+煤炭概念+央企,600726
22,600355.SH,,600355
33,002636.SZ,高频高速CCL+覆铜板扩产+算力基建,002636
33,002335.SZ,液冷智算+算电协同+入围央采,002335
33,300257.SZ,地热发电+氢能装备+一带一路,300257
17,603115.SH,AI服务器+储能电极箔+股权激励,603115
33,300629.SZ,拟收购高至科技+无人机反制+射频微波,300629
17,603803.SH,智算中心+CPO+高速光模块,603803
17,603421.SH,南网业务恢复+液流储能+智能电网,603421
33,001267.SZ,CPO硅光模块+鄂州投产,001267
33,000488.SZ,复工复产+浆纸一体化+山东国资,000488
33,002025.SZ,商业航天+军工电子+光模块+央企,002025
33,002536.SZ,液冷服务器+机器人+汽车热管理,002536
22,600753.SH,ST摘帽预期+液化石油气+充电桩,600753
17,603121.SH,,603121
17,688300.SH,业绩增长+先进封装+覆铜板,688300
17,605268.SH,安全门锁+数据要素+智能制造+华为概念,605268
33,002281.SZ,CPO+800G光模块+央企,002281
33,002789.SZ,珠海国资+建筑装饰+中标项目,002789
17,601789.SH,算力租赁+宁波国资+房屋建设,601789
33,002384.SZ,AI PCB+CPO+光芯片,002384
33,002898.SZ,AI服务器+资产出售+原料药制剂一体化,002898
33,002298.SZ,算电协同+智慧新能源+智能输配电,002298
17,601869.SH,空芯光纤+算力网络+光纤光缆,601869
33,002445.SZ,拟购苏龙热电+火电转型+江阴国资,002445
33,001400.SZ,商业航天+3D打印+液冷+铝挤压模具,001400
33,001389.SZ,算力服务器PCB+业绩预增+产能扩张,001389
33,002294.SZ,创新药+高血压矩阵+拟H股上市,002294
33,000504.SZ,细胞治疗+动力电池回收+湖南国资,000504
33,002592.SZ,汽车热管理+业绩预增+新能源基地,002592
151,920036.BJ,北交所次新股+AI安防+算力服务器,920036
17,600498.SH,光纤光缆+卫星导航+华为算力+央企,600498
33,000004.SZ,算力中标+扭亏预告+退市博弈,000004
33,002512.SZ,,002512
33,002903.SZ,机器人+军工+工业母机,002903
33,002290.SZ,控制权变更+算力芯片+家电复材,002290
33,002993.SZ,机器人概念+AI服务器电源+苹果快充,002993
17,600135.SH,TAC膜+锂电隔膜+航天系,600135
33,000839.SZ,AI数据标注+央企背景+业绩预增,000839
17,600330.SH,商业航天+铌酸锂晶体+电子材料,600330
33,002969.SZ,追觅入主+三片罐龙头+饮料灌装,002969
17,603017.SH,商业航天+低空经济+工程设计,603017
33,000537.SZ,算电协同+储能+绿电交易+央企,000537
33,300936.SZ,高频覆铜板+PCB概念+半导体封装材料+筹划收购英中电气,300936
17,600376.SH,间接持股宇树科技+房地产+城市更新+北京国资,600376
33,000669.SZ,重整预期+天然气+扭亏,000669
33,002467.SZ,云网融合基础设施+商业航天+AI数字人,002467
17,600172.SH,培育钻石+热沉片+国资增持,600172
33,002490.SZ,,002490
17,688048.SH,光通信芯片+EML+商业航天,688048
33,002729.SZ,储能熔断器+新能源赛道+福建厦门,002729
22,600568.SH,医药制造+地产去化+ST摘帽预期,600568
33,000949.SZ,氨纶扩产+生物质长丝龙头+国企,000949
33,002350.SZ,电网中标+配电设备+储能+回购,002350
33,000014.SZ,拟收购晶华电子+房地产+深圳国资,000014
33,002207.SZ,,002207
22,603557.SH,童装童鞋+三胎概念+此前获赠资产+ST板块,603557
17,605287.SH,AI漫剧+城市更新+扭亏为盈,605287
17,600769.SH,供水+武汉新城+国企,600769
17,603949.SH,新能源电动风扇+汽车热管理+间接投资宇树科技,603949
33,001332.SZ,可控核聚变+核电设备+金属压力容器,001332
