涨停原因类别[20260706],market_code,股票代码,code
职教龙头+AI就业,33,002607.SZ,002607
,17,603001.SH,603001
协议转让+具身智能+商业航天+视频技术,17,688039.SH,688039
芯长征入主+功率半导体+污水处理+一季报扭亏,17,603903.SH,603903
,33,002963.SZ,002963
,17,603978.SH,603978
猪肉+成本领先+数智化,17,603477.SH,603477
控制权变更+新能源+农业机械+ST板块,22,603789.SH,603789
交换机+硅光芯片+机器人+国资,17,603118.SH,603118
旧梯更新+AI电梯+股权转让+一带一路,33,002774.SZ,002774
变压器出海+AIDC直流配电+电网设备,17,603861.SH,603861
液冷服务器+CPO散热+导热材料龙头,33,300684.SZ,300684
覆铜板+PCB上游+盐湖提锂参股,33,002141.SZ,002141
小游戏+字节合作+日化双主业,33,002919.SZ,002919
机器视觉+机器人+半导体,17,600288.SH,600288
,33,002565.SZ,002565
燃气轮机+AI数据中心+一季报增长,17,605060.SH,605060
,17,603407.SH,603407
,17,600397.SH,600397
交换机+算力+GPU板卡+一季报增长,33,301191.SZ,301191
,17,603778.SH,603778
液冷泵+算力温控+泵业龙头,17,603757.SH,603757
水牛奶+新式茶饮+种源突破+引入战投,33,002329.SZ,002329
,17,600869.SH,600869
庭外重组+海外煤炭+ST板块,22,600180.SH,600180
,33,002106.SZ,002106
,17,605222.SH,605222
装饰原纸+高分红+盈利修复,17,605377.SH,605377
天然气+氢能+一季报增长+实控人变更,33,000593.SZ,000593
光通信+光伏组件+家电零部件,33,002860.SZ,002860
,151,920193.BJ,920193
,33,002657.SZ,002657
,17,603026.SH,603026
国产算力+CPO硅光数据中心交换机+董事长变更,33,000938.SZ,000938
,17,603626.SH,603626
与宇树科技合资+人形机器人+机器人零部件,17,603211.SH,603211
人形机器人+工业机器人+炊具,33,002403.SZ,002403
ST板块+面值退市博弈+电子纸模组,22,688496.SH,688496
机器人+工业自动化+北美汽车产业链,17,600215.SH,600215
互动影游+短剧+AI应用,33,000892.SZ,000892
控制权变更+碳基新材料+精密数显量具,33,002175.SZ,002175
煤炭+甲醇+一季报增长+北京国资,17,601101.SH,601101
,17,600783.SH,600783
,33,002119.SZ,002119
金刚石散热+培育钻石+许昌国资,17,600172.SH,600172
国产算力+液冷服务器+CPU+央企,33,000066.SZ,000066
,17,688669.SH,688669
,17,600367.SH,600367
,17,603278.SH,603278
,33,002971.SZ,002971
,22,600730.SH,600730
,33,002207.SZ,002207
机器人概念+芯片概念+智慧燃气,33,002767.SZ,002767
柴油发电机+电机铁芯+扭亏为盈,17,603819.SH,603819
,17,600769.SH,600769
半年报预增+数据中心交换机+CPO+福建国资,33,002396.SZ,002396
,33,002575.SZ,002575
,33,002552.SZ,002552
,17,601678.SH,601678
,17,603601.SH,603601
,33,002080.SZ,002080
,17,603618.SH,603618
,22,688622.SH,688622
香精香料+鱼油+收购落地,17,603020.SH,603020
拟收购存储公司+复牌+建筑幕墙,17,603137.SH,603137
数据中心液冷+核电冷却+冷却塔龙头,17,603269.SH,603269
创新药+P-CAB注射剂+一季报增长,33,002793.SZ,002793
控制权变更预期+油气开采+ST板块,22,600759.SH,600759
,33,000657.SZ,000657
,17,600707.SH,600707
钛白粉+徐州钛白复产+新能源盈利,33,000545.SZ,000545
庭外重组+猪肉+ST板块,33,002726.SZ,002726
,17,603638.SH,603638
,17,600630.SH,600630
,17,603682.SH,603682
,17,603667.SH,603667
线缆与油服+电解铝+一季报增长,17,605196.SH,605196
高速交换芯片+AI算力+PCIe5.0量产,17,600246.SH,600246
,17,600378.SH,600378
EDA+半导体IP+并购重组获批,17,688206.SH,688206
磷化工+产品涨价+精制磷酸,17,600470.SH,600470
电子雷管+存储芯片+低空经济+汽车科技,17,603375.SH,603375
,17,603679.SH,603679
中报预增+存储芯片分销+央企,33,001287.SZ,001287
中报预增+炼化一体化+光伏EVA/POE,33,000301.SZ,000301
超跌反弹+房地产开发+北京国资,17,600791.SH,600791
高速光模块发布+算力配套+商业航天+央企,33,002025.SZ,002025
BBU备用电源+锂电池+镍氢电池+辽宁国资,17,600241.SH,600241
PCB+AI服务器+高端产能,33,002815.SZ,002815
,17,603773.SH,603773
半年报预增+算力租赁+色纺纱,33,002042.SZ,002042
,22,603272.SH,603272
,33,001317.SZ,001317
乳业+宠物经济+国企改革,33,002910.SZ,002910
,33,002635.SZ,002635
基建+新型城镇化+地下管网,17,603815.SH,603815
,33,002361.SZ,002361
,17,603588.SH,603588
PVC弹性地板+北美产能+Home Depot供应链,17,603221.SH,603221
,17,603678.SH,603678
,33,002856.SZ,002856
miRNA肿瘤早筛+摘帽预期+医药全产业链,33,000078.SZ,000078
,33,002842.SZ,002842
,33,301197.SZ,301197
控制权变更+COC+聚醚胺+定增募资,17,603722.SH,603722
子公司购买资产+醋酸纤维素+竹基新材料+宜宾国资,17,600793.SH,600793
船舶制造+定增获批+一季报倍增+摘帽,17,603268.SH,603268
一体化油服+加拿大油气+定增终止,33,002828.SZ,002828
,17,605598.SH,605598
湿电子化学品+TMAH显影液+OLED,17,603931.SH,603931
铬盐龙头+溅射靶材+SOFC材料+可转债获批,17,603067.SH,603067
摘帽+地产开发+不动产综合运营,33,000656.SZ,000656
有机硅+电子级HMDS+国企改革,17,603155.SH,603155
数据中心温控+磁悬浮热泵+液冷服务器,33,301317.SZ,301317
地下管网+PCCP龙头+中标,33,002457.SZ,002457
FCBGA封装基板+HBM+半导体转型+浙江国资,33,002989.SZ,002989
地下管网改造+国企改革+一季报增长,17,601368.SH,601368
BBU电源+圆柱锂电池+人形机器人,33,002245.SZ,002245
,17,600176.SH,600176
千斤顶龙头+汽车电子+跨境电商+收购达峰智能,17,603201.SH,603201
,33,000962.SZ,000962
液冷服务器+氢能源+铝制板翅式换热器+海外扩张,17,603090.SH,603090
