股票代码,涨停原因类别[20260730],code,market_code
605068.SH,人形机器人+电子皮肤+减持终止+汽车内饰,605068,17
000025.SZ,黄金珠宝+物业租赁+深圳国资,000025,33
603118.SH,,603118,17
603800.SH,,603800,17
002774.SZ,,002774,33
603823.SH,,603823,17
002258.SZ,华润双鹤拟入主+草铵膦+精草铵膦+合成生物,002258,33
002141.SZ,,002141,33
603171.SH,AI应用+财税SaaS+实控人增持,603171,17
601616.SH,回购+电网设备+数据中心,601616,17
002409.SZ,,002409,33
603256.SH,,603256,17
002731.SZ,黄金珠宝+锂电池+保壳博弈,002731,33
002353.SZ,,002353,33
603929.SH,,603929,17
002636.SZ,,002636,33
603185.SH,超薄硅片+光伏垂直一体化+TOPCon电池,603185,17
002547.SZ,庭外重组+汽车零部件+5.5G,002547,33
001359.SZ,,001359,33
002008.SZ,,002008,33
000721.SZ,旅游餐饮+中华老字号+国企改革,000721,33
603348.SH,一体化压铸+机器人概念+铝价下行,603348,17
603757.SH,,603757,17
603065.SH,,603065,17
003036.SZ,,003036,33
002536.SZ,,002536,33
002702.SZ,预加工食品+山姆渠道+半年报减亏,002702,33
301668.SZ,智能配电设备+配电网+中标领先,301668,33
002990.SZ,,002990,33
002585.SZ,半年报预增+MLCC离型膜+复合铜箔,002585,33
603660.SH,AI应用+低空经济+卫星数据应用,603660,17
002046.SZ,,002046,33
002860.SZ,,002860,33
002881.SZ,,002881,33
601003.SH,资产重组+宽厚板+汽车用钢+广西国资,601003,17
603893.SH,,603893,17
001225.SZ,物料输送设备+一带一路+水泥建材,001225,33
600379.SH,,600379,17
600228.SH,控制权变更+AI应用+在线导购,600228,17
000938.SZ,,000938,33
002980.SZ,,002980,33
002827.SZ,控股股东拟变更+矿山投资开发+民爆+西藏国资,002827,33
605255.SH,,605255,17
002846.SZ,罐头易开盖+复合集流体+固态电池+半年报预增,002846,33
600702.SH,白酒+老酒战略+国际化,600702,17
600475.SH,微电网+算电协同+氢能+无锡国资,600475,17
603211.SH,,603211,17
603068.SH,,603068,17
002388.SZ,,002388,33
002156.SZ,,002156,33
600353.SH,,600353,17
002965.SZ,,002965,33
002747.SZ,,002747,33
603556.SH,智能电网+电力出海+数字能源,603556,17
000533.SZ,,000533,33
002897.SZ,,002897,33
603352.SH,汽车冲焊件+机器人+新能源+西部大开发,603352,17
603459.SH,,603459,17
600206.SH,,600206,17
600667.SH,,600667,17
603083.SH,,603083,17
001309.SZ,存储芯片+控股股东不减持+超跌反弹,001309,33
002272.SZ,,002272,33
605111.SH,,605111,17
603236.SH,,603236,17
002436.SZ,,002436,33
002937.SZ,,002937,33
000811.SZ,,000811,33
002569.SZ,,002569,33
603137.SH,跨界存储+建筑幕墙+新签项目增长,603137,17
000820.SZ,撤销退市风险警示+储能+再生铜,000820,33
002882.SZ,固态电池+电线电缆+比亚迪产业链,002882,33
002703.SZ,减持终止+线控转向+无人矿卡+小米汽车,002703,33
301667.SZ,液冷板+数据中心+宁德时代产业链,301667,33
001358.SZ,,001358,33
002414.SZ,,002414,33
600246.SH,,600246,17
002655.SZ,,002655,33
003032.SZ,AI教育+具身智能+中报扭亏,003032,33
001229.SZ,,001229,33
605388.SH,益生菌+大消费,605388,17
600418.SH,尊界新品+回购+安徽国资,600418,17
603306.SH,,603306,17
603919.SH,白酒+全国化扩张+产品升级,603919,17
301449.SZ,电池检测+机器人+计量校准,301449,33
001267.SZ,,001267,33
002289.SZ,,002289,33
000009.SZ,股东增持+黄金概念+锂电池负极材料,000009,33
601133.SH,,601133,17
603228.SH,,603228,17
603773.SH,,603773,17
002222.SZ,,002222,33
603163.SH,,603163,17
603813.SH,摘帽+汽车物流+跨境电商+氢能源,603813,17
002281.SZ,,002281,33
002384.SZ,,002384,33
000510.SZ,,000510,33
603221.SH,拟收购欧康诺+存储测试设备+PVC弹性地板,603221,17
300894.SZ,人形机器人+AI智能厨电+集成厨电,300894,33
603376.SH,汽车电子+赛力斯产业链+产能扩张,603376,17
001389.SZ,,001389,33
002185.SZ,,002185,33
600641.SH,,600641,17
002686.SZ,控制权变更+数据中心+风机龙头,002686,33
000566.SZ,脑机接口+创新药+央企,000566,33
600513.SH,创新药+国企改革+中报扭亏+原料药获批,600513,17
002667.SZ,钨锡铅锌矿+碳酸锂+ST板块,002667,33
002512.SZ,控股权变更+商业航天+中报预增,002512,33
605033.SH,农药+半年报增长+原药制剂一体化,605033,17
600629.SH,上海微电子相关+子公司重整获批+工程设计+上海国资,600629,17
600712.SH,扭亏为盈+零售+国企改革,600712,17
603382.SH,尼龙6+涤纶工业丝+智能制造,603382,17
600330.SH,,600330,17
002837.SZ,,002837,33
002969.SZ,,002969,33
002879.SZ,,002879,33
600584.SH,,600584,17
605179.SH,原奶周期+乳业+业绩增长,605179,17
002851.SZ,,002851,33
603690.SH,,603690,17
603067.SH,,603067,17
600162.SH,算力+IDC+家居商贸+房地产,600162,17
920685.BJ,并购重组+液相色谱+生命科学仪器+专精特新,920685,151
002534.SZ,算力+燃机余热锅炉+熔盐储能,002534,33
000526.SZ,AI教育+个性化教育+回购,000526,33
600663.SH,半年报增长+房地产+参股券商+浦东国资,600663,17
002514.SZ,,002514,33
003018.SZ,,003018,33
603039.SH,AI应用+信创+半年报预增,603039,17
300996.SZ,明略科技入主+AI智能体+信创ERP,300996,33
002975.SZ,,002975,33
001896.SZ,,001896,33
