code,market_code,涨停原因类别[20260421],股票代码
600421,22,风电模具+业绩预盈+退市风险,600421.SH
002825,33,,002825.SZ
002418,33,,002418.SZ
002982,33,黄羽肉鸡+猪肉概念+预制菜,002982.SZ
600599,22,退市博弈+烟花爆竹+业绩预盈,600599.SH
600736,17,商业航天+产业园运营+脑机接口+国企,600736.SH
600608,22,,600608.SH
300533,33,年报扭亏+高分红+游戏+出海,300533.SZ
002670,33,,002670.SZ
002565,33,太空算力+增资轨道辰光+环保包装,002565.SZ
000715,33,百货零售+首店经济+恐龙IP,000715.SZ
600699,17,参投光模块公司+人形机器人+汽车电子,600699.SH
001268,33,成飞概念+拟收购迈特航空+精密零部件+业绩增长,001268.SZ
002731,33,,002731.SZ
603898,17,AI智能家居+IP经济+定制家居,603898.SH
000539,33,算电协同+电力+广东国资,000539.SZ
600261,17,氢能装备+LED照明+年报发布+高股息,600261.SH
002580,33,,002580.SZ
002338,33,年报增长+大股东长春光机所+商业航天+军工电子,002338.SZ
603030,17,机器人+先进光源+AI智慧建造+海外布局,603030.SH
000980,33,汽车整车+子公司复产+高管聘任,000980.SZ
600961,17,一季报增长+黄金+铟金属+央企,600961.SH
002201,33,年报增长+商业航天+玻璃纤维+风电叶片,002201.SZ
002853,33,AI设计+电竞房+群核科技酷家乐+实控人拟变更,002853.SZ
603115,17,AI服务器电极箔+储能电极箔+业绩高增+高分红,603115.SH
603788,17,年报增长+高分红+新能源汽车+电子换挡器,603788.SH
300123,33,,300123.SZ
603178,17,机器人关节+低空经济+新能源电驱,603178.SH
002289,33,IDC并购+算力租赁+液晶显示,002289.SZ
600696,22,退市博弈+酱香型白酒+ST板块,600696.SH
301022,33,拟收购旭域股份+人形机器人+汽车模具,301022.SZ
688268,17,氦气涨价+光刻气+国产替代,688268.SH
002342,33,商业航天+深海系泊+索具龙头+年报扭亏,002342.SZ
300067,33,拟收购烽云信息+算力服务+复牌,300067.SZ
603272,17,,603272.SH
002952,33,电子纸+液晶显示+液晶光阀+外销,002952.SZ
000609,33,半导体资产注入+房地产回款+ST博弈,000609.SZ
600520,17,先进封装+半导体设备+合肥国资,600520.SH
603016,17,断路器+特高压+国企改革,603016.SH
603813,22,退市风险博弈+氢能物流+电商物流,603813.SH
600396,17,火电+氢能+央企,600396.SH
603815,17,基建+新型城镇化+地下管网,603815.SH
002898,33,,002898.SZ
301486,33,并购恒扬数据+光通信+CPO,301486.SZ
002361,33,商业航天+无人机+聚酯树脂+地方国资,002361.SZ
600715,17,AI漫剧+影视院线+北京国资,600715.SH
600979,17,电力+液冷服务器+分布式光伏+国企改革,600979.SH
600308,17,造纸+化工涨价+光伏,600308.SH
688020,17,可剥铜+电子铜箔+先进封装+PCB,688020.SH
002846,33,固态电池+复合集流体+锂金属负极,002846.SZ
000802,33,影视IP+文旅小镇+演出经济,000802.SZ
600381,22,高端白酒+虫草龙头+退市博弈,600381.SH
000004,33,,000004.SZ
000690,33,年报增长+绿电龙头,000690.SZ
002993,33,,002993.SZ
002586,33,,002586.SZ
002752,33,一季报增长+金属包装+越南扩产,002752.SZ
002620,33,重整投资人+光伏建筑一体化+建筑装饰,002620.SZ
605081,22,,605081.SH
002837,33,,002837.SZ
600678,17,商业航天+石灰石+太空采矿+国企改革,600678.SH
603017,17,商业航天+低空经济+工程设计,603017.SH
003027,33,钠电扩产+CCUS+烟气治理,003027.SZ
600636,22,AI+教育+ST摘帽博弈+国企改革,600636.SH
600193,22,,600193.SH
002081,33,商业航天产业配套+半导体洁净室+越南合作+EPC总包,002081.SZ
605365,17,机器人+LED照明+泰国基地+北美订单,605365.SH
603738,17,625MHz晶振+光模块+石英晶体+人形机器人,603738.SH
600103,17,光模块+林浆纸+福建国资,600103.SH
688661,17,半导体探针+AMD合作+H股上市+年报扭亏,688661.SH
600032,17,绿电+氢能+浙江国资,600032.SH
603843,22,算力租赁+重整预期+ST板块,603843.SH
605298,17,半导体资产注入猜测+轨交配套+业绩高增,605298.SH
600107,22,ST保壳+储能+服装,600107.SH
600243,22,退市博弈+减速器+电梯配件,600243.SH
003018,33,液冷产能扩张+瓶盖龙头+饮料供应链,003018.SZ
000056,33,功率半导体+固态电池+商业管理,000056.SZ
000819,33,MOFs材料+茂金属聚烯烃+石油化工+央企,000819.SZ
600289,22,,600289.SH
603335,17,锂电池回收+汽车轮毂+年报净利扭亏,603335.SH
600734,17,,600734.SH
002950,33,医用敷料+AI医疗+三胎+出口第一,002950.SZ
605178,17,,605178.SH
002528,33,,002528.SZ
