涨停原因类别[20260330],股票代码,code,market_code
年报增长+大圆柱电池+人形机器人,002850.SZ,002850,33
预重整+智能电网+充电桩+地方国资,002168.SZ,002168,33
光纤概念+光伏储能+线缆+厦门国资,002309.SZ,002309,33
SpaceX供货传闻+玻璃微纤维+高效滤材,603601.SH,603601,17
海峡两岸+绿色电力+福建国资,000753.SZ,000753,33
拟收购晶艺半导体+SiC功率器件,688693.SH,688693,17
生猪养殖+拟控股汇博机器人+机器人概念,000048.SZ,000048,33
苗药龙头+创新药+摘帽预期,002424.SZ,002424,33
光纤+特高压+超薄铜箔,603618.SH,603618,17
退市博弈+C919配套+航空装备,603261.SH,603261,22
粮油加工+湖南国资,600127.SH,600127,17
,000862.SZ,000862,33
参股长飞光纤+商业航天+智慧应急+央企,600345.SH,600345,17
,000638.SZ,000638,33
铝箔+固态电池+洁净室+济南国资,002160.SZ,002160,33
,000711.SZ,000711,33
海峡两岸+福建自贸区+林木主业,000592.SZ,000592,33
电子布+80亿产业园+PCB概念,603256.SH,603256,17
T/R芯片+商业航天+扭亏为盈+摘帽预期,001270.SZ,001270,33
光纤概念+钢帘线剥离+环保设备,000890.SZ,000890,33
,600726.SH,600726,17
,000720.SZ,000720,33
,600355.SH,600355,22
光纤涨价+CPO+海缆,600487.SH,600487,17
年报增长+基建龙头+低空经济+国企改革,600502.SH,600502,17
农业种植+粮食概念+甘草饮品+国资,600359.SH,600359,17
摘星+石药入主+创新药,000908.SZ,000908,33
铝型材+新能源+股份解冻,002501.SZ,002501,33
,600982.SH,600982,17
机器人+汽车无边框密封条+台州国资,603239.SH,603239,17
异质结光伏+储能+固态电池,603778.SH,603778,17
铝型材+光伏铝材+国企改革,002578.SZ,002578,33
重整完成+算力中心+家装AI,002713.SZ,002713,33
一季报预增+电解铝扩产,002532.SZ,002532,33
,000767.SZ,000767,33
商业航天+火箭贮箱+无人机大单,300900.SZ,300900,33
固态电池+纺织机器人+高端纺机,003036.SZ,003036,33
算力租赁+广电5G+贵州国资,600996.SH,600996,17
商业航天+风电+海缆扩产,605222.SH,605222,17
算力租赁+AI政务+上海国资,600602.SH,600602,17
内窥镜+海外产能+业绩稳增,688677.SH,688677,17
超跌反弹+股东增持+一体化压铸+华为合作,603358.SH,603358,17
电磁线+机器人+新能源汽车,603897.SH,603897,17
墙布龙头+智能家居+控股股东转让股份,603272.SH,603272,17
光通信+光学晶体+中科院,002222.SZ,002222,33
创新药+原料药+出口,600488.SH,600488,17
摘帽预期+房地产去化+跨境物流转型,000668.SZ,000668,33
,600136.SH,600136,22
,603813.SH,603813,22
减肥药+创新药+原料药,603538.SH,603538,17
电网设备+断路器+国企改革,603016.SH,603016,17
,600396.SH,600396,17
TOPCon电池+无缝服装外销+预重整推进,002634.SZ,002634,33
间接投资张雪机车+人形机器人+减速器,301008.SZ,301008,33
拟收购伽蓝特+光通信测试+仪器仪表+AI眼镜,002980.SZ,002980,33
商业航天+无人机+聚酯树脂+地方国资,002361.SZ,002361,33
锆钛矿+陶瓷+摘帽预期,603838.SH,603838,22
四季度净利大增+光纤涨价+空芯光纤+算力网络,601869.SH,601869,17
GLP-1+创新药+硝酸甘油喷雾剂,002038.SZ,002038,33
液冷服务器+商业航天+3D打印+铝挤压模具,001400.SZ,001400,33
铝价上涨+再生铝龙头+汽车拆解,601388.SH,601388,17
实控人航天科技+液力传动+氢能装备+煤化工,600343.SH,600343,17
中央空调风机+军工新材料+浙江国资+回购,002686.SZ,002686,33
退市博弈+高端白酒+中药大健康,600381.SH,600381,22
创新药+脑机接口+SPD供应链,603716.SH,603716,17
创新药+LH-1801揭盲+扬州国资,600513.SH,600513,17
一季度预增+锂电池+植物胶囊+纤维素醚,002810.SZ,002810,33
退市博弈+轻型输送带+新能源电池配件,603580.SH,603580,22
先进封装+封测设备+年报增长,603061.SH,603061,17
海峡两岸+AI医疗+6亿合同,603122.SH,603122,17
锂电隔膜+TAC膜+航天系,600135.SH,600135,17
重整投资人+光伏建筑一体化+建筑装饰,002620.SZ,002620,33
控制权变更预期+创新药,002370.SZ,002370,33
高铁+轨交机器人+锂电池+央企,000008.SZ,000008,33
家电3C+以旧换新+ST板块,002024.SZ,002024,33
并购重组+海峡两岸+电商服务,600539.SH,600539,17
OPC感光鼓+新能源转型+ST摘帽博弈,002808.SZ,002808,33
商业航天+低空经济+工程设计,603017.SH,603017,17
草甘膦+农药原药+供销社,003042.SZ,003042,33
,000966.SZ,000966,33
重整协议+常州国资+固废处理,300385.SZ,300385,33
,600193.SH,600193,22
商业地产+并购转型+国企改革,600724.SH,600724,17
重整延期+债务豁免+番茄制品+兵团国资,000972.SZ,000972,33
,600758.SH,600758,17
铝+航空铝材+高分红+印尼扩产,600219.SH,600219,17
,000639.SZ,000639,33
百菌清涨价+溴素涨价+阻燃剂,603585.SH,603585,17
AI投资+AI医疗+CGM上市,002432.SZ,002432,33
核医药+创新药+年报增长,002675.SZ,002675,33
,001896.SZ,001896,33
中国铝业控股+盐湖提锂+海外订单+央企,601068.SH,601068,17
