market_code,code,股票代码,涨停原因类别[20260327]
33,000615,000615.SZ,医疗美容+重整完成+ST摘帽预期
17,603076,603076.SH,定增通过+精酿啤酒+一带一路
17,600666,600666.SH,算力租赁+预计扭亏+回购减持
17,603978,603978.SH,六氟磷酸锂+电池铝箔+商业航天+三氟化硼
33,000638,000638.SZ,退市博弈+军工+粮食
17,688068,688068.SH,创新药+SGC001+肝癌早诊
17,600110,600110.SH,固态电池铜箔+HVLP铜箔+高端锂电铜箔
33,002995,002995.SZ,AI营销+抖音概念+持股中书艺莲+VR文旅
33,300858,300858.SZ,创新药+益生菌+国产替代
33,002731,002731.SZ,黄金+锂盐+ST反弹
17,600955,600955.SH,电解液溶剂投产+环氧丙烷涨价
17,600227,600227.SH,甲醇+尿素+化肥+煤炭
33,002310,002310.SZ,重大资产重组+风光电站+北京国资
33,001313,001313.SZ,特种水产饲料+越南投产+预计扭亏
17,600982,600982.SH,绿电+光伏+国企
33,000767,000767.SZ,火电预增+绿色电力+山西国资
33,300461,300461.SZ,智能制造+电机+扭亏为盈
17,603115,603115.SH,AI服务器电极箔+储能电极箔+股权激励
17,600996,600996.SH,算力租赁+广电5G+贵州国资
33,002176,002176.SZ,锂矿+碳酸锂涨价+机器人电机
17,600488,600488.SH,创新药+皮质激素+出口
17,603026,603026.SH,电解液+宁德时代+H股上市
17,603324,603324.SH,光刻胶+中芯国际+工艺废气治理+半导体设备
17,603399,603399.SH,锂盐产能+碳酸锂+钼业龙头
33,002470,002470.SZ,化肥+磷化工+缓控释肥+国企改革
33,002445,002445.SZ,火电转型+拟购江阴苏龙热电57.30%股权+金属管件+江阴国资
33,002082,002082.SZ,创新药+一季报预增+阿尔茨海默
33,002294,002294.SZ,创新药+MASH临床+H股上市
33,002756,002756.SZ,锂电+特钢+技改达产
33,002620,002620.SZ,重整投资人+光伏建筑一体化+建筑装饰
33,000822,000822.SZ,溴素涨价+纯碱龙头+国企
33,003042,003042.SZ,草甘膦+农药原药+供销社
33,002773,002773.SZ,ADC新药+眼科医疗+创新药
17,600758,600758.SH,
33,002272,002272.SZ,液冷服务器+北美订单+绿色算力
33,000553,000553.SZ,草甘膦+农药+央企
17,600727,600727.SH,溴素涨价+钛白粉涨价+氯化法扩产+国企
17,600268,600268.SH,年报增长+虚拟电厂+电网设备+央企
17,600769,600769.SH,武汉新城+供水+国企
33,002168,002168.SZ,
22,600599,600599.SH,复牌+业绩预盈+烟花爆竹
33,002569,002569.SZ,控制权变更+扭亏预告+男装品牌
33,002305,002305.SZ,商业地产+央企重组+净资产转正
33,002328,002328.SZ,液冷服务器+储能+特斯拉
17,603618,603618.SH,光纤+特高压+超薄铜箔
33,002386,002386.SZ,磷酸铁锂+扭亏+储能+国企
33,002122,002122.SZ,人形机器人+数据服务
17,605299,605299.SH,足球概念+体育产业+健身器材+外销
33,002240,002240.SZ,锂价上涨+印尼锂盐+固态电池
33,002068,002068.SZ,固态电池+炭黑龙头+国企改革
33,002428,002428.SZ,光纤级锗产品+商业航天+锗晶片+磷化铟
33,000890,000890.SZ,光纤概念+钢帘线剥离+环保设备
33,000720,000720.SZ,电缆+光纤+实控人中国华能+央企
22,600355,600355.SH,
33,000908,000908.SZ,摘星+石药入主+创新药
33,002263,002263.SZ,特高压电容膜+光伏背板膜+算电协同应用潜力+国企改革
17,603002,603002.SH,覆铜板+先进封装+英伟达链
17,600470,600470.SH,磷化工+化肥+精制磷酸
33,002192,002192.SZ,锂矿+负极材料+年报增长
33,002526,002526.SZ,无人机+煤机+机器人
17,605388,605388.SH,益生菌+味动力+扭亏预期
17,600338,600338.SH,盐湖提锂+铅锌矿+业绩高增
17,603132,603132.SH,年报增长+铅锌采选+黄金资源
33,301292,301292.SZ,电解液龙头+固态电池+比亚迪大单
33,000695,000695.SZ,固态电池+负极材料+绿电降本
33,000488,000488.SZ,复工复产+浆纸一体化+山东国资
33,002755,002755.SZ,创新药+AN9025+肿瘤管线
33,002455,002455.SZ,TMP涨价+锂电闭环+化工龙头+转债强赎
33,002042,002042.SZ,算力租赁+纺织+预计扭亏
22,603429,603429.SH,固态电池+烟草包装+ST摘帽博弈
17,603538,603538.SH,减肥药+创新药+原料药
22,603813,603813.SH,
33,002782,002782.SZ,
33,002361,002361.SZ,商业航天+无人机+聚酯树脂+地方国资
17,600310,600310.SH,电力+绿色电力+广西国资
33,002038,002038.SZ,GLP-1+创新药+硝酸甘油喷雾剂
33,300204,300204.SZ,创新药+STSP-0601+STSP-0902
17,603248,603248.SH,风电齿轮箱+大兆瓦产品
33,002460,002460.SZ,津巴布韦锂矿禁令+锂矿
17,600513,600513.SH,LH-1801揭盲+扬州国资+泌尿制剂
33,000155,000155.SZ,锂矿达产+四川国资
22,605081,605081.SH,退市风险+算力设备+水环境修复
33,002024,002024.SZ,家电3C+以旧换新+ST板块
17,600539,600539.SH,并购重组+机器视觉+电商服务
17,600844,600844.SH,煤化工+草酸扩产+乙二醇涨价
33,002842,002842.SZ,钨价上涨+光伏钨丝+年报预增
33,002265,002265.SZ,军工装备+兵装重组+机器人概念+央企背景
17,603738,603738.SH,625MHz晶振+光模块+石英晶体+人形机器人
17,603585,603585.SH,溴素涨价+百菌清涨价+阻燃剂
17,603387,603387.SH,流感检测+POCT+海外增长
33,000546,000546.SZ,盐湖提锂+锂矿布局+金属镍+固废回收
33,000903,000903.SZ,氢能源+无人配送+发动机+国企
33,002432,002432.SZ,AI医疗+AI投资+CGM上市
33,002199,002199.SZ,退市博弈+石英晶体+ST板块
17,600748,600748.SH,上海国资+地产销售大增+物业服务
17,603127,603127.SH,CRO+实验猴
33,001896,001896.SZ,参股算力+火电+绿电储备+河南国资
17,603090,603090.SH,液冷服务器+氢能源+换热器+业绩预增
