股票代码,涨停原因类别[20260522],code,market_code
000010.SZ,,000010,33
000012.SZ,UTG柔性玻璃+光伏玻璃+消费电子,000012,33
000026.SZ,拟收购长空齿轮+激光器零部件+Lumentum合作+精密减速器,000026,33
000060.SZ,锗产品+铅锌铜+广东国资,000060,33
000078.SZ,,000078,33
000417.SZ,间接投资长鑫科技+合肥国资+零售+农批,000417,33
000510.SZ,石英砂+钽锡钨铌+栗木矿复产+氯碱龙头,000510,33
000518.SZ,摘帽+生物医药+园林绿化,000518,33
000532.SZ,电容器+创投+珠海国资,000532,33
000595.SZ,撤销退市风险警示申请+风光储+宁夏国资,000595,33
000609.SZ,,000609,33
000630.SZ,PCB+铜箔+安徽国资,000630,33
000636.SZ,MLCC涨价+AI算力+商业航天+广东国资,000636,33
000657.SZ,PCB微钻扩产+钨矿注入+央企,000657,33
000670.SZ,长江存储代理+半导体分销+重大资产重组,000670,33
000677.SZ,,000677,33
000711.SZ,铟靶材+一季度扭亏+摘帽预期,000711,33
000725.SZ,康宁合作+玻璃基板+AMOLED+北京国资,000725,33
000818.SZ,算力租赁+800G光模块+武汉国资+一季报净利增长,000818,33
000826.SZ,预重整+数字环卫+锂电池,000826,33
000962.SZ,半导体靶材+钽铌制品+商业航天+央企,000962,33
000997.SZ,AI支付+跨境支付+数字身份,000997,33
001225.SZ,机器人应用+输送设备+水泥+一带一路,001225,33
001259.SZ,,001259,33
001366.SZ,猪饲料+禽类饲料+合成生物+董事会换届,001366,33
002036.SZ,特斯拉监督版FSD入华+无人驾驶+车载光学+光学器件,002036,33
002046.SZ,商业航天+金刚石散热+轴承+央企,002046,33
002055.SZ,高速连接器+存储芯片+AI算力,002055,33
002076.SZ,摘帽进展+量子科技+LED封装,002076,33
002080.SZ,AI纤维布+风电叶片+央企背景,002080,33
002082.SZ,,002082,33
002121.SZ,电网设备+储能+机器人,002121,33
002175.SZ,广西国资终止入主+智能物流+精密量具,002175,33
002193.SZ,精纺呢绒+外销占比高+ST摘帽预期,002193,33
002199.SZ,碳酸锂+石英晶体+申请撤销退市风险警,002199,33
002245.SZ,圆柱电池+人形机器人+马来西亚产能+分红实施,002245,33
002253.SZ,申请撤销退市风险+低空经济+军工射频,002253,33
002272.SZ,液冷服务器+机器人+定增扩产,002272,33
002273.SZ,AI光学+CPO硅透镜+AR眼镜,002273,33
002421.SZ,液冷服务器+AIoT平台+机器人概念+AI应用,002421,33
002431.SZ,生态园林+不减持+河南国资,002431,33
002432.SZ,参与投资月之暗面+参与投资沐曦+AI医疗+家用检测,002432,33
002442.SZ,炭黑龙头+绿色降碳+董事长增持,002442,33
002453.SZ,光气资源+光刻胶+收购莱恩光电+精细化工,002453,33
002463.SZ,AI服务器PCB+产能升级扩容+一季度业绩高增,002463,33
002496.SZ,氨氢新能源+小分子功能肥+ST摘帽预期,002496,33
002501.SZ,汽车铝型材+步步高纾困+ST摘帽预期,002501,33
002514.SZ,,002514,33
002552.SZ,PCB铜箔+黄金采选+Q1业绩大增,002552,33
002585.SZ,MLCC离型膜+复合铜箔+扭亏为盈,002585,33
002606.SZ,特高压中标+瓷绝缘子龙头+沙特基地,002606,33
002620.SZ,,002620,33
002629.SZ,,002629,33
002634.SZ,美年大健康入主+预重整推进+无缝服装,002634,33
