股票代码,market_code,code,涨停原因类别[20260312]
600935.SH,17,600935,PVC+烧碱+三氯氢硅+国企
000990.SZ,33,000990,基础化工+氢能源+半导体显示材料+青岛国资
600599.SH,22,600599,业绩预盈+烟花爆竹+ST板块+退市博弈
603978.SH,17,603978,六氟磷酸锂+电池铝箔+三氟化硼+军工材料
600868.SH,17,600868,锑银矿+水电+储能
002254.SZ,33,002254,氨纶涨价+芳纶涂覆+半固态电池+国企
000638.SZ,33,000638,
601330.SH,17,601330,绿证交易+垃圾焚烧+北京国资
605305.SH,17,605305,风电设备+储能消防
000711.SZ,33,000711,金属铟+ITO靶材+固废处理
600703.SH,17,600703,Micro LED+光芯片+碳化硅+商业航天
301667.SZ,33,301667,储能热管理+电池液冷板+数据中心液冷
000890.SZ,33,000890,钢帘线剥离+光纤概念+环保设备
002150.SZ,33,002150,光伏设备+储能一体机+外销
600691.SH,17,600691,氢能装备+煤化工+山西国资
600726.SH,17,600726,绿电转型+热电联产+煤炭概念+央企
600370.SH,17,600370,聚酯期货涨停+瓶级聚酯切片+PTA龙头
001260.SZ,33,001260,汽车地毯+小米汽车+摩洛哥订单
600355.SH,22,600355,
601868.SH,17,601868,算电协同+氢能投产+央企储能
000908.SZ,33,000908,重整+创新药CDMO+合成生物
600722.SH,17,600722,甲醇+风电项目+河北国资
600714.SH,17,600714,碳酸锶涨价+天青石项目+国家电投实控
601969.SH,17,601969,油气项目+拟收购萤石矿+铁矿石+回购
603992.SH,17,603992,机器人+康养+IDM
301068.SZ,33,301068,固废处理+虎哥收购
603960.SH,17,603960,
000593.SZ,33,000593,控制权变更+氢能中心+天然气
603507.SH,17,603507,风电设备+3D 打印+外骨骼机器人
688295.SH,17,688295,T1200级碳纤维+全球首发+央企+扭亏
600188.SH,17,600188,煤炭产能扩张+回购+煤化工+山东国资
002652.SZ,33,002652,中芯国际概念+半导体洁净室+有机涂层板
603092.SH,17,603092,风电齿轮箱+海上大兆瓦+订单高增
000609.SZ,33,000609,房地产+半导体背景+创投
605268.SH,17,605268,
002656.SZ,33,002656,智能电网+电缆业务+高级男装
300690.SZ,33,300690,风电+碳纤维+低空经济
002445.SZ,33,002445,拟购苏龙热电+火电转型+江阴国资
003004.SZ,33,003004,
600956.SH,17,600956,风电+储能+河北国资+天然气
603626.SH,17,603626,消费电子+机器人+固态电池
603693.SH,17,603693,海上风电注入+绿色电力+江苏国资
002015.SZ,33,002015,虚拟电厂+分布式光伏+储能
601015.SH,17,601015,甲醇涨价+煤焦化链+LNG
002869.SZ,33,002869,车路协同+ETC+无人驾驶
000004.SZ,33,000004,算力中标+扭亏预告+退市博弈
002512.SZ,33,002512,商业航天+卫星通信+显示主板
600121.SH,17,600121,煤炭开采+郑州国资
601038.SH,17,601038,农机龙头+外销+央企改革
603527.SH,17,603527,固态电池+铜箔+新能源结构件+3D打印
600844.SH,17,600844,煤化工+草酸扩产
301396.SZ,33,301396,算力租赁+扭亏为盈+智慧城市
000600.SZ,33,000600,火电+储能+河北国资
002047.SZ,33,002047,扭亏为盈+珠海国资+建筑装饰+风电
000420.SZ,33,000420,碳纤维+粘胶长丝+吉林国资
002951.SZ,33,002951,储能电站+超级电容+国企合作
600821.SH,17,600821,算电协同+绿电+煤化工+天津国资
002487.SZ,33,002487,欧洲风电出口+深远海基地+业绩高增
000669.SZ,33,000669,重整预期+天然气+扭亏
000537.SZ,33,000537,算电协同+储能+绿电交易+央企
603077.SH,17,603077,矿产资源+磷矿+蛋氨酸+草甘膦
601016.SH,17,601016,绿电+储能布局+央企
603021.SH,22,603021,
002498.SZ,33,002498,特高压+海上风电+高压电缆
000697.SZ,33,000697,无人机+航空发动机+重整完成+四川国资
603843.SH,22,603843,算力租赁+基建转型+盐湖提锂
603281.SH,17,603281,功能性硅烷+回购+硅能源
000553.SZ,33,000553,草甘膦+化工+国企改革
002528.SZ,33,002528,AI应用+智慧城市+深圳国资
601991.SH,17,601991,电力+央企+储能
