涨停原因类别[20260416],股票代码,code,market_code
光纤光缆+数据中心+储能消防,002491.SZ,002491,33
算力+高频覆铜板+潍坊国资,002848.SZ,002848,33
年报扭亏+算力租赁+蓝宝石,600666.SH,600666,17
锦纶6+军工锦纶+29亿项目,000782.SZ,000782,33
沐曦GPU+算力租赁+扭亏为盈,603322.SH,603322,17
创新药+克立硼罗+原料药,002940.SZ,002940,33
锂盐湖+二期爬坡+宝武央企,000762.SZ,000762,33
算力租赁+拟收购易信科技+湖南国资,600156.SH,600156,17
成飞概念+拟收购迈特航空+精密零部件+业绩增长,001268.SZ,001268,33
入境游增长+景区运营+智慧平台,600749.SH,600749,17
业绩预增+磷酸铁锂+储能,603906.SH,603906,17
储能电池+液冷储能+固态电池+算力,002580.SZ,002580,33
玻璃钢化设备+钙钛矿设备+一带一路,002613.SZ,002613,33
特种氯乙烯共聚物+风电+回购注销+国企,002802.SZ,002802,33
燃气轮机+液冷+年报增长,605060.SH,605060,17
小金属+黄金+央企控股,600961.SH,600961,17
PCB设备+液冷核心部件焊接+光纤激光器,002008.SZ,002008,33
,600082.SH,600082,22
液冷算力+算力租赁+AI视讯,002771.SZ,002771,33
尼龙6切片+PA66项目+产能扩张,605166.SH,605166,17
燃气+氢能中心+控制权变更完成,000593.SZ,000593,33
算力采购+人形机器人+智慧口岸,002990.SZ,002990,33
机器人+包装装备+激励计划,002209.SZ,002209,33
ST板块+半导体创投+房地产回款,000609.SZ,000609,33
热电联产+新能源注入预期+大连国资,600719.SH,600719,17
无人环卫+智慧环卫+新能源装备,001230.SZ,001230,33
收购钨矿+光伏钨丝,600549.SH,600549,17
童装+三胎概念+跨境电商+增持完成,002875.SZ,002875,33
,002294.SZ,002294,33
退市博弈+算力+移动安全,000004.SZ,000004,33
锂矿资源+存储芯片+拟定增,002213.SZ,002213,33
业绩扭亏+锂电模具+光伏减速器,603032.SH,603032,17
燃气轮机+核电铸件+水电转轮,603315.SH,603315,17
,000669.SZ,000669,33
,600636.SH,600636,22
一季报业绩预增+商业航天+硬质合金,002297.SZ,002297,33
军工装备+商业航天+无人机禁毒,688287.SH,688287,22
,603021.SH,603021,22
一季度预增+农机柴油机+常州国资,000570.SZ,000570,33
锂电回收+拟并购杭州蓝然+核电废水处理+膜分离装备,301148.SZ,301148,33
不锈钢管+核电+光热发电,603878.SH,603878,17
被申请重整+AI短剧+影视制作,300027.SZ,300027,33
硅光芯片+光模块+消费电子,603052.SH,603052,17
锂电池结构件+人形机器人+年报增长,002850.SZ,002850,33
,600599.SH,600599,22
一季报增长+224G连接器+液冷服务器,688668.SH,688668,17
COFs验证+固态电池材料+纤维母粒+年报预增,300905.SZ,300905,33
钨全产业链+PCB微钻+一季报预增+央企,000657.SZ,000657,33
铟靶材+固危废资源化+ST炒作,000711.SZ,000711,33
猪肉+预制菜+直播带货,002726.SZ,002726,33
算电协同+储能+回购股份注销,601778.SH,601778,17
基建中标+车路协同+上海国资,600284.SH,600284,17
锂矿放量+铁矿龙头+金属锂电池新材料,001203.SZ,001203,33
电容膜+国企改革,002263.SZ,002263,33
一季报预增+受益于银价上涨+电接触,600768.SH,600768,17
光纤光缆+CPO+算力租赁+深圳国资,000070.SZ,000070,33
益生菌+味动力+扭亏预期,605388.SH,605388,17
算力集群+光纤+CPO,603220.SH,603220,17
算力+AI智能体+中标光伏,002929.SZ,002929,33
人形机器人+光伏+基建,002062.SZ,002062,33
燃气轮机+拟投资轮胎装备+轮胎模具,002595.SZ,002595,33
集成灶+智能家居+退市保壳博弈,605336.SH,605336,17
算力租赁+风电轴承+扭亏为盈+国企,603985.SH,603985,17
,600696.SH,600696,22
精密传动+拟收购博泰智能+IC分销+机器人,603933.SH,603933,17
机器人+电磁线+新能源汽车,603897.SH,603897,17
创新药+眼科III期+ST摘帽预期,002581.SZ,002581,33
弹簧扁钢+特钢+业绩大增,600507.SH,600507,17
一季报预增+快递涨价+经济型快递,002468.SZ,002468,33
算力+机器人+新能源环卫,000967.SZ,000967,33
T客户+PCB+储能+泰国基地,603920.SH,603920,17
铅酸电池+西部大开发,600847.SH,600847,17
拟剥离地产+TOD轨道物业+北京国资,600683.SH,600683,17
黄金+稀散金属+江西铜业控股+国企,002237.SZ,002237,33
航空发动机+C919+煤炭+海南自贸区,000571.SZ,000571,33
退市博弈+算力设备+水环境修复,605081.SH,605081,22
,002808.SZ,002808,33
算力租赁+智慧城市+预计扭亏,301396.SZ,301396,33
算力租赁+AI一体机+国产芯片,688227.SH,688227,17
燃气轮机+储能+业绩增长+央企,600875.SH,600875,17
摘帽预期+VLCC订单+船舶制造,603268.SH,603268,22
一季报预增+冰雪旅游+IP经济,002033.SZ,002033,33
手机售后+控制权变更+苹果授权+闪电蜂抖音,300736.SZ,300736,33
光伏边框+车载摄像头壳体+检测业务+越南设厂,002333.SZ,002333,33
,603843.SH,603843,22
液冷服务器+AIoT平台+AI应用,002421.SZ,002421,33
算力租赁+阿里云+AI智能体+家具智造,002757.SZ,002757,33
钛白粉涨价+珠光材料+一季报预增,603826.SH,603826,17
算力租赁+转债强赎+染料龙头,300798.SZ,300798,33
盐湖提锂+锂矿布局+金属镍+固废回收,000546.SZ,000546,33
MLCC离型膜+锂电池材料+AI芯片材料,002859.SZ,002859,33
