code,股票代码,market_code,涨停原因类别[20260513]
603110,603110.SH,17,算力租赁+PCB油墨+一季报增长
002193,002193.SZ,33,精纺呢绒+外销占比高+ST摘帽预期
002825,002825.SZ,33,硅碳负极+氢能源+回购
603890,603890.SH,17,液冷并购+人形机器人+镁合金结构件+AIPC
001259,001259.SZ,33,股份转让+小家电+露营经济
600666,600666.SH,17,算力租赁+蓝宝石+扭亏
000936,000936.SZ,33,创投+光芯片+索尔思光电交割+涤纶化纤
603156,603156.SH,17,长存投资+创投+核桃乳
002940,002940.SZ,33,创新药+原料药+定增推进
002777,002777.SZ,33,实控人变更+AI医保+国企
600156,600156.SH,17,算力租赁+液冷+拟收购易信科技+湖南国资
002409,002409.SZ,33,半导体前驱体+存储芯片+HBM
601126,601126.SH,17,算力+SST+电网设备
002760,002760.SZ,33,数据中心+军工特种电机+危废回收
600726,600726.SH,17,绿电转型+热电联产+央企
605286,605286.SH,17,算电协同+储能+电梯部件
002501,002501.SZ,33,汽车铝型材+步步高纾困+ST摘帽预期
002310,002310.SZ,33,风光电站+重大资产重组+限售股解禁+北京国资
001313,001313.SZ,33,特种水产饲料+越南投产+一季度高增长
002547,002547.SZ,33,机器人+特斯拉概念+通信结构件+新能源汽车
002008,002008.SZ,33,PCB设备+商业航天+3D打印
600982,600982.SH,17,热电联产效益释放+国企
603887,603887.SH,17,算力租赁+IDC转型+央企入主
600082,600082.SH,22,天津国资+工业地产+利空落地+ST板块
002713,002713.SZ,33,算力中心+家装AI+摘帽申请
000767,000767.SZ,33,绿色电力+火电盈利修复+山西国资
002868,002868.SZ,33,摘帽+剥离光伏胶膜业务+动保兽药
600180,600180.SH,22,
001210,001210.SZ,33,数据中心+供能+蓄冷储能
301053,301053.SZ,33,
000691,000691.SZ,33,摘帽预期+精细化工+锂电池添加剂
000601,000601.SZ,33,算电协同+储能+绿电直供
603790,603790.SH,17,机器人+染料助剂+业绩增长
603559,603559.SH,22,摘帽申请+低空经济+扭亏为盈
002843,002843.SZ,33,数据中心电源+商业航天+锯切龙头
605589,605589.SH,17,先进电子材料+硅碳负极+军工材料
002805,002805.SZ,33,磷酸铁锂+固态电池+业绩扭亏
002560,002560.SZ,33,特高压线缆+航空零部件+券商上调评级
600379,600379.SH,17,电子特气+电力设备+真空灭弧室+央企
002034,002034.SZ,33,算电协同+固废处理+转债强赎
002082,002082.SZ,33,
688146,688146.SH,17,六氟化钨+存储上游+电子特气+央企
603007,603007.SH,17,更名+机器人+储能+摘帽
600475,600475.SH,17,参股公司H股上市+电力+光伏+无锡国资
600381,600381.SH,22,申请摘帽+酒水高增+虫草龙头
002015,002015.SZ,33,算电协同+虚拟电厂+储能
002810,002810.SZ,33,
688496,688496.SH,22,
002628,002628.SZ,33,萤石矿+路桥基建+机器人
600183,600183.SH,17,覆铜板+AI服务器+业绩高增
002993,002993.SZ,33,AI服务器电源+机器人电源+消费电子快充
603828,603828.SH,22,
000929,000929.SZ,33,申请撤销退市风险警示+啤酒饮料+果汁扩产
002620,002620.SZ,33,重整投资人+光伏建筑一体化+建筑装饰
600818,600818.SH,22,
000632,000632.SZ,33,债务延期+跨境电商+地方国资
603629,603629.SH,17,算力租赁+业绩暴增+高送转
000793,000793.SZ,33,重整资金到账+海南国资入主+文旅传媒
002175,002175.SZ,33,广西国资拟入主+智能物流+*ST博弈
600678,600678.SH,22,
603126,603126.SH,17,光伏+储能+中字头+一季报扭亏
002529,002529.SZ,33,ST摘帽预期+汽车轻量化+光伏组件
601138,601138.SH,17,鸿海“提前供货”英伟达全光CPO机柜+AI服务器
002691,002691.SZ,33,机器人+煤矿装备+ST板块
002114,002114.SZ,33,锌锭增产+绿色电力+曲靖国资
000533,000533.SZ,33,干式变压器+数据中心+储能+核电
600172,600172.SH,17,重大突破+金刚石散热+培育钻石+半导体
603216,603216.SH,17,芯片概念+高端木作+智能家居
601016,601016.SH,17,绿电扩张+风电+储能突破+央企
002518,002518.SZ,33,电源设备+数据中心+储能+液冷服务器
002498,002498.SZ,33,500kV海缆+特高压+海上风电+一季报增长
603938,603938.SH,17,光纤材料+存储芯片+电子特气
600758,600758.SH,17,煤炭+电力+国企
600903,600903.SH,17,天然气+页岩气收购+贵州国资
001309,001309.SZ,33,存储芯片+企业级SSD+涨价周期
002323,002323.SZ,33,BIPV+储能+枣庄国资
603595,603595.SH,22,碳化硅+新能源汽车+消费电子+ST摘帽预期
600857,600857.SH,17,黄金零售+商业零售+老字号+杭州金帝入主
002207,002207.SZ,33,ST板块+油气服务+新疆国资+连续涨停
000811,000811.SZ,33,液冷+核电+氦气压缩机+拟收购
002283,002283.SZ,33,大缸径曲轴+数据中心+机器人+一季报增长
603052,603052.SH,17,牛散举牌+硅光芯片+消费电子
002654,002654.SZ,33,存储芯片+湖北国资
603779,603779.SH,17,淄博国资入主+复牌+葡萄酒
