code,股票代码,market_code,涨停原因类别[20260723]
603082,603082.SH,17,机器人+智能物流+资产收购+央企
000862,000862.SZ,33,绿电直连+分布式光伏+资产注入+央企
002774,002774.SZ,33,AI电梯+旧梯更新+海外业务
603861,603861.SH,17,AIDC直流配电+变压器出海+电网设备
603191,603191.SH,17,输配电全产业链+AI数据中心+华为超充+定增获批
603823,603823.SH,17,
002353,002353.SZ,33,大额订单+燃气轮机+数据中心
002112,002112.SZ,33,新型电网+变压器+数据中心+地方国资
002173,002173.SZ,33,脑机接口+AI医疗+医疗器械注册
002229,002229.SZ,33,算力租赁+彩票印刷
002674,002674.SZ,33,磷化铟收购+机器人电子皮肤+汽车内饰皮革
601061,601061.SH,17,铜+铌+中报预增+央企
000011,000011.SZ,33,房地产+物业管理+深圳国资
600468,600468.SH,17,电网设备+超导+可控核聚变+天津国资
300062,300062.SZ,33,智能电网+电力设备出海+一季报扭亏
002547,002547.SZ,33,破产重整预期+5.5G+汽车零部件
603619,603619.SH,17,油气开采+中东布局+机器人概念
002713,002713.SZ,33,算力中心集成+数字化家装+摘帽
002977,002977.SZ,33,股权转让+业绩修正+军工电子+商业航天
002900,002900.SZ,33,创新药+化学制药+中报减亏
002451,002451.SZ,33,电磁线+特种电缆+智能电网
920222,920222.BJ,151,电网设备+电力物联网+次新股
603488,603488.SH,17,军事仿真+减持完毕
600354,600354.SH,17,转基因+玉米种业+中报预增+甘肃国资
688618,688618.SH,17,工业互联网+芯片+光纤概念+机器人
002560,002560.SZ,33,电网设备+机器人线束+航空零部件
603050,603050.SH,17,AI数据中心+智能电网+高管增持
600379,600379.SH,17,氦气+电子特气+真空灭弧室+央企
603026,603026.SH,17,锂电池+电解液+业绩预增+国企
001337,001337.SZ,33,金精矿+黄金+半年报预增+国企
000688,000688.SZ,33,碳酸锂投产+钼矿整合+股份过户
600962,600962.SH,17,重组推进+半导体+浓缩果汁+央企
603399,603399.SH,17,锂+钼+中报预计扭亏
605100,605100.SH,17,数据中心电源+柴油发动机+参股投资半导体+中报预增
600389,600389.SH,17,草甘膦+苯嘧草唑+可转债上市
605162,605162.SH,17,热电联产+弗迪电池供热+储能
605189,605189.SH,17,PEEK材料+人形机器人+筒子纱龙头+半年报预增
000632,000632.SZ,33,跨境电商+福州国资+诉讼进展
603680,603680.SH,17,轨道交通+商业航天+一带一路
002762,002762.SZ,33,母婴用品+摘帽+中报扭亏
000533,000533.SZ,33,数据中心+干式变压器+电网设备+控股权变更
605288,605288.SH,17,机器人+智能线性驱动+新能源汽车
600984,600984.SH,17,煤矿智能装备+陕西国资+一带一路
600611,600611.SH,17,间接投资长江存储+算力+上海出租车
002606,002606.SZ,33,特高压+绝缘子龙头+国家电网预中标+中报预增
001258,001258.SZ,33,风电光伏+定增获批+半年报预增+新疆国资
600449,600449.SH,17,算力租赁+水泥+同业竞争承诺+央企
001388,001388.SZ,33,电力智能运维+算力租赁+防冰机器人+高送转
002498,002498.SZ,33,新型电网+海上风电+超高压海缆+一季报增长
002218,002218.SZ,33,储能+光伏电站+光储一体化+商业航天
000595,000595.SZ,33,控股股东增持+风光储+宁夏国资
300214,300214.SZ,33,并购重组+锂电池电解液+算力租赁+化工
600243,600243.SH,22,摘帽预期+天然气+减速器
600698,600698.SH,17,兵装重组+涡轮增压器+电子水泵+国企
002725,002725.SZ,33,磷化铟+光芯片+铝合金车轮+股份回购
002566,002566.SZ,33,中药+人参全产业链+一季报增长
600990,600990.SH,17,商业航天+低空经济+雷达+PCB
603318,603318.SH,17,燃气轮机+氦气+天然气+中报预计扭亏
000035,000035.SZ,33,绿色甲醇+固废绿电+国家科技奖
002207,002207.SZ,33,石油技术服务+克拉玛依国资+管理层换届
600268,600268.SH,17,虚拟电厂+AI电力+储能+央企
002379,002379.SZ,33,电解铝+全产业链+中报预增
601678,601678.SH,17,高纯氟化氢+环氧丙烷+H股上市+半年报预增
603378,603378.SH,22,ST板块+庭外重组+建筑涂料
002197,002197.SZ,33,算力租赁+数据中心REITs+金融科技+中报扭亏
002088,002088.SZ,33,实控人拟变更+新能源电池+陶瓷纤维龙头
300510,300510.SZ,33,电网设备+充电桩+国企
300141,300141.SZ,33,电网设备+移动储能+商业航天+氢能
605299,605299.SH,17,体育产业+中报预增+健身器材
603567,603567.SH,17,中成药集采+中药全产业链
600409,600409.SH,17,纯碱+电子化学品+半年报预增+唐山国资
002240,002240.SZ,33,锂矿+固态电池+中报预计扭亏
603988,603988.SH,17,上游资源+电机+风电+储能
002546,002546.SZ,33,虚拟电厂+用电信息采集+中报预增
301587,301587.SZ,33,大圆柱电池+商业航天+海外布局+一季报增长
300444,300444.SZ,33,输变电设备+海外出口
601606,601606.SH,17,军工+弹药装备+兵装重组+央企
001208,001208.SZ,33,商业航天+电网设备+英伟达液冷+湖南国资
002165,002165.SZ,33,环氧丙烷技改+聚氨酯+异丙醇胺
301357,301357.SZ,33,军工复合材料+地面兵装+拟收购顺义科技
002083,002083.SZ,33,收购硅碳负极+电解液添加剂VC涨价+中报预增+山东国资
301292,301292.SZ,33,电解液溶剂龙头+固态电池+量价齐升
600722,600722.SH,17,甲醇+风电+河北国资
001382,001382.SZ,33,电网设备+架空导线+特高压
002775,002775.SZ,33,光储充+工程EPC+佛山国资
000803,000803.SZ,33,UCO涨价+中报预增+山东国资
603876,603876.SH,17,电池铝箔+锂电池+空调箔+业绩预增
002300,002300.SZ,33,海缆+数据中心+特高压+电网设备
301234,301234.SZ,33,跨界并购+电机控制芯片+医疗器械出口
603400,603400.SH,17,机器人+新能源汽车+锂电工具+智能控制
003001,003001.SZ,33,拟收购PCB刀具+岩土工程+核电
603272,603272.SH,22,ST板块+超跌反弹+墙布窗帘+GPU模组贸易
002339,002339.SZ,33,智能电网+虚拟电厂+储能
000668,000668.SZ,33,跨境物流+房地产去化+摘帽+股权激励
605117,605117.SH,17,储能+逆变器+半年报预增+外销
601179,601179.SH,17,特高压中标+固态变压器+电网设备+央企
600396,600396.SH,17,电力+新能源+央企
600230,600230.SH,17,TDI+半年报预增+特种PC+央企
002298,002298.SZ,33,算力上游+智能输配电设备+智慧用能+半年报预增
000017,000017.SZ,33,黄金珠宝+黄金涨价+自行车
600173,600173.SH,17,风光储氢+储能项目+稀土
603221,603221.SH,17,拟收购欧康诺+存储测试设备+PVC弹性地板
002596,002596.SZ,33,商品混凝土+海南自贸区+实控人股份拍卖+中报减亏
600343,600343.SH,17,实控人航天科技+泵及泵系统+煤化工+半年报减亏
600513,600513.SH,17,原料药获批+创新药+中报扭亏+扬州国资
