涨停原因类别[20260811],code,股票代码,market_code
液冷服务器+智慧灯杆+照明工程,002963,002963.SZ,33
造纸+产能扩张+循环经济+次新股,603284,603284.SH,17
跨界存储+建筑幕墙+新签项目增长,603137,603137.SH,17
油气开采+伊拉克项目+ST摘帽预期,600759,600759.SH,22
机器人+汽车饰件+全球化布局,603179,603179.SH,17
彩票印制+数据确权+防伪溯源+控制权变更,002235,002235.SZ,33
人形机器人+丝杠+汽车零部件,603009,603009.SH,17
光刻胶+战略入股+PEEK材料+有机颜料,603823,603823.SH,17
算力租赁+彩票印刷,002229,002229.SZ,33
算电协同+储能+电梯部件,605286,605286.SH,17
工业母机+谐波减速器+圆台磨床中标,002248,002248.SZ,33
光刻胶+MLCC+聚酰亚胺+并购重组,000859,000859.SZ,33
模块化数据中心+算力租赁+央企入主,603887,603887.SH,17
机器人+谐波减速器+汽车轮毂轴承,301550,301550.SZ,33
乳业+新式茶饮+代工+种源突破,002329,002329.SZ,33
人形机器人+RV减速器+轮胎模具,002031,002031.SZ,33
药品零售+股份回购+员工持股,603883,603883.SH,17
职业装+校服+通勤服,002687,002687.SZ,33
减持未实施+算力租赁+浙江国资,600126,600126.SH,17
煤机装备+智慧矿山+华为合作+定增获批,603012,603012.SH,17
AI安全+智算云+车联网安全,002212,002212.SZ,33
MLCC离型膜+复合铜箔+光学膜+半年报预计扭亏,002585,002585.SZ,33
机器人概念+电磁线+年报增长,603897,603897.SH,17
军工+军事仿真+电梯门系统,603488,603488.SH,17
染料+资产处置+一季报增长+常州国资,603188,603188.SH,17
AI应用+金融智能终端+金融信创,603106,603106.SH,17
创新药+CRO+收购赛德盛,301520,301520.SZ,33
CRO+创新药+金华国资,600721,600721.SH,17
影视院线+AI漫剧+北京国资,600715,600715.SH,17
人形机器人+真空镀膜+发动机核心零部件+回购注销,603758,603758.SH,17
《欢迎来龙餐馆》上映+影视全产业链+半年报减亏,000802,000802.SZ,33
橡胶密封件+新能源汽车+年报增长,603655,603655.SH,17
影视院线+AI应用+半年报扭亏,300426,300426.SZ,33
创新药+集采拟中标+半年报预增,600664,600664.SH,17
资产重组+拟购光电子资产+TOD轨道物业+北京国资,600683,600683.SH,17
SPD+医药商业+资产收购+上海国资,600272,600272.SH,17
光伏+收购新能源运维公司+盐湖提锂+定增,002256,002256.SZ,33
光耦合器+股权转让+国企改革,002047,002047.SZ,33
电力+新能源+煤电联营+央企,600863,600863.SH,17
污水处理+PPP项目+估值提升,603797,603797.SH,17
乳业+烘焙食品+米制鲜食,605179,605179.SH,17
母婴用品+摘帽+中报预计扭亏,002762,002762.SZ,33
半年报增长+硝化棉+商业航天+央企,002246,002246.SZ,33
机器人+智能线性驱动+新能源汽车,605288,605288.SH,17
无人驾驶+上海出租车+间接投资长江存储+算力,600611,600611.SH,17
半年报增长+风电+光伏+新疆国资,001258,001258.SZ,33
6G预研+滤波器龙头+卫星通信,002194,002194.SZ,33
黄金概念+汽车零部件+一季报增长,002715,002715.SZ,33
创新药+预重整+重整投资人招募+长春国资,600881,600881.SH,17
黄金珠宝+数字货币+AI应用+海淀国资,002721,002721.SZ,33
医药商业+中报预增+上海国资,600833,600833.SH,17
存储芯片+先进封装+SK海力士+无锡国资,600667,600667.SH,17
算力+IDC+家居商贸+房地产,600162,600162.SH,17
港机出海+GPU芯片+重大合同+中报预增,002685,002685.SZ,33
服装主业+股权变卖+ST板块,600107,600107.SH,22
GLP-1出海+独家许可协议+创新药+胰岛素龙头,603087,603087.SH,17
拟重大资产重组+复牌+真空镀膜设备+环境监测,300862,300862.SZ,33
拟收购埃福思科技+MLCC离型膜+载带满产,002859,002859.SZ,33
,002350,002350.SZ,33
,600730,600730.SH,22
参股算力建设（金额较小）+工程咨询+AI应用+甘肃国资,000779,000779.SZ,33
机器人+汽车内饰件+定增获批,301529,301529.SZ,33
