code,股票代码,market_code,涨停原因类别[20260804]
002957,002957.SZ,33,光模块设备+人形机器人+超跌反弹
605068,605068.SH,17,人形机器人概念+电子皮肤+汽车内饰
002659,002659.SZ,33,AI教育+智谱AI+北京国资
001339,001339.SZ,33,算力+人形机器人+半年报增长
300489,300489.SZ,33,红外光学+锗+铝合金+高管增持
003031,003031.SZ,33,CPO+电子陶瓷+央企+一季报增长
000048,000048.SZ,33,机器人+算力+生猪养殖
002579,002579.SZ,33,PCB+高阶HDI+AIPC+定增通过
002963,002963.SZ,33,液冷服务器+智慧灯杆+照明工程
600666,600666.SH,17,算力租赁+AI应用+蓝宝石
603800,603800.SH,17,PCB并购+先进封装+TGV+电解铜箔
601126,601126.SH,17,固态变压器+AIDC+电网设备
603124,603124.SH,17,PCB铜基新材料+AI算力+半年报预增
002173,002173.SZ,33,脑机接口+医疗器械注册证+医疗服务
002674,002674.SZ,33,磷化铟收购+机器人电子皮肤+汽车内饰皮革+天然皮革
001331,001331.SZ,33,机器人+具身智能+LNG运贸
600397,600397.SH,17,钨钽铌资产注入+磁选装备+江西国资
002501,002501.SZ,33,重大资产重组+汽车零部件+铝型材
603757,603757.SH,17,液冷泵+核电+实控人变更
603115,603115.SH,17,AI电极箔+中报预增+产品涨价+全球龙头
301227,301227.SZ,33,利空落地+建筑节能+节能铝包木窗
002291,002291.SZ,33,AI应用+直播电商+业绩扭亏+剥离鞋业
002900,002900.SZ,33,创新药+化学制药+中报减亏
002792,002792.SZ,33,商业航天+卫星通信+CPO+基站天线
003036,003036.SZ,33,电子布织机+固态电池+机器人概念+纺织机械
603912,603912.SH,17,算力租赁+液冷服务器+数据中心
000593,000593.SZ,33,举牌+天然气+氢能
002536,002536.SZ,33,液冷服务器+汽车热管理+超跌反弹
000710,000710.SZ,33,AI医疗+三代测序+基因检测NIPT
002990,002990.SZ,33,算力+机器人+中报增长+智慧口岸
603559,603559.SH,17,算力+通信服务+摘帽+半年报扭亏
603058,603058.SH,17,AIGC+管制药品+半年报增长
605589,605589.SH,17,电子级树脂涨价+合成树脂+先进封装
603259,603259.SH,17,业绩超预期+上调指引+CXO龙头
000609,000609.SZ,33,半导体封测+存储芯片+北京天微并表
301047,301047.SZ,33,CXO概念+生物试剂+一季报增长
600379,600379.SH,17,氦气+电子特气+真空灭弧室+央企
688316,688316.SH,17,AI算力+超融合软件+股权转让终止
600228,600228.SH,17,AI应用+在线导购+控制权变更
