code,market_code,股票代码,涨停原因类别[20260604]
002491,33,002491.SZ,光纤涨价+通信电缆+合资投建
603903,17,603903.SH,芯长征入主+功率半导体+污水处理+一季报扭亏
002645,33,002645.SZ,稀土永磁+机器人+一季报大增
600703,17,600703.SH,光芯片+碳化硅+CPO+金刚石散热
300726,33,300726.SZ,钽电容+陶瓷电容+光模块+商业航天
002353,33,002353.SZ,燃气轮机+北美数据中心+油气装备
605060,17,605060.SH,燃气轮机+液冷+明德二期投产
600280,17,600280.SH,
002501,33,002501.SZ,重大资产重组+汽车铝型材+ST摘帽预期
603950,17,603950.SH,柴油动力单元+发动机零部件+重大资产重组
002547,33,002547.SZ,
000582,33,000582.SZ,
003011,33,003011.SZ,PVC地板出口+年报增长+回购
600439,17,600439.SH,发制品+跨境电商+人形机器人+股东间接参投黄河信产
002496,33,002496.SZ,
603210,17,603210.SH,汽车结构件+新能源客户+权益分派+业绩增长
600180,22,600180.SH,海外煤炭+诉讼撤诉+债务化解
000670,33,000670.SZ,长江存储代理+半导体分销+重大资产重组
003036,33,003036.SZ,电子布纺织机+纺织机器人+固态电池+高端纺机
600408,17,600408.SH,焦炭+型钢+碳减排
600302,22,600302.SH,
003043,33,003043.SZ,半导体设备+固态电池+精密金属结构件
002585,33,002585.SZ,MLCC产能扩张+复合铜箔量产+扭亏为盈
688031,17,688031.SH,AI基础设施软件提供商+数据库+一季报增长
000718,33,000718.SZ,地产+医美增长+低负债率
603559,22,603559.SH,
000838,33,000838.SZ,
605398,17,605398.SH,AI应用+AIGC短剧+智能运维
603989,17,603989.SH,MLPC+铝电解电容+AI服务器+新能源
002931,33,002931.SZ,优必选入主+机器人概念+园林机械零部件
002789,33,002789.SZ,
301188,33,301188.SZ,中硼硅药用玻璃+RTU免洗免灭药包+产品涨价
002875,33,002875.SZ,
002082,33,002082.SZ,
688146,17,688146.SH,电子特气龙头+存储上游+六氟化钨+央企
603286,17,603286.SH,人形机器人+电子皮肤+北美工厂+传感器
605162,17,605162.SH,可转债赎回完成+热电联产+弗迪电池供热
002213,33,002213.SZ,半导体存储+锂矿审批
000759,33,000759.SZ,
688378,17,688378.SH,OLED蒸发源+中标京东方+一季报增长
600353,17,600353.SH,氮化铝+韩国客户+真空灭弧室+可控核聚变
002733,33,002733.SZ,算力UPS+氢能+归还募资
603500,17,603500.SH,超级电容+轨交扣件+产能扩张
002951,33,002951.SZ,超级电容+间接投资光纤公司+储能电站
000793,33,000793.SZ,重整获批+海南国资入主+文旅传媒
603330,17,603330.SH,光模块透镜固定用胶+电子胶+半导体
603516,17,603516.SH,自研ASIC芯片+液冷服务器+参投沐曦+一季报扭亏
002824,33,002824.SZ,折叠屏+电池结构件+一季报增长
600367,17,600367.SH,碳酸锶涨价+玻璃基板上游+MLCC上游+青岛国资
600667,17,600667.SH,存储芯片+SK海力士+先进封装+无锡国资
002866,33,002866.SZ,
301468,33,301468.SZ,HRSG+燃机+越南基地+海外收入占比过半
600537,22,600537.SH,
600237,17,600237.SH,薄膜电容器+PET铜箔+国企
001309,33,001309.SZ,存储芯片+企业级SSD+一季报增长
000595,33,000595.SZ,
603610,17,603610.SH,脑机接口+智能电动床+协议续签
002971,33,002971.SZ,电子特气+硅基新材料
301123,33,301123.SZ,AI液冷散热+高速连接器+扭亏为盈
002323,33,002323.SZ,
002484,33,002484.SZ,超级电容+AI服务器电源+人形机器人+国企改革
002207,33,002207.SZ,
000536,33,000536.SZ,显示面板+车载显示+福建国资+被动减持处置
600226,17,600226.SH,股东协议转让+PCB铜箔+锂电铜箔
001278,33,001278.SZ,
688668,17,688668.SH,铜缆高速连接+224G连接器+液冷散热+可转债获批
002305,33,002305.SZ,
600868,17,600868.SH,锑银矿+水电+一季报营收增长
603005,17,603005.SH,TSV封装+先进封装+车规CIS+分拆上市
600759,22,600759.SH,
600293,17,600293.SH,电子玻璃+高端玻璃转型+硅材料基地+宜昌国资
600255,17,600255.SH,高速铜连接+铜合金板带+一季报增长+国资
603435,17,603435.SH,BOPP电工膜+电容膜+复合铜箔+次新股
000820,33,000820.SZ,
000677,33,000677.SZ,
002590,33,002590.SZ,机器人+智能驾驶+底盘系统
002051,33,002051.SZ,数据中心+中东重建+国际工程+一带一路
002806,33,002806.SZ,超级电容用材料+铝箔材+SiC控制器+实控人变更
600370,22,600370.SH,
600246,17,600246.SH,高速交换芯片+PCIe5.0芯片+存储芯片
002395,33,002395.SZ,光学级PMMA+足球革+超跌反弹
002787,33,002787.SZ,参股宇树科技+半导体设备+一季报增长
002717,33,002717.SZ,罚单落地+面值退市博弈+生态文旅+ST板块
601010,22,601010.SH,回购进展+百货零售+终止控制权变更
600491,22,600491.SH,城市更新+零碳园区+绿色建筑
000725,33,000725.SZ,玻璃基封装载板+康宁合作+回购注销
002570,33,002570.SZ,国资入主+婴配粉+全家营养
001376,33,001376.SZ,定增过会+热电联产+安哥拉电解铝
000520,33,000520.SZ,干散货航运+镍矿运输+一季度扭亏
600696,21,600696.SH,股东增持+退市整理+白酒
601666,17,601666.SH,主焦煤龙头+煤炭+河南国资
603272,22,603272.SH,
603135,17,603135.SH,机器人+出海+新增订单+到期赎回
603920,17,603920.SH,AI PCB+人形机器人+CPO
600828,17,600828.SH,百货零售+商业不动产REITs+商管转型
000504,33,000504.SZ,
000911,33,000911.SZ,
002667,33,002667.SZ,控制权拟变更+一季度扭亏+锂电+*ST
920161,151,920161.BJ,BOPP薄膜+薄膜电容+北交所次新
000736,33,000736.SZ,
688303,17,688303.SH,拟60亿元布局AIDC配电+多晶硅
002856,33,002856.SZ,
000078,33,000078.SZ,
002072,33,002072.SZ,煤炭贸易+司法拍卖+并购重组预期
002630,33,002630.SZ,环保锅炉+垃圾焚烧发电+ST板块
002981,33,002981.SZ,机器人概念+AI眼镜+电声产品
600745,22,600745.SH,
300897,33,300897.SZ,股权转让+智慧水务+AI应用
600688,17,600688.SH,T1000级碳纤维+石油化工+央企
600403,17,600403.SH,煤炭+河南国资重组+国企改革
603067,17,603067.SH,铬盐龙头+SOFC+可转债获批
603843,22,603843.SH,
000639,33,000639.SZ,境外子公司重整完成+股份将被司法变卖+玉米油
002514,33,002514.SZ,
600482,17,600482.SH,燃气轮机+船用柴油机+中船系
000056,33,000056.SZ,债务化解预期+功率半导体+双主业
000821,33,000821.SZ,回购进展+钙钛矿设备+机器人
002199,33,002199.SZ,
605358,17,605358.SH,硅片订单饱满+VCSEL芯片+12英寸硅片+光通信
000733,33,000733.SZ,MLCC+超级电容+商业航天+央企
002520,33,002520.SZ,人形机器人+数控螺纹磨床+高端机床+一季报扭亏
001896,33,001896.SZ,参股算力+火电+河南国资
603090,17,603090.SH,液冷服务器+氢能源+铝制板翅式换热器+海外扩张
