股票代码,涨停原因类别[20260323],market_code,code
002309.SZ,钙钛矿电池+厦门国资+光伏储能,33,002309
600360.SH,,22,600360
002055.SZ,,33,002055
002424.SZ,,33,002424
002963.SZ,,33,002963
603869.SH,,22,603869
603789.SH,,22,603789
600165.SH,,22,600165
002571.SZ,,33,002571
000638.SZ,退市博弈+军工+粮食,33,000638
600608.SH,花卉转型+扭亏预告+昆明国资,22,600608
002565.SZ,太空算力+增资轨道辰光+环保纸,33,002565
002816.SZ,,33,002816
600703.SH,,17,600703
002731.SZ,,33,002731
002995.SZ,,33,002995
002485.SZ,,33,002485
002150.SZ,光伏逆变器+储能+外销,33,002150
002760.SZ,,33,002760
002636.SZ,,33,002636
002310.SZ,重大资产重组+风光电站+资产注入预期+北京国资,33,002310
002822.SZ,,33,002822
002713.SZ,,33,002713
002496.SZ,,33,002496
600365.SH,,22,600365
000524.SZ,,33,000524
000691.SZ,,33,000691
603803.SH,CPO+智算中心+高速光模块,17,603803
600302.SH,,17,600302
603012.SH,,17,603012
603616.SH,拟收购兴福新材+PEEK新材料+PCCP水利,17,603616
603790.SH,,17,603790
000601.SZ,,33,000601
603559.SH,,22,603559
000909.SZ,,33,000909
603668.SH,,17,603668
000609.SZ,,33,000609
600136.SH,影视传媒+湖北国资+智慧空间,22,600136
002656.SZ,,33,002656
605289.SH,,17,605289
002932.SZ,,33,002932
600792.SH,焦炭+煤化工+减亏+云南国资,17,600792
600228.SH,,22,600228
001337.SZ,,33,001337
000703.SZ,PTA+石油化工+文莱二期,33,000703
600201.SH,,17,600201
603219.SH,,17,603219
603787.SH,电动两轮车+共享单车+业绩预增,17,603787
002592.SZ,,33,002592
603007.SH,,22,603007
600381.SH,,22,600381
000004.SZ,,33,000004
002586.SZ,,33,002586
000929.SZ,,33,000929
002620.SZ,光伏建筑一体化+预重整+建筑装饰,33,002620
002076.SZ,,33,002076
603499.SH,,17,603499
001266.SZ,,33,001266
600376.SH,间接持股宇树科技+城市更新+北京国资,17,600376
600636.SH,,22,600636
603377.SH,预重整+驾驶培训+新能源智培,22,603377
001258.SZ,储能扩张+疆电外送+新疆国资+风电光伏,33,001258
600149.SH,供热+京津冀一体化+国企,17,600149
002872.SZ,,33,002872
605577.SH,,17,605577
000697.SZ,,33,000697
600758.SH,煤炭+热电+国企,17,600758
002218.SZ,太空光伏+钙钛矿+回购注销,33,002218
603289.SH,,17,603289
600107.SH,出售资产+服装+*ST风险,22,600107
000595.SZ,,33,000595
001216.SZ,,33,001216
600568.SH,,22,600568
600331.SH,,17,600331
603595.SH,,22,603595
600130.SH,,22,600130
600769.SH,,17,600769
603949.SH,,17,603949
600851.SH,,17,600851
002896.SZ,人形机器人+精密减速器+泰国扩产,33,002896
002552.SZ,,33,002552
002305.SZ,,33,002305
000823.SZ,,33,000823
002122.SZ,,33,002122
603175.SH,,17,603175
600624.SH,,22,600624
001326.SZ,,33,001326
603529.SH,电动两轮车+高端化+海外扩张,17,603529
000677.SZ,,33,000677
000711.SZ,,33,000711
001373.SZ,,33,001373
002726.SZ,,33,002726
001270.SZ,,33,001270
002211.SZ,,33,002211
603057.SH,,17,603057
603332.SH,,17,603332
600370.SH,,17,600370
600355.SH,退市博弈+缝制数控+智能电网,22,600355
000908.SZ,石药入主+摘星申请+创新药,33,000908
003032.SZ,,33,003032
605258.SH,,17,605258
300868.SZ,跨界收购+移动配件+AI穿戴,33,300868
603105.SH,绿电概念+储能+分布式电站,17,603105
002796.SZ,,33,002796
603381.SH,,17,603381
603306.SH,,17,603306
600143.SH,间接持股宇树科技+人形机器人+改性塑料,17,600143
600791.SH,,17,600791
001267.SZ,,33,001267
603721.SH,,22,603721
000488.SZ,,33,000488
002918.SZ,,33,002918
600696.SH,退市博弈+酱香型白酒,22,600696
000978.SZ,,33,000978
603358.SH,,17,603358
002042.SZ,,33,002042
603272.SH,控股股东转让股份+智能家居+墙布龙头,17,603272
600358.SH,,22,600358
603813.SH,,22,603813
603016.SH,断路器+电网设备+微型电机+国企改革,17,603016
002899.SZ,,33,002899
600396.SH,绿电+氢能+央企,17,600396
000534.SZ,,33,000534
600671.SH,,17,600671
002800.SZ,,33,002800
603838.SH,,22,603838
603517.SH,,22,603517
600490.SH,,17,600490
002772.SZ,,33,002772
000698.SZ,,33,000698
603580.SH,,22,603580
002512.SZ,,33,002512
002290.SZ,,33,002290
000736.SZ,,33,000736
605081.SH,,22,605081
603150.SH,,17,603150
002808.SZ,,33,002808
600844.SH,煤化工+草酸扩产+乙二醇涨价,17,600844
300345.SZ,光伏硅片+异质结+具身智能,33,300345
002047.SZ,,33,002047
002208.SZ,,33,002208
605118.SH,,17,605118
002630.SZ,,33,002630
000608.SZ,,33,000608
603311.SH,,17,603311
603291.SH,,17,603291
