涨停原因类别[20260129],market_code,股票代码,code
皮鞋+智能制造,17,603001.SH,603001
油气资源+一带一路+央企,17,600339.SH,600339
黄酒+高端化+年轻化+足球,17,601579.SH,601579
,33,000638.SZ,000638
扭亏为盈+黄金+国企,33,000506.SZ,000506
铜价上涨+黄金+铜箔+国企,33,000630.SZ,000630
金价新高+黄金采选冶+新疆国资,17,601069.SH,601069
黄金+白银+铜冶炼+锂电材料,17,601212.SH,601212
房地产板块+吾悦广场+商业运营,17,601155.SH,601155
业绩超预期+不良双降+青岛国资,33,002948.SZ,002948
白酒+中期分红+国企改革,33,000596.SZ,000596
持股艺莲文创+AI营销+海南陵发战投,33,002995.SZ,002995
,33,002731.SZ,002731
,33,003002.SZ,003002
运力扩张+海峡两岸+干散货航运,17,603162.SH,603162
,22,600525.SH,600525
白酒+胖东来+央企,33,000799.SZ,000799
,33,300561.SZ,300561
业绩预增+商业航天+低空经济,33,001316.SZ,001316
建筑陶瓷+AIGC+分红派息,33,001386.SZ,001386
高端黄酒+品牌热度+国潮出海+绍兴国资,17,600059.SH,600059
伊拉克中标+油气一体化+民营龙头,17,603619.SH,603619
白酒+亏损收窄+国企改革,17,600199.SH,600199
,33,002496.SZ,002496
机器人+消费电子+钛合金粉+重组进展,17,603958.SH,603958
白银涨价+黄金+铅铜龙头+国企改革,17,600531.SH,600531
露营经济+AI赋能+三季报增长,17,605080.SH,605080
重组复牌+黄金预增+湖南国资,33,002155.SZ,002155
白酒+苏超合作+国企改革,33,002304.SZ,002304
创新药+东方略+国企,33,000813.SZ,000813
稀土+Peak收购+央企,17,600392.SH,600392
商业航天+车联网+央企,33,000901.SZ,000901
橡胶龙头+海南国资+收入保险,17,601118.SH,601118
白酒+分红+浓香龙头,33,000858.SZ,000858
白酒+老酒战略+明星代言,17,600702.SH,600702
白酒+河北龙头+国企背景,17,600559.SH,600559
,22,600381.SH,600381
,33,002586.SZ,002586
,22,603828.SH,603828
,33,002620.SZ,002620
机器人+新能源车+北美订单,17,600215.SH,600215
AI营销+全运会IP+广州国资,33,002181.SZ,002181
,22,600735.SH,600735
足球概念+苏超赞助+全球龙头,17,605099.SH,605099
春节档+AI漫剧+院线龙头,17,603103.SH,603103
太空采矿+建材+国企改革,17,600678.SH,600678
,33,003042.SZ,003042
,33,002246.SZ,002246
,17,605288.SH,605288
文化传媒+苏盐井神定增+算力云网+江苏国资,17,600959.SH,600959
白酒+兼香型龙头+业绩预减落地,17,603589.SH,603589
AI应用+全运会+文体运营+广州国资,17,600684.SH,600684
葡萄酒+中字头+AMC,17,600084.SH,600084
收购凉山矿业+黄金+有色金属+央企,33,000878.SZ,000878
CCUS+央企油服+海外大单,17,600871.SH,600871
,22,688287.SH,688287
白酒+国企改革,17,600197.SH,600197
,33,000595.SZ,000595
黄金+铜+山西国资+压延铜箔,33,000737.SZ,000737
商业航天+机器人+机械传动,33,300780.SZ,300780
数字人+AIGC+杭州国资+文化传媒,33,000607.SZ,000607
