market_code,涨停原因类别[20260521],股票代码,code
33,,002491.SZ,002491
17,摘帽+功率半导体+吉林国资,600360.SH,600360
17,,603118.SH,603118
17,,603156.SH,603156
33,,002235.SZ,002235
33,创新药+定增推进+原料药,002940.SZ,002940
33,智能驾驶+英伟达合作+机器人域控,002920.SZ,002920
17,算力租赁+液冷+拟收购易信科技+湖南国资,600156.SH,600156
151,车载偏光片+OLED偏光片+广东国资,920001.BJ,920001
33,血液制品+回购+股权转让+国资,000403.SZ,000403
17,,603757.SH,603757
33,,002713.SZ,002713
33,,002977.SZ,002977
22,,600180.SH,600180
17,,603121.SH,603121
33,,002342.SZ,002342
33,,000909.SZ,000909
33,,000838.SZ,000838
33,,000813.SZ,000813
33,光学光电子+电子纸+一季报增长,002952.SZ,002952
33,机器人应用+输送设备+水泥+一带一路,001225.SZ,001225
33,,000609.SZ,000609
17,存储芯片+定增扩产+业绩暴增,603316.SH,603316
33,优必选入主+机器人概念+园林机械+汽车零部件,002931.SZ,002931
17,创新药+KAT6/7双靶点抑制剂+业绩增长,603590.SH,603590
33,,002634.SZ,002634
17,,605198.SH,605198
33,,002082.SZ,002082
33,华为HiPlay+音响龙头+端侧AI,002888.SZ,002888
33,,001211.SZ,001211
17,投资GPU公司+家居用品+出口+越南产能,603661.SH,603661
33,,002620.SZ,002620
22,,600818.SH,600818
33,,000632.SZ,000632
33,,000669.SZ,000669
33,,002691.SZ,002691
33,董事长增持+炭黑龙头+绿色降碳,002442.SZ,002442
17,间接投资长江存储+智能网联+上海出租车,600611.SH,600611
22,,603021.SH,603021
22,,603822.SH,603822
33,,002272.SZ,002272
33,收购中科西光+商业航天+昨日复牌+特高压玻璃绝缘子,300069.SZ,300069
33,,002725.SZ,002725
22,,600730.SH,600730
33,,002323.SZ,002323
33,,002207.SZ,002207
33,显示面板+车载显示+诉讼回款+福建国资,000536.SZ,000536
17,,600769.SH,600769
17,,600130.SH,600130
33,,002637.SZ,002637
33,,000010.SZ,000010
33,无人驾驶+车载光学+机器视觉,002036.SZ,002036
17,无注入“算力”相关计划+淄博国资入主+葡萄酒+白兰地,603779.SH,603779
22,,603922.SH,603922
22,,600759.SH,600759
33,,000677.SZ,000677
33,,000711.SZ,000711
17,Mini LED+全彩电子纸+昆山国资,688055.SH,688055
17,商用载客车+摘帽+氢能源,600303.SH,600303
33,,002211.SZ,002211
33,,002726.SZ,002726
33,无人驾驶+线控转向+定点车企,002703.SZ,002703
22,,603189.SH,603189
22,,600370.SH,600370
33,,002717.SZ,002717
22,,601010.SH,601010
17,智慧交通+机器人概念+AI应用+广西国资,600936.SH,600936
22,,600491.SH,600491
33,,000586.SZ,000586
33,康宁合作+玻璃基板+AMOLED+北京国资,000725.SZ,000725
22,,605336.SH,605336
17,铁矿扩产+尾矿回收+业绩补偿,600382.SH,600382
33,,002629.SZ,002629
22,,603718.SH,603718
33,,002809.SZ,002809
17,减速器+汽车变速器+新能源汽车,603767.SH,603767
33,,002581.SZ,002581
17,,603163.SH,603163
33,电子玻璃+光伏,000012.SZ,000012
33,无人驾驶+智能舱驾+北美突破,002766.SZ,002766
17,风光火储+绿电转型+北京国资,600578.SH,600578
33,,001215.SZ,001215
33,,002667.SZ,002667
33,,000155.SZ,000155
33,,002512.SZ,002512
33,,000078.SZ,000078
33,,002856.SZ,002856
33,,002072.SZ,002072
33,,002208.SZ,002208
33,,002630.SZ,002630
33,摘帽+生物医药+园林绿化,000518.SZ,000518
17,,600208.SH,600208
22,创新药+儿科药+利空出尽,605199.SH,605199
33,算力租赁+商业航天+OSS,003007.SZ,003007
22,超跌反弹+半导体+安世的控制权仍受限,600745.SH,600745
33,,000039.SZ,000039
17,低空安防+无人机+国企改革,603373.SH,603373
22,,603008.SH,603008
33,,000056.SZ,000056
33,参股算力+火电+绿电储备+河南国资,001896.SZ,001896
17,创新药CRO+实验猴涨价+订单高增,603127.SH,603127
