code,股票代码,涨停原因类别[20260617],market_code
002491,002491.SZ,光纤光缆+产能扩张+数据中心,33
001339,001339.SZ,智算+人形机器人+一季报增长,33
300088,300088.SZ,算力+TGV玻璃基板+UTG+国企,33
601636,601636.SH,玻璃基板+浮法玻璃+光伏玻璃,17
002579,002579.SZ,PCB+高阶HDI+定增扩产+AIPC,33
300735,300735.SZ,算力+液冷服务器+汽车电子,33
300386,300386.SZ,数字货币概念+安全芯片+车规级芯片,33
002141,002141.SZ,覆铜板+PCB上游+扭亏为盈,33
600110,600110.SH,铜箔+HVLP+固态电池+满产满销,17
300584,300584.SZ,固态电池+电解液添加剂+兰地洛尔+仿制药,33
300475,300475.SZ,存储芯片+SK海力士代理+一季报暴增,33
688598,688598.SH,半导体产业链+光伏热场+碳陶制动盘+人形机器人,17
603929,603929.SH,半导体洁净室+新加坡布局+一季报倍增,17
600397,600397.SH,钨钽铌并购+磁选装备+江西国资,17
600552,600552.SH,玻璃基板+面板+央企改革,17
601117,601117.SH,脱硫技术+芯片+化学工程+中字头,17
688260,688260.SH,MLCC+电子陶瓷+定增扩产,17
000100,000100.SZ,面板+回购+一季报增长,33
002201,002201.SZ,特种玻璃纤维+风电叶片+商业航天,33
603115,603115.SH,AI服务器电极箔+市占率第一+业绩增长,17
002161,002161.SZ,RFID+AI赋能+文旅消费+券商看好,33
603283,603283.SH,HBM检测+半导体设备+一季报增长,17
002106,002106.SZ,玻璃基板+MED+AI PC,33
603637,603637.SH,石油化工+加氢技术+控制权转让+浙江国企,17
000838,000838.SZ,,33
603488,603488.SH,军工仿真+VR/XR+双主业,17
603989,603989.SH,MLPC+AI服务器+铝电解电容+薄膜电容,17
002789,002789.SZ,庭外重组+建筑装饰+国资+债务豁免,33
600876,600876.SH,光伏玻璃+产线退出预期+央企,17
603324,603324.SH,电子化学品+半导体附属装备+股权激励,17
600192,600192.SH,输变电设备+核电+一带一路+国企改革,17
300737,300737.SZ,商业航天+工业涂料+光伏防水,33
002082,002082.SZ,股权转让+石杉碱甲+一季报增长,33
603139,603139.SH,AI算力+中药+资产重整,17
600381,600381.SH,,22
600777,600777.SH,,22
001211,001211.SZ,,33
600353,600353.SH,氮化铝+韩国客户+真空灭弧室+可控核聚变,17
000632,000632.SZ,,33
688766,688766.SH,AI存储+拟收购诺亚长天+一季报增长,17
603986,603986.SH,存储芯片涨价+行业龙头+端侧AI+一季报增长,17
600579,600579.SH,中字头+资产重组+化工装备+机器人概念,17
603021,603021.SH,,22
000672,000672.SZ,半导体产业链+投资长鑫科技+半导体封装基板+水泥,33
600537,600537.SH,预重整+签订投资协议+光伏组件,22
600237,600237.SH,薄膜电容器+PET铜箔+国企,17
002906,002906.SZ,人形机器人+精密压铸+光模块+AI BOX,33
600673,600673.SH,算力大单+收购秦淮数据+人形机器人,17
301366,301366.SZ,PCB签单增长+光模块PCB,33
600186,600186.SH,算力+阶跃星辰投资+半导体材料+调味品龙头,17
002207,002207.SZ,,33
000811,000811.SZ,权益分派实施+数据中心液冷+拟收购整合+烟台国资,33
688333,688333.SH,金属3D打印+商业航天+人形机器人,17
002741,002741.SZ,PCB化学品+AI算力+股权激励,33
603922,603922.SH,汽车零部件+一季度扣非净利增517%+控制权变更预期,22
603601,603601.SH,玻璃微纤维+商业航天+半导体洁净+干净空气材料,17
603458,603458.SH,数据中心+工程咨询+北斗技术+无人驾驶,17
002080,002080.SZ,特种电子布+风电叶片+央企背景,33
603378,603378.SH,,22
603618,603618.SH,光纤涨价+铜箔+特高压,17
603261,603261.SH,摘帽+航空装备+无人机,17
301111,301111.SZ,创新药+中华老字号+询价转让,33
603020,603020.SH,香精香料+鱼油+收购进展+一季报增长,17
000823,000823.SZ,PCB+覆铜板+转债完成赎回+汕头国资,33
002254,002254.SZ,光纤概念+芳纶涂覆隔膜+烟台国资,33
603880,603880.SH,医疗器械+创可贴+海外市场,17
600707,600707.SH,基板玻璃+面板+年报分红+咸阳国资,17
001326,001326.SZ,植物照明+北美业务+LED照明+机器人,33
000677,000677.SZ,,33
002938,002938.SZ,PCB+AI算力扩产+光模块,33
600370,600370.SH,ST板块+董事长离任+拍卖暂缓+聚酯产业链,22
600676,600676.SH,资产置换+拟更名+文体旅+上海国资,17
600378,600378.SH,六氟化钨+氟化工+PCB概念+央企,17
603002,603002.SH,高速覆铜板+环氧树脂+先进封装,17
002717,002717.SZ,,33
000725,000725.SZ,玻璃基封装载板+康宁合作+光互连+半导体显示,33
000695,000695.SZ,固态电池+硅碳负极+绿电降本,33
002918,002918.SZ,先进陶瓷+建筑陶瓷+传闻澄清,33
600753,600753.SH,撤销退市风险警示+液化石油气+改性塑料+一季报扭亏,22
603773,603773.SH,TGV玻璃基板+先进封装+PET铜箔,17
000050,000050.SZ,玻璃基封装+Micro-LED+央企,33
002581,002581.SZ,创新药+ST板块+营收增长,33
603272,603272.SH,,22
000777,000777.SZ,中核集团旗下+核电阀门+控股股东增持,33
603429,603429.SH,ST板块+固态电池+转型并购,22
920122,920122.BJ,中字头+央企+纺织品检测,151
001282,001282.SZ,人形机器人+高温合金叶片+年报分红,33
000911,000911.SZ,,33
300903,300903.SZ,AI算力PCB+券商首次覆盖买入,33
002667,002667.SZ,,33
603580,603580.SH,摘帽进展+问询函延期+年报扭亏,22
603976,603976.SH,药用玻璃包装+医美包装+股权转让,17
600026,600026.SH,海峡通航催化+VLCC运力扩张+一季报增长,17
000679,000679.SZ,百货零售+大连地区+电商,33
002856,002856.SZ,,33
600187,600187.SH,,22
300351,300351.SZ,机器人+液冷超充+轨交中标,33
600615,600615.SH,智能割草机器人+无人割草机+轻量化+比亚迪概念,17
600745,600745.SH,,22
002828,002828.SZ,终止定增+加拿大油气+一体化油服,33
603285,603285.SH,锂电池+电磁线漆+AI算力+商业航天,17
688323,688323.SH,PCB概念+PI薄膜+商业航天,17
688082,688082.SH,半导体设备+高温SPM+订单增长+H股上市,17
002514,002514.SZ,,33
603959,603959.SH,股权拍卖+人形机器人+重整预期+锂电池,22
002404,002404.SZ,丝绸全产业链+品牌升级+外贸增长,33
002989,002989.SZ,FCBGA封装基板+HBM+半导体转型+浙江国资,33
600176,600176.SH,电子布涨价+PCB+央企,17
001223,001223.SZ,PCB概念+PI膜+锂电池隔膜设备,33
603186,603186.SH,覆铜板+AI算力+定增扩产,17
002916,002916.SZ,PCB+封装基板+拟定增+央企,33
603557,603557.SH,,22
688079,688079.SH,玻璃基板+先进封装+三星供应链,17
300283,300283.SZ,硬质合金棒材+PCB钻针+半导体封装+一季报扭亏,33
