涨停原因类别[20260624],market_code,code,股票代码
光纤光缆+产能扩张+数据中心,33,002491,002491.SZ
光纤概念+高纯四氯化硅+含硫硅烷+券商推荐,17,605366,605366.SH
皮鞋+C2M+大股东再质押+业绩扭亏,17,603001,603001.SH
算力+人形机器人+一季报增长,33,001339,001339.SZ
高速铜缆连接+人形机器人线缆+可控核聚变,33,301310,301310.SZ
算力租赁+800G光模块+武汉国资,33,000818,000818.SZ
薄膜电容器+AI数据中心电源+产能扩张,17,600563,600563.SH
半导体前驱体+HBM+存储芯片,33,002409,002409.SZ
CPO+光芯片+碳化硅+化合物半导体,17,600703,600703.SH
,22,603359,603359.SH
,33,002485,002485.SZ
半导体洁净室+新加坡布局+一季报倍增,17,603929,603929.SH
算力+液冷储能+电池+山东国资,33,002580,002580.SZ
收购磷化铟+机器人电子皮肤+汽车内饰皮革,33,002674,002674.SZ
,33,002542,002542.SZ
氧氯化锆+陶瓷载板+光通讯+业绩增长,17,603407,603407.SH
汽车产业链+比亚迪概念+高管增持,17,605151,605151.SH
证券+间接持有长鑫存储股份+财富管理+安徽国资,17,600909,600909.SH
申请撤销ST+重整完成+物业管理,33,002822,002822.SZ
,33,002547,002547.SZ
石墨烯+家居产品+亏损收窄,33,002631,002631.SZ
,17,600598,600598.SH
HITS先进封装+存储芯片+显示驱动封测,17,688403,688403.SH
电子布+云母绝缘+固态电池,33,001359,001359.SZ
算力产业+摘帽预期+增资子公司+家装,33,002713,002713.SZ
,22,600180,600180.SH
,33,002253,002253.SZ
半导体设备+精密金属结构件+固态电池+转债强赎,33,003043,003043.SZ
,22,600302,600302.SH
液冷服务器+电子水泵+汽车+泛工业,33,002536,002536.SZ
海工装备+涤纶工业丝+陕西国资,33,002427,002427.SZ
算力合作协议+人形机器人+智慧口岸,33,002990,002990.SZ
金刚石散热+商业航天+机器人+央企,33,002046,002046.SZ
半导体光学+光学龙头+收购江丰生物股权,17,603297,603297.SH
控制权拟变更+房地产+环保+ST板块,33,000838,000838.SZ
MLPC+AI服务器+铝电解电容+薄膜电容,17,603989,603989.SH
,33,000016,000016.SZ
氦气+电子特气+真空灭弧室+央企,17,600379,600379.SH
创新药+生化制药龙头+可转债获批,33,002550,002550.SZ
,33,002789,002789.SZ
制冷剂涨价+氟化工+液冷+一季报增长,17,605020,605020.SH
,33,002634,002634.SZ
半导体附属装备+光刻胶剥离液+产品测试进展,17,603324,603324.SH
锂盐+四川锂盐项目+钼,17,603399,603399.SH
存储芯片+EEPROM+VPD芯片,17,688123,688123.SH
,22,603729,603729.SH
,37,000004,000004.SZ
,33,002535,002535.SZ
,22,603825,603825.SH
半导体测试设备+可转债募资+一季报增长,17,603061,603061.SH
,33,000151,000151.SZ
PCB+高多层HDI+拟15.57亿投建+人形机器人,17,603386,603386.SH
半导体洁净室+中国电子云增资+AI算力,33,000032,000032.SZ
,33,002620,002620.SZ
,33,002431,002431.SZ
,33,000632,000632.SZ
储能BMS龙头+芯片国产化+虚拟电厂+次新股,33,301669,301669.SZ
PCB+光模块+AI服务器+英伟达概念,33,301132,301132.SZ
包装一体化+消费电子包装+海外产能,33,002303,002303.SZ
摘帽+植物照明+景观照明,33,300506,300506.SZ
,17,605303,605303.SH
,33,002691,002691.SZ
Qt合作+存储芯片涨价+一季报大增,17,603986,603986.SH
回购注销+高速连接器+液冷+CPO,33,002897,002897.SZ
锆产品涨价+氧化锆供给缺口+固态电池,33,002167,002167.SZ
,33,002719,002719.SZ
,22,603377,603377.SH
光纤上游+液冷服务器+有机硅+一季报增长,17,600596,600596.SH
跨境电商+日用玻璃+退市风险警示,22,603021,603021.SH
,33,002198,002198.SZ
高速铜缆+戴尔供应链+消费电子线材龙头,17,605277,605277.SH
存储芯片封测+SK海力士+无锡国资+一季报增长,17,600667,600667.SH
CPO/NPO+1.6T光模块+高速光模块,17,603083,603083.SH
锗价上涨+锗龙头+铟+央企,17,600497,600497.SH
高纯四氯化硅涨价+光纤材料+存储芯片,17,603938,603938.SH
光刻胶+PEI材料+央企增持,33,002643,002643.SZ
,17,603159,603159.SH
磷化工+磷化铟+存储芯片材料+液冷,17,600141,600141.SH
MicroLED光互连+显示驱动芯片+一季报增长,17,688593,688593.SH
半导体设备+机器人灵巧手+硬脆材料加工,33,002943,002943.SZ
PCB签单高增+光模块PCBA量产,33,301366,301366.SZ
,22,600568,600568.SH
,33,000610,000610.SZ
,22,600730,600730.SH
,33,002323,002323.SZ
一季报增长+碳化硅+消费电子,22,603595,603595.SH
具身智能数据集+3D视觉+算力租赁+AI营销,33,002354,002354.SZ
,17,603318,603318.SH
,33,002207,002207.SZ
PCB概念+电解铜箔+铜箔增资,17,600226,600226.SH
,17,605566,605566.SH
PCB概念+覆铜板+黄金采选,33,002552,002552.SZ
特种纤维布+风电叶片+央企,33,002080,002080.SZ
,33,002305,002305.SZ
,22,603378,603378.SH
光纤概念+芳纶涂覆隔膜+烟台国资,33,002254,002254.SZ
,22,600759,600759.SH
PCB+覆铜板+算力硬件+汕头国资,33,000823,000823.SZ
存储封测扩产+高端存储芯片+央企,33,000021,000021.SZ
,33,000677,000677.SZ
,33,000029,000029.SZ
锂矿+固态电池+一季报扭亏,33,002240,002240.SZ
中东市场+储能合同+数据中心+央企,33,002051,002051.SZ
PCB用化学试剂+磷化工+氢氟酸,33,002584,002584.SZ
特高压+数据中心+更名+一季报增长,33,002452,002452.SZ
磷化铟扩产+AI光通信+锗业龙头,33,002428,002428.SZ
收购湘式调料+川味调料+优化业务+回购,17,603317,603317.SH
CDMO+GLP-1多肽+在手订单充沛,33,002821,002821.SZ
PCIe5.0量产+AI算力交换芯片+买入评级,17,600246,600246.SH
电子化学品+超纯氨+低碳脂肪胺+高股息,17,603948,603948.SH
创新药+石药入主+摘帽+一季报扭亏,33,000908,000908.SZ
锂矿+锂电池负极材料+一季报增长,33,002192,002192.SZ
硅基模拟半导体芯片+卫星通信芯片+央企,17,600877,600877.SH
,22,600491,600491.SH
光刻胶树脂+H股上市,17,603650,603650.SH
集成灶+退市博弈+并购重组,22,605336,605336.SH
,22,600965,600965.SH
职业装+校服+通勤服拓展,33,002687,002687.SZ
光芯片+光纤光缆+超导带材,17,600105,600105.SH
摘帽申请+IDC并表+算力租赁+液冷布局,33,002289,002289.SZ
高速光模块发布+算力配套+商业航天+央企,33,002025,002025.SZ
,22,603718,603718.SH
TCB热压键合设备+先进封装+精密焊接+光模块,17,603203,603203.SH
洁净室+长鑫产业链+存储芯片,17,601133,601133.SH
AI服务器液冷+人形机器人+折叠屏+H股IPO,33,002600,002600.SZ
,22,603272,603272.SH
,22,603429,603429.SH
算力租赁+机器人+承诺不减持+转债赎回落地,33,000967,000967.SZ
AI数据中心+电接触材料+贵金属循环+一季报扭亏,17,603045,603045.SH
硫化锂+锂电池+固态电池,33,002497,002497.SZ
MLCC涨价+存储代理+商业航天,17,603678,603678.SH
,33,000911,000911.SZ
创新药+脑机接口+海南自贸区+国企,33,000566,000566.SZ
,33,002217,002217.SZ
,33,002667,002667.SZ
,33,002512,002512.SZ
VLCC运力扩张+一季报增长,17,600026,600026.SH
,37,002808,002808.SZ
,33,002856,002856.SZ
算力租赁+AGI智能体+一季报增长,33,301396,301396.SZ
先进封装+CPO光引擎+央企,17,600584,600584.SH
商业航天+低空经济+智慧交通,33,000925,000925.SZ
提前终止减持+VLCC运价+油气运输+央企,17,601872,601872.SH
,22,600745,600745.SH
,22,600581,600581.SH
偏光片+合肥二期产能爬坡+OLED/车载+减持完毕,33,002876,002876.SZ
智谱AI+水务机器狗+生态水利,17,605069,605069.SH
,33,000826,000826.SZ
半导体物流+化工供应链+回购,17,603713,603713.SH
商业航天+钙钛矿电池+海外基建+重大合同,17,605598,605598.SH
HVDC龙头+宁德时代拟入股+一季报增长,33,002364,002364.SZ
,33,000656,000656.SZ
,33,000639,000639.SZ
,33,002514,002514.SZ
实控人航天科技+绿氢工程+煤气化+央企,17,603698,603698.SH
液冷散热+拟定增扩产+食品饮料包装,33,003018,003018.SZ
,33,000821,000821.SZ
算力+GPU定制+AI服务器,22,600289,600289.SH
,22,600734,600734.SH
,17,600977,600977.SH
人形机器人+数控螺纹磨床+高端数控机床,33,002520,002520.SZ
PCB概念+电子布+一季报增长+央企,17,600176,600176.SH
,17,603201,603201.SH
跨境社交电商+AI营销+业绩增长,33,002803,002803.SZ
