code,股票代码,market_code,涨停原因类别[20260515]
000056,000056.SZ,33,
000078,000078.SZ,33,
000518,000518.SZ,33,申请撤销退市风险警示+生物医药+营收增长
000595,000595.SZ,33,撤销退市风险警示申请+风光储+宁夏国资
000608,000608.SZ,33,摘星脱帽预期+商业地产运营+控制权变更
000609,000609.SZ,33,
000632,000632.SZ,33,
000639,000639.SZ,33,
000668,000668.SZ,33,摘帽申请+跨境物流转型+房地产去化
000669,000669.SZ,33,重整协议+实控人变更+天然气+ST
000677,000677.SZ,33,
000711,000711.SZ,33,
000826,000826.SZ,33,预重整+数字环卫+ST板块
000925,000925.SZ,33,
001259,001259.SZ,33,股份转让+小家电+露营经济
001267,001267.SZ,33,
001333,001333.SZ,33,聚酯树脂+电子封装材料验证
002031,002031.SZ,33,人形机器人+RV减速器+XT减速器
002066,002066.SZ,33,核电材料+耐火材料+央企
002082,002082.SZ,33,
002175,002175.SZ,33,广西国资拟入主+智能物流+*ST博弈
002181,002181.SZ,33,AI视频/短剧+世界杯+传媒主业+广州国资
002196,002196.SZ,33,人形机器人+新能源电机+地方国资
002199,002199.SZ,33,
002207,002207.SZ,33,ST板块+新疆国资+油气服务+连续涨停
002290,002290.SZ,33,
002309,002309.SZ,33,
002348,002348.SZ,33,AI玩具+算力布局+此前实控人变更
002374,002374.SZ,33,防伪瓶盖+化债预期
002395,002395.SZ,33,足球赛事+光学级PMMA+产业链优势
002407,002407.SZ,33,氢氟酸涨价+大圆柱电池+一季报暴增
002421,002421.SZ,33,液冷服务器+AIoT平台+AI应用+机器人概念
002431,002431.SZ,33,
002501,002501.SZ,33,
002512,002512.SZ,33,
002514,002514.SZ,33,人形机器人+光伏+智能制造
002560,002560.SZ,33,
002569,002569.SZ,33,
002580,002580.SZ,33,
002581,002581.SZ,33,创新药+收到参股分红+*ST风险
002620,002620.SZ,33,
002667,002667.SZ,33,
002691,002691.SZ,33,
002717,002717.SZ,33,
002726,002726.SZ,33,
002729,002729.SZ,33,储能熔断器+光伏+风电
002856,002856.SZ,33,国资背景+建筑装饰+ST摘帽预期
002892,002892.SZ,33,机器人+伺服系统+华为汽车
002915,002915.SZ,33,氢氟酸涨价+PEEK材料+氟化工
002918,002918.SZ,33,先进陶瓷+建筑陶瓷+地产链
002971,002971.SZ,33,电子特气+硅基新材料
002979,002979.SZ,33,人形机器人+订单放量+一季度增长
300263,300263.SZ,33,三星供应链+靶材+商业航天+业绩增长
300276,300276.SZ,33,机器人+智能制造+汽车产业链
300721,300721.SZ,33,湿电子化学品+环氧丙烷+一季度扭亏
