market_code,股票代码,涨停原因类别[20260204],code
22,600421.SH,业绩预盈+风电模具+股权转让终止,600421
33,002334.SZ,光伏储能+数据中心供电+人形机器人,002334
33,301119.SZ,新能源车+万向节龙头+机器人关注,301119
17,603618.SH,特高压+光通信+超薄铜箔,603618
33,002928.SZ,机场航运+业绩预增+回购,002928
33,000638.SZ,,000638
17,600759.SH,油气开采+哈萨克斯坦油田,600759
33,002126.SZ,人形机器人+液冷服务器+汽车热管理,002126
33,000560.SZ,房地产经纪+租售同权,000560
33,000820.SZ,,000820
33,000711.SZ,ITO靶材+金属铟+资产注入,000711
33,002286.SZ,HMOs获批+功能糖龙头+代糖概念,002286
17,600072.SH,风电+央企+资产处置,600072
33,001270.SZ,,001270
17,605376.SH,光伏银包铜+MLCC镍粉+业绩预增,605376
17,600997.SH,煤炭+焦化+河北国资,600997
33,002995.SZ,,002995
33,002485.SZ,文旅复苏+ST摘帽预期+供应链扩张,002485
22,600355.SH,,600355
17,605151.SH,,605151
17,601226.SH,氢能+绿色甲醇+央企,601226
33,000070.SZ,CPO+光纤光缆+商业航天+深圳国资,000070
17,603778.SH,太空光伏+固态电池+异质结,603778
33,002853.SZ,实控人拟变更+AI设计+定制家居,002853
17,603381.SH,人形机器人+光伏边框+越南满产,603381
33,300423.SZ,电网设备+氢能+锂电池,300423
33,301636.SZ,钙钛矿电池+光伏接线盒+新能源汽车,301636
33,002278.SZ,深海装备+商业航天+业绩预增,002278
17,600778.SH,年报预增+零售+轻资产扩张,600778
33,002300.SZ,电网设备+海底电缆+福建基地,002300
33,002289.SZ,IDC并购+液晶显示+ST板块,002289
17,600971.SH,煤炭+回购+安徽国资,600971
33,002342.SZ,商业航天+深海系泊+扭亏为盈,002342
17,603616.SH,重组复牌+PEEK中间体+北京国资,603616
17,600188.SH,煤炭+产能扩张+国企改革,600188
33,000838.SZ,江西中久拟入主+房地产+环保+退市风险,000838
17,600115.SH,航空运输+C919春运+年报预告+央企,600115
33,000517.SZ,房地产+长三角+城市更新,000517
17,600792.SH,焦炭+减亏+云南国资,600792
17,601011.SH,氢能+石墨烯+煤焦龙头+减亏,601011
33,002791.SZ,雄安建设+光伏支架+建筑五金,002791
22,600228.SH,AI导购+电商零售+毛利率转正,600228
33,002441.SZ,机器人分销+核电中标+工业电气分销,002441
17,601898.SH,煤炭龙头+煤化工+央企,601898
17,600740.SH,焦炭+山西国资,600740
22,600381.SH,,600381
17,601015.SH,煤炭板块+LNG+煤焦化,601015
33,000004.SZ,,000004
22,600238.SH,,600238
33,002810.SZ,纤维素醚+植物胶囊+一体化产业链,002810
17,600683.SH,京津冀规划+TOD轨道物业+北京国资,600683
33,002647.SZ,,002647
33,002970.SZ,无人驾驶+数据中心+越南产能+业绩预增,002970
17,601096.SH,特高压+业绩预增+央企,601096
17,600814.SH,百货零售+间接持股中科宇航+黄金销售+杭州国资,600814
17,600330.SH,铌酸锂晶体+商业航天+光伏概念,600330
17,600481.SH,光伏+空冷+氢能装备,600481
17,603334.SH,SAF原料+生物柴油+农化助剂,603334
17,603598.SH,,603598
33,002355.SZ,无人驾驶+车联网+钢制车轮,002355
17,600546.SH,煤炭+精煤战略+山西国资,600546
33,300393.SZ,钙钛矿+浙江国资+光伏背板,300393
17,688223.SH,马斯克考察+太空光伏,688223
33,000533.SZ,北美变压器+数据中心+核电,000533
33,002506.SZ,太空光伏+钙钛矿电池+TOPCon,002506
17,603291.SH,,603291
33,000039.SZ,商业航天+数据中心+氢能源+海工装备,000039
33,300985.SZ,氢能装备+车载LNG+亏损收窄,300985
33,000723.SZ,煤炭+氢能,000723
33,002306.SZ,ST保壳+光伏+餐饮团膳,002306
22,603021.SH,ST板块+日用玻璃+地下管网,603021
17,600403.SH,煤炭开采+河南国资重组,600403
33,002830.SZ,AI传媒+住宅装饰+粤港澳大湾区,002830
33,002218.SZ,太空光伏+钙钛矿+回购注销,002218
17,603826.SH,钛白粉+珠光材料+低空经济,603826
33,003038.SZ,光伏边框+机器人+飞行汽车,003038
17,600325.SH,房地产+国资定增+冰雪世界,600325
33,000821.SZ,钙钛矿设备+锂电订单新高+北美突破,000821
22,600243.SH,,600243
17,603172.SH,,603172
33,002623.SZ,钙钛矿电池+阿联酋项目+特斯拉,002623
33,002129.SZ,马斯克调研+光伏硅片龙头+BC电池,002129
17,601001.SH,煤炭+潘家窑收购+山西国资,601001
33,300344.SZ,复牌+退市风险+数字云服务,300344
17,600860.SH,氢能储运+机器人+北京国资,600860
17,601699.SH,煤炭概念+喷吹煤龙头+山西国资,601699
33,000983.SZ,煤炭/焦炭+山西国资+炼焦煤龙头,000983
33,301362.SZ,PCB钻针+LED照明+一带一路,301362
33,001223.SZ,PI薄膜+锂电设备+机器人,001223
17,688429.SH,光伏设备+叠栅技术+减亏,688429
33,300912.SZ,拟收购金旺达+具身机器人+尾气后处理,300912
