股票代码,market_code,code,涨停原因类别[20260713]
002491.SZ,33,002491,
605366.SH,17,605366,
002141.SZ,33,002141,
002565.SZ,33,002565,
002158.SZ,33,002158,
001268.SZ,33,001268,
002731.SZ,33,002731,
300475.SZ,33,300475,
000980.SZ,33,000980,
001331.SZ,33,001331,
001313.SZ,33,001313,
001365.SZ,33,001365,
002008.SZ,33,002008,
603115.SH,17,603115,
603065.SH,17,603065,磷化铟衬底+光稳定剂+终止减持
603006.SH,17,603006,
002342.SZ,33,002342,
603660.SH,17,603660,
603488.SH,17,603488,
603316.SH,17,603316,
600520.SH,17,600520,
002931.SZ,33,002931,
001400.SZ,33,001400,
003037.SZ,33,003037,
000004.SZ,37,000004,退市整理期+移动安全+减亏
600664.SH,17,600664,中报预增+化学制药+创新药
002628.SZ,33,002628,
002903.SZ,33,002903,
002388.SZ,33,002388,
600183.SH,17,600183,
603386.SH,17,603386,
601002.SH,17,601002,中报预增+高铁扣件+新能源紧固件
002747.SZ,33,002747,
600783.SH,17,600783,
603986.SH,17,603986,
600984.SH,17,600984,
002297.SZ,33,002297,
600172.SH,17,600172,
001388.SZ,33,001388,电网设备+防冰机器人+高送转
600596.SH,17,600596,
603677.SH,17,603677,机器人+家电零部件+宁波国资
002272.SZ,33,002272,
003020.SZ,33,003020,基药目录新增+精麻药+缓控释制剂
001399.SZ,33,001399,
600501.SH,17,600501,
301307.SZ,33,301307,
002741.SZ,33,002741,
002735.SZ,33,002735,
603020.SH,17,603020,
000823.SZ,33,000823,
603269.SH,17,603269,
000021.SZ,33,000021,
603615.SH,17,603615,
002068.SZ,33,002068,
603120.SH,17,603120,光刻胶+电子化学品+季铵化合物
603355.SH,17,603355,
605399.SH,17,605399,
603002.SH,17,603002,
000070.SZ,33,000070,
600491.SH,22,600491,要约收购+宁波国资+建筑总包+绿色建筑
000989.SZ,33,000989,中报预增+中药+多肽+黑龙江国资
000725.SZ,33,000725,
000026.SZ,33,000026,
002921.SZ,33,002921,
603933.SH,17,603933,人形机器人+半导体分销+拟收购博泰智能
