股票代码,code,涨停原因类别[20260407],market_code
002491.SZ,002491,光纤光缆+数据中心+储能消防,33
002193.SZ,002193,跨境电商+数字化智造+外销回暖+减亏,33
002957.SZ,002957,光模块+半导体设备+精密零部件制造+业绩预增,33
000019.SZ,000019,粮食储备+预制菜+深圳国资,33
600207.SH,600207,,17
600259.SH,600259,稀土涨价+扭亏为盈+央企,17
000638.SZ,000638,,33
600608.SH,600608,,22
600110.SH,600110,固态电池铜箔+HVLP铜箔+高端锂电铜箔,17
000818.SZ,000818,,33
002840.SZ,002840,猪肉+绿色电力,33
600955.SH,600955,环氧丙烷+化工新材料+电解液溶剂,17
300821.SZ,300821,一季度预增+有机硅龙头+新能源应用,33
600227.SH,600227,煤化工+甲醇+尿素,17
002310.SZ,002310,风光电站+重大资产重组+北京国资,33
600743.SH,600743,物业+轻资产转型+国企,17
603327.SH,603327,苹果折叠屏+铝结构件+国企改革,17
002631.SZ,002631,石墨烯+柔性屏+家居,33
603778.SH,603778,异质结光伏+储能+固态电池,17
603348.SH,603348,一体化压铸+特斯拉+两轮车,17
002713.SZ,002713,算力中心+家装AI+重整完成,33
300165.SZ,300165,锂电池+半导体+摘帽,33
603637.SH,603637,控制权拟变更+石化工程+氢能源+地方国企,17
600623.SH,600623,绿色甲醇+氟化工+上海国资,17
002427.SZ,002427,涤纶工业丝+海工装备+扭亏为盈+陕西国资,33
000909.SZ,000909,智慧交通+国企改革+ST博弈,33
603188.SH,603188,染料+资产处置+国企,17
605589.SH,605589,电子材料+光刻胶+硅碳负极+军工材料,17
600488.SH,600488,原料药出口+甾体激素+非理性炒作,17
000830.SZ,000830,磷化工+有机硅+国有控股,33
600654.SH,600654,算力中心+智慧安防+三季报暴增,17
002789.SZ,002789,珠海国资+储能+建筑装饰,33
002980.SZ,002980,光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表,33
000703.SZ,000703,PTA+石油化工+文莱二期,33
002470.SZ,002470,化肥+磷化工+缓控释肥+国企改革,33
600381.SH,600381,,22
000004.SZ,000004,,33
600664.SH,600664,创新药+保健品+仿制药一致性评价,17
605162.SH,605162,热电联产+储能+比亚迪供热+回购,17
002663.SZ,002663,城市运营+华为项目+康养布局,33
600158.SH,600158,体育产业+彩票概念+央企背景,17
002181.SZ,002181,AI营销+全运会IP+广州国资+年报增长,33
002431.SZ,002431,农业+乡村振兴+河南国资,33
605099.SH,605099,足球概念+运动草,17
003042.SZ,003042,草甘膦+农药原药+供销社,33
301630.SZ,301630,PCB概念+电子树脂+国产替代,33
002442.SZ,002442,炭黑+白炭黑+产能扩张,33
002119.SZ,002119,引线框架+半导体封装+10亿扩产+年报增长,33
002037.SZ,002037,民爆+资产注入+央企,33
688287.SH,688287,,22
600596.SH,600596,草甘膦+有机硅+人形机器人,17
603822.SH,603822,生物航煤+扭亏+出口白名单,22
300927.SZ,300927,甲醇下游深加工+丙烯酸项目+南通国资,33
603123.SH,603123,跨境支付+数字货币+百货零售+北京国资,17
002348.SZ,002348,定增募资+潮玩玩具,33
000652.SZ,000652,重大资产重组+资源循环+天津国资,33
002408.SZ,002408,环氧丙烷涨价+甲乙酮龙头+山东国资,33
002207.SZ,002207,,33
002637.SZ,002637,化工板块+表面活性剂+印尼基地,33
002873.SZ,002873,创新药+心脑血管+独家品种,33
000990.SZ,000990,甲醇+氢能源+POE新材料+青岛国资,33
600599.SH,600599,,22
000766.SZ,000766,阿尔茨海默+创新药+临近获批,33
605299.SH,605299,足球概念+体育产业+健身器材+外销,17
000711.SZ,000711,,33
002051.SZ,002051,中东重建+一带一路+算力+央企,33
000890.SZ,000890,光纤概念+钢帘线剥离+环保设备,33
600691.SH,600691,煤化工+氢能装备+山西国资,17
000720.SZ,000720,光缆+电缆+实控人中国华能+央企,33
600370.SH,600370,瓶级聚酯切片+PTA龙头+机器人概念,17
603988.SH,603988,电机+风光电储+黄金,17
300651.SZ,300651,足球概念+体育器材+2025年报预增,33
603002.SH,603002,先进封装+英伟达链+环氧树脂+覆铜板,17
600195.SH,600195,养殖业+动物保健品+央企,17
600470.SH,600470,化肥+精制磷酸+锂电池,17
600527.SH,600527,复合短纤维+涤纶毛条,17
000752.SZ,000752,,33
000586.SZ,000586,光纤+特种光缆+车载电子+定增推进,33
600722.SH,600722,甲醇涨价+风电项目+河北国资,17
