market_code,股票代码,涨停原因类别[20260325],code
33,002491.SZ,光纤光缆+数据中心+储能消防,002491
17,605366.SH,有机硅+含硫硅烷+泰国项目+转债赎回,605366
33,002418.SZ,液冷+算力租赁+家电制冷,002418
33,002309.SZ,光伏储能+钙钛矿电池+厦门国资,002309
33,000753.SZ,福建国资+绿色电力+渔光互补+新型城市服务商,000753
17,600666.SH,算力租赁+年报预增+蓝宝石,600666
17,600345.SH,参股长飞光纤+商业航天+智慧应急+央企,600345
17,603118.SH,800G交换机+机器人代工+业绩预增+唐山国资入主,603118
17,600251.SH,现金分红+番茄制品+新疆国资,600251
17,603179.SH,机器人+特斯拉链+汽车内饰,603179
33,000927.SZ,一带一路+供应链服务+央企,000927
33,002479.SZ,黄金回收+热电联产+绿色电力+南昌国资,002479
33,002485.SZ,实控人变更可能+文旅复苏+供应链物流,002485
17,600726.SH,绿电转型+热电联产+煤炭概念+央企,600726
33,000791.SZ,算电协同+绿电项目+甘肃国资+年报预增,000791
33,002580.SZ,算力储能+山东国资+储能电池,002580
17,600800.SH,丙烯酸酯投产+氢能源+天津国资,600800
33,001316.SZ,低空经济+AI眼镜+业绩预增+可转债,001316
33,000859.SZ,拟收购金张科技+芯片封装膜+合肥国资,000859
17,600982.SH,绿电+光伏+国企,600982
33,002713.SZ,算力中心+家装AI+重整完成,002713
33,002771.SZ,液冷+算力租赁+AI视讯,002771
17,603958.SH,3D打印+消费电子+机器人概念,603958
33,002253.SZ,军工射频+低空经济+空管系统,002253
33,000691.SZ,重整完成+军工导入+精细化工+摘帽预期,000691
33,003043.SZ,储能柜订单+半导体结构件+固态电池设备,003043
33,000601.SZ,算电协同+储能+生物质发电,000601
33,000909.SZ,智慧交通+无人驾驶+国企改革,000909
17,600191.SH,粮食深加工+黄原胶出口+抗性糊精投产+年报预增,600191
22,600136.SH,影视传媒+智慧空间+湖北国资,600136
33,002789.SZ,珠海国资+储能+建筑装饰,002789
33,001400.SZ,液冷服务器+3D打印+商业航天+铝挤压模具,001400
17,600163.SH,绿色电力+渔光互补+抽水蓄能+福建国资,600163
22,600777.SH,,600777
17,600158.SH,体育产业+彩票概念+央企背景,600158
17,600433.SH,氢能材料+特种纸+央企,600433
22,603828.SH,控制权变更+光伏建筑一体化+装配化装修,603828
33,002620.SZ,重整投资人+光伏建筑一体化+建筑装饰,002620
17,601002.SH,高铁扣件+业绩大增+海峡两岸,601002
33,002076.SZ,光伏+LED照明+中标合同+扭亏预期,002076
17,603629.SH,算力租赁+英伟达合作+年报预增,603629
33,000669.SZ,,000669
33,002467.SZ,云网融合基础设施+商业航天+数据中心+AI数字人,002467
17,601016.SH,绿电+储能+央企+定增,601016
17,603938.SH,存储芯片+电子特气+光纤材料,603938
17,600758.SH,煤炭+热电+国企,600758
17,603808.SH,AI应用+多品牌矩阵+高端女装,603808
17,600815.SH,绿色装备+雅鲁藏布江水电+厦门国资,600815
33,000595.SZ,新能源转型+宁夏国资+扭亏为盈,000595
17,600698.SH,兵装重组+涡轮增压+央企,600698
33,300069.SZ,特高压绝缘子+产能扩张+国家电网,300069
33,300245.SZ,超聚变合作+算力+数据库一体机,300245
33,301196.SZ,光纤概念+机器人+精密模具,301196
17,603052.SH,硅光芯片+光模块+消费电子,603052
33,300658.SZ,重组预案+高端互连材料+个护用品,300658
17,603601.SH,SpaceX供货传闻+玻璃微纤维+高效滤材,603601
17,603618.SH,特高压+超薄铜箔+光纤,603618
22,603261.SH,退市博弈+C919配套+航空装备,603261
17,605299.SH,足球概念+体育产业+健身器材+外销,605299
17,603175.SH,AI算力PCB+存储芯片+特斯拉,603175
33,000711.SZ,,000711
33,000592.SZ,福建自贸区+菌草纤维板+林木主业,000592
33,002211.SZ,有机硅+减亏,002211
33,002475.SZ,800G光模块+AI眼镜+汽车Tier1+回购,002475
33,000539.SZ,算电协同+广东国资+电力,000539
17,600152.SH,钠离子电池+定增+消费电子,600152
33,000720.SZ,电缆+光纤+央企,000720
33,000889.SZ,算力销售+5G消息+短信通道,000889
33,002192.SZ,锂矿+负极材料+储能概念+年报增长,002192
17,600527.SH,复合短纤维+涤纶毛条,600527
17,600802.SH,海峡两岸+福建国资+水泥,600802
33,000070.SZ,光纤涨价+CPO+深圳国资,000070
17,601606.SH,兵装重组+弹药装备+扭亏+央企,601606
33,002941.SZ,年报预增+基建+新疆国资,002941
33,001376.SZ,安哥拉电解铝+热电联产+定增修订,001376
17,600780.SH,风电并网+煤电绿电+山西国资,600780
17,603933.SH,人形机器人+芯片分销+拟H股上市,603933
17,601133.SH,半导体洁净室+长鑫合作+海外扩张,601133
33,000978.SZ,扭亏为盈+AI文旅+低空经济+桂林国资,000978
17,603358.SH,,603358
33,002730.SZ,算力租赁+智能矿山+矿用防爆电器,002730
33,002761.SZ,建筑施工+36亿港元中标+浙江国资,002761
22,603429.SH,固态电池+烟草包装+ST摘帽博弈,603429
17,603538.SH,减肥药+创新药+原料药,603538
17,600396.SH,绿电+氢能+央企,600396
17,601869.SH,空芯光纤+算力网络+光模块,601869
33,000722.SZ,水电并购+湖南国资+绿色电力,000722
33,002038.SZ,GLP-1+创新药+硝酸甘油喷雾剂+创投,002038
33,002718.SZ,实控人变更+集成吊顶+智能家居,002718
33,000659.SZ,PET瓶+饮料代工+粤港澳大湾区,000659
22,600238.SH,保壳预期+保健酒+海南国资,600238
33,000690.SZ,绿色电力+电力龙头,000690
17,600539.SH,并购重组+机器视觉+电商服务,600539
33,301419.SZ,CPO+导热散热+扩产,301419
33,002630.SZ,一带一路+超临界锅炉+ST摘帽预期,002630
33,000608.SZ,摘星脱帽预期+商业地产+控制权变更,000608
33,000993.SZ,绿色电力+福建国资+风电试点,000993
33,002058.SZ,固态电池+铝塑膜+ST博弈,002058
33,002902.SZ,800G光模块+AI算力+磁性元器件,002902
17,605168.SH,算力租赁+AI营销+低空经济,605168
17,600032.SH,绿电+氢能+浙江国资,600032
17,603042.SH,光纤概念+光通信,603042
17,603829.SH,电网设备+新能源配电+断路器,603829
33,000639.SZ,玉米油+运动营养+大消费+控制权变更风险,000639
17,600589.SH,算力租赁+IDC+东数西算,600589
33,002214.SZ,红外芯片+商业航天+退市博弈,002214
33,002199.SZ,退市博弈+石英晶体+ST板块,002199
17,601999.SH,教材出版+数据确权+国企改革,601999
33,002528.SZ,深圳国资+智慧城市+ST博弈,002528
