code,股票代码,market_code,涨停原因类别[20260302]
600339,600339.SH,17,油气储运+一带一路+可控核聚变
600236,600236.SH,17,水电高股息+西藏资产收购+央企
600259,600259.SH,17,稀土涨价+扭亏为盈+央企
000638,000638.SZ,33,
600608,600608.SH,22,
000506,000506.SZ,33,黄金+扭亏为盈+国企
603861,603861.SH,17,特高压+算力中心+出海订单
601069,601069.SH,17,金价新高+黄金采选冶+新疆国资
002731,002731.SZ,33,
002485,002485.SZ,33,ST摘帽预期+文旅复苏+供应链物流
600938,600938.SH,17,油价上涨+油气产量增长+央企
600525,600525.SH,22,电网设备+储能中标+新能源合同
600227,600227.SH,17,甲醇+化工+煤炭+化肥
300139,300139.SZ,33,黄金避险+非洲金矿+业绩预增
002356,002356.SZ,33,氢能源+天然气+年报扭亏
603950,603950.SH,17,玉柴合作+柴油发动机+新能源汽车+业绩预增
000968,000968.SZ,33,煤层气+山西国资
603619,603619.SH,17,油气开采及服务+伊拉克中标+民营龙头
600714,600714.SH,17,锶盐+小金属+青海国资
600082,600082.SH,17,
603115,603115.SH,17,AI服务器+储能电极箔+股权激励
601857,601857.SH,17,油气龙头+地缘冲突+央企增持
600256,600256.SH,17,油气开发+化工+煤炭
002536,002536.SZ,33,液冷服务器+机器人+汽车热管理
002155,002155.SZ,33,黄金+钨锑涨价+拟资产重组+湖南国资
603488,603488.SH,17,军工仿真+电梯门系统+VR/XR
002843,002843.SZ,33,数据中心电源+商业航天+锯切龙头
600583,600583.SH,17,卡塔尔40亿订单+深海装备+央企
002413,002413.SZ,33,军工电子+商业航天+存储芯片
000609,000609.SZ,33,
601808,601808.SH,17,油价跳涨+油服龙头+央企
301213,301213.SZ,33,拟收购辽晶电子+军工AI+商业航天
000960,000960.SZ,33,铟资源+锡全产业链+云南国资
001337,001337.SZ,33,黄金涨价+金精矿+四川国资
002980,002980.SZ,33,电网设备+AI眼镜+仪器仪表
300191,300191.SZ,33,涠洲5-3油田+业绩预增+油气开采
001400,001400.SZ,33,商业航天+3D打印+液冷+铝挤压模具
002380,002380.SZ,33,电力物联网+机器人+工业AI
600777,600777.SH,22,美国页岩油+诉讼撤诉+ST板块
000004,000004.SZ,33,
002620,002620.SZ,33,
600481,600481.SH,17,
600452,600452.SH,17,电力+配电网节能+央企背景
603629,603629.SH,17,算力租赁+年报预增+英伟达合作
301302,301302.SZ,33,军工AI+军事大模型+军事仿真
000793,000793.SZ,33,
601975,601975.SH,17,油运+央企
002490,002490.SZ,33,油气装备+中东订单+扭亏+国资背景
600871,600871.SH,17,油服工程+海外大单+CCUS+央企
600367,600367.SH,17,碳酸钡+固态电池+青岛国资
301338,301338.SZ,33,CPO+PCB概念+业绩高增
603083,603083.SH,17,1.6T光模块+800G放量+CPO布局+北美扩产
000697,000697.SZ,33,无人机+航空发动机+重整完成+四川国资
600537,600537.SH,17,
300157,300157.SZ,33,油气+绿氢氨+压缩机+扭亏
002943,002943.SZ,33,
002855,002855.SZ,33,
000035,000035.SZ,33,绿色甲醇+越南扩建+氢能
002207,002207.SZ,33,油气服务+新疆国资
603318,603318.SH,17,燃气运营+氢能源+山东国资
002040,002040.SZ,33,航运涨价+原油中转+江苏国资
000096,000096.SZ,33,成品油+化工贸易+增持妈湾电力+深圳国资
300084,300084.SZ,33,油气设备+军工+股权转让
603393,603393.SH,17,油气全产业链+资源扩张
600759,600759.SH,17,油气开采+哈萨克斯坦油田
300164,300164.SZ,33,油气+北美巨头合作+射孔技术
600108,600108.SH,17,玉米种子+土地流转+甘肃国资
600435,600435.SH,17,军工制导+央企
000890,000890.SZ,33,光纤概念+钢帘线剥离+环保设备
600355,600355.SH,22,
603011,603011.SH,17,可控核聚变+军工装备+高端成形机床
000554,000554.SZ,33,地缘冲突+油气+新能源转型+央企回购
000908,000908.SZ,33,
002717,002717.SZ,33,
000070,000070.SZ,33,光纤光缆+CPO+商业航天+深圳国资
600722,600722.SH,17,甲醇+风电+河北国资
688307,688307.SH,17,光刻机滤光片+智慧安防+业绩高增
000912,000912.SZ,33,化工+绿色化学品+国企
000637,000637.SZ,33,石化+广东国资+碳中和
002629,002629.SZ,33,油气涨价+光伏EPC+改性材料
001267,001267.SZ,33,CPO硅光模块+鄂州投产+业绩预增
600696,600696.SH,22,
600968,600968.SH,17,油服工程+氢能突破+央企油服
603897,603897.SH,17,电磁线+机器人+新能源
603272,603272.SH,17,
600989,600989.SH,17,煤制烯烃+绿氢耦合+业绩预增
605117,605117.SH,17,工商储逆变器+AI投资+海外扩张
003009,003009.SZ,33,军工装备+小型制导火箭+央企
603838,603838.SH,22,锆钛矿+陶瓷+摘帽预期
000510,000510.SZ,33,钽铌锡矿复产+有色金属+氯碱龙头
603353,603353.SH,17,成品油+铜官油库+拟收购奎芯+超快充
001209,001209.SZ,33,
920088,920088.BJ,151,油服+新疆油田
600498,600498.SH,17,光纤涨价+商业航天+华为算力+央企
002554,002554.SZ,33,油气EPC+天津国资+油气服务
002667,002667.SZ,33,钨锡铅锌+郴州锂矿+控制权变更
600026,600026.SH,17,VLCC运价飙升+油运龙头+央企
600301,600301.SH,17,小金属+锡锑锌铟+国企改革
002842,002842.SZ,33,钨价上涨+光伏钨丝+年报预增
002630,002630.SZ,33,
000608,000608.SZ,33,
601872,601872.SH,17,VLCC油运+业绩预增+央企
603268,603268.SH,22,VLCC订单+船舶制造+业绩预增
600688,600688.SH,17,石油化工+航运+央企
600988,600988.SH,17,黄金避险+业绩预增+资源扩张
002828,002828.SZ,33,油气开采+海外权益
000826,000826.SZ,33,
002389,002389.SZ,33,无人机军贸+中东冲突+央企
603738,603738.SH,17,CPO+AI算力+石英晶振
002109,002109.SZ,33,甲醇+煤化工+陕西国资
002432,002432.SZ,33,创投+CGM上市+四联检FDA+回购注销
603257,603257.SH,17,铜冶炼+AI智能体+海外订单+有色金属
603727,603727.SH,17,FPSO订单+南美市场+油气开采
002545,002545.SZ,33,钾肥涨价+特高压中标+粮食概念
301158,301158.SZ,33,油气装备+订单饱满+海外拓展
