market_code,股票代码,涨停原因类别[20260703],code
17,601177.SH,人形机器人+齿轮箱龙头+杭州国资,601177
33,002249.SZ,具身智能+机器人电机+新能源汽车电机+电机龙头,002249
17,600769.SH,存算基地+供水+武汉国资,600769
33,002283.SZ,机器人+大缸径曲轴+重卡曲轴龙头,002283
33,002396.SZ,数据中心交换机+业绩预增+福建国资,002396
33,002598.SZ,机器人+PCB概念+国企改革,002598
33,002850.SZ,人形机器人+锂电池结构件+特斯拉,002850
33,002168.SZ,生物医药+预重整+ST板块+奥利司他胶囊,002168
33,002896.SZ,人形机器人+精密减速器+海外布局,002896
22,603922.SH,控制权变更预期+汽车零部件+一季报增长+ST板块,603922
17,601678.SH,,601678
17,603733.SH,,603733
33,002305.SZ,摘帽预期+扭亏为盈+城市运营+央企,002305
22,603378.SH,ST板块+建筑涂料+超跌反弹,603378
33,002472.SZ,机器人+减速器+新能源齿轮,002472
17,603137.SH,拟收购存储公司+复牌+建筑幕墙,603137
33,002122.SZ,人形机器人+ST摘帽+数据服务,002122
22,600759.SH,ST板块+油气开采+控制权变更预期,600759
33,002292.SZ,半年报预增+IP经济+股份回购,002292
33,001306.SZ,人形机器人+行星滚柱丝杠+精密减速机,001306
17,600530.SH,保健品+宠物经济+增持,600530
17,603303.SH,车载照明+汽车电子+收购嘉利股份,603303
22,600624.SH,摘帽预期+医药+上海国资,600624
17,600707.SH,,600707
33,000711.SZ,ITO靶材投产+铟资源循环+ST板块,000711
33,000975.SZ,黄金+业绩预增+山东国资,000975
33,003021.SZ,人形机器人+灵巧手+精密驱动+H股回购,003021
33,000592.SZ,,000592
33,001270.SZ,商业航天+相控阵T/R芯片+摘帽,001270
33,002726.SZ,ST板块+下修转股价+猪肉,002726
33,000890.SZ,,000890
17,603596.SH,人形机器人+EMB量产+智能底盘,603596
33,300580.SZ,人形机器人+工业母机,300580
17,600630.SH,,600630
33,000908.SZ,石药入主+创新药+摘帽更名+一季报扭亏,000908
17,605580.SH,,605580
22,601010.SH,ST板块+回购注销+航天科技+零售,601010
33,002717.SZ,面值退市博弈+ST板块新规+生态文旅+中山国资,002717
151,920211.BJ,机器人+驱控一体+次新股,920211
33,002148.SZ,中报扭亏+物联网+手机游戏,002148
17,600143.SH,间接持股宇树科技+改性塑料+机器人材料,600143
