market_code,code,股票代码,涨停原因类别[20260320]
33,000004,000004.SZ,
33,000020,000020.SZ,深圳旧改+液晶显示+物业经营
33,000509,000509.SZ,工业母机+双碳+湖北国资
33,000601,000601.SZ,算电协同+储能+生物质发电
33,000638,000638.SZ,退市博弈+军工+粮食
33,000669,000669.SZ,重整预期+天然气+ST板块
33,000677,000677.SZ,低空经济+航空发动机+帘子布+军工材料
33,000862,000862.SZ,风电技改+绿电直连+资产注入+央企
33,000908,000908.SZ,石药入主+摘星申请+创新药
33,001270,001270.SZ,
33,001283,001283.SZ,储能+机器人+AI端侧+预增
33,002109,002109.SZ,
33,002150,002150.SZ,光伏设备+储能一体机+外销
33,002165,002165.SZ,
33,002199,002199.SZ,
33,002208,002208.SZ,
33,002256,002256.SZ,盐湖提锂+业绩预增+光伏+精细化工
33,002309,002309.SZ,钙钛矿电池+厦门国资+光伏储能
33,002310,002310.SZ,重大资产重组+风光电站+资产注入预期+北京国资
33,002428,002428.SZ,光纤级锗产品+商业航天+锗晶片+磷化铟
33,002470,002470.SZ,
33,002485,002485.SZ,
33,002528,002528.SZ,
33,002565,002565.SZ,
33,002731,002731.SZ,
33,002808,002808.SZ,
33,002816,002816.SZ,
33,300827,300827.SZ,光伏设备+储能PCS龙头+一带一路+定增落地
33,301658,301658.SZ,储能+光伏逆变器+全球化布局
17,600310,600310.SH,电力+绿色电力+广西国资
22,600355,600355.SH,退市博弈+缝制数控+智能电网
17,600370,600370.SH,
22,600381,600381.SH,退市博弈+高端白酒+中药大健康
17,600396,600396.SH,绿电+氢能+央企
17,600604,600604.SH,创投+数智园区+上海国资
22,600608,600608.SH,花卉转型+扭亏预告+昆明国资
17,600617,600617.SH,天然气+山西管网+山西国资
22,600636,600636.SH,
17,600683,600683.SH,拟剥离地产+北京国资+TOD轨道物业
17,600691,600691.SH,
22,600696,600696.SH,退市博弈+酱香型白酒
17,600722,600722.SH,
17,600726,600726.SH,绿电转型+热电联产+煤炭概念+央企
17,603026,603026.SH,H股上市+宁德时代+电解液
17,603165,603165.SH,间接投资宇树科技+芯片+再生纸+高股息
17,603322,603322.SH,
17,603353,603353.SH,
17,603381,603381.SH,越南满产+人形机器人+光伏边框+储能
22,603398,603398.SH,光伏硅片+预重整+退市博弈
17,603527,603527.SH,
17,603538,603538.SH,减肥药+特色原料药+集采中选+业绩预增
22,603580,603580.SH,退市博弈+轻型输送带+两岸融合
17,603629,603629.SH,
17,603687,603687.SH,拟投GPU+钙钛矿设备+参股曲速科技+纸包装
17,603778,603778.SH,异质结光伏+储能+固态电池
22,603813,603813.SH,超跌反弹+氢能物流+电商物流
22,603843,603843.SH,算力租赁+重整进展+基建转型
17,603949,603949.SH,
17,605050,605050.SH,人形机器人+汽车轻量化+汽车板材
22,605081,605081.SH,
17,605099,605099.SH,足球概念+运动草
17,605299,605299.SH,足球概念+体育产业+回购注销
