股票代码,code,涨停原因类别[20260306],market_code
000833.SZ,000833,硫铁矿+光伏银粉+业绩预增+广东国资,33
600599.SH,600599,,22
301205.SZ,301205,高速光模块+CPO+外销,33
000638.SZ,000638,退市风险博弈+军工+粮食,33
603269.SH,603269,数据中心+冷却塔+核电,17
603880.SH,603880,创可贴龙头+一带一路+医疗耗材,17
600108.SH,600108,粮食概念+玉米种子+土地流转+甘肃国资,17
603063.SH,603063,氢能+储能+风电,17
001326.SZ,001326,机器人轴承+LED灯具+北美植物照明+储能,33
000545.SZ,000545,钛白粉+减产+重组预期,33
000677.SZ,000677,低空经济+军工材料+帘子布,33
000818.SZ,000818,算力租赁+800G光模块+化工+武汉国资,33
601616.SH,601616,电网设备+变压器+数据中心,17
002731.SZ,002731,黄金+锂盐+ST板块,33
600319.SH,600319,PVDC+烧碱+潍坊国资+重大资产重组,17
000720.SZ,000720,电网设备+央企,33
301218.SZ,301218,智能电网+智慧城市+控制权变更,33
601868.SH,601868,算电协同+央企,17
600355.SH,600355,,22
605286.SH,605286,算电协同+储能中标+电梯部件,17
600676.SH,600676,资产置换+上海国资+汽车拆解+物流,17
605399.SH,605399,功能性硅烷+气凝胶+产能释放,17
600227.SH,600227,甲醇+尿素+化肥+煤炭,17
000908.SZ,000908,重整除权+创新药CDMO+合成生物,33
000516.SZ,000516,脑机接口+质子中心+银发经济+民营医院,33
600397.SH,600397,定增收购钨钽资产+磁选设备+江西国资,17
600470.SH,600470,磷化工涨价+精制磷酸+化肥,17
301032.SZ,301032,非道路柴油机+农机+一带一路,33
002717.SZ,002717,国资控股+生态文旅+ST板块,33
688176.SH,688176,希维她上市+APL-1702获批+创新药商业化,17
002165.SZ,002165,环氧丙烷+技改试产+硬泡聚醚,33
000752.SZ,000752,拟全资控股拉萨啤酒+ST重整+业绩预增,33
603778.SH,603778,固态电池+异质结光伏+AI新公司,17
600722.SH,600722,甲醇+风电项目+河北国资,17
002713.SZ,002713,重整完成+算力中心+家装AI,33
002496.SZ,002496,股权转让+氢能源+农药,33
600075.SH,600075,烧碱+PVC+兵团国资,17
000488.SZ,000488,浆纸一体化+复工复产+山东国资,33
002809.SZ,002809,环氧丙烷+化工+混凝土外加剂,33
000601.SZ,000601,电力+生物质发电+抽水蓄能,33
301265.SZ,301265,存储芯片+固废处理+海南自贸港,33
601567.SH,601567,智能电网+荷兰9.49亿订单+康复连锁,17
002843.SZ,002843,数据中心电源+商业航天+锯切龙头,33
002448.SZ,002448,氢能源+人形机器人+气缸套,33
600545.SH,600545,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销,17
600354.SH,600354,种业+转基因+甘肃国资,17
000609.SZ,000609,房地产+创投+半导体背景,33
603316.SH,603316,存储芯片+企业级SSD+定增扩产,17
605268.SH,605268,安全门锁+数据要素+智能制造+华为概念,17
603813.SH,603813,氢能物流+电商物流+ST博弈,22
600396.SH,600396,电力+绿色电力+央企,17
000534.SZ,000534,燃气轮机零部件+低空经济+航空发动机,33
603158.SH,603158,氢能源+液冷服务器+新能源车热管理,17
002227.SZ,002227,超充网络+特高压+储能微电网,33
601789.SH,601789,算力租赁+宁波国资整合+房屋建设,17
603838.SH,603838,锆钛矿+陶瓷+摘星预期,22
002470.SZ,002470,化肥涨价+磷矿建设+缓控释肥,33
002063.SZ,002063,虚拟电厂+AI应用+智慧能源+央企,33
603097.SH,603097,北美变压器+军工电源+输配电设备,17
001400.SZ,001400,商业航天+3D打印+液冷+铝挤压模具,33
002015.SZ,002015,算电协同+虚拟电厂+分布式光伏,33
603716.SH,603716,脑机接口+AI医疗+SPD,17
002961.SZ,002961,期货经纪+资管高增长+两岸地缘,33
000004.SZ,000004,,33
600645.SH,600645,CAR-T+精准医疗+干细胞新药,17
002667.SZ,002667,控制权变更+碳酸锂+钨锡铅锌+郴州锂矿,33
002512.SZ,002512,,33
600590.SH,600590,氢能源+军工电源+扭亏为盈,17
001696.SZ,001696,无人机+商业航天+业绩高增+氢能源,33
600821.SH,600821,算电协同+绿电+天津国资,17
003023.SZ,003023,电热毯龙头+母婴驱蚊+露营经济+AI营销,33
002261.SZ,002261,华为昇腾+AI算力+鸿蒙+扭亏,33
000669.SZ,000669,,33
000533.SZ,000533,干式变压器+北美出口+算力基建,33
002506.SZ,002506,TOPCon电池+储能系统+光伏组件,33
002913.SZ,002913,AI服务器+可转债扩产+汽车电子,33
002849.SZ,002849,智能燃气+智慧厨房+物联网,33
600825.SH,600825,阶跃星辰（已澄清）+AI语料+上海国资+图书发行,17
600193.SH,600193,退市风险缓解+建筑装饰+算力,22
603021.SH,603021,ST退市博弈+日用玻璃+轻量化技术,22
603285.SH,603285,漆包线漆涂料+锂电材料+环保助剂+回购完成,17
002498.SZ,002498,特高压+电网设备+海上风电,33
002648.SZ,002648,POE新材料+氢能+化工+液冷冷却液,33
000509.SZ,000509,工业母机+面板+双碳+湖北国资,33
002478.SZ,002478,HRSG满产（用于燃机）+特材投产+核电管材,33
600482.SH,600482,燃机(暂未应用数据中心)+氢能源+军工舰船动力+央企,17
001216.SZ,001216,定增注册+越南基地+日用陶瓷+陶瓷新材料,33
301638.SZ,301638,算电协同+数字电网+央企,33
000815.SZ,000815,东数西算+算电协同+扭亏为盈+央企,33
600761.SH,600761,氢能源+工程机械+智能物流+国企改革,17
001896.SZ,001896,参股算力+火电+绿电储备+河南国资,33
002528.SZ,002528,深圳国资+智慧城市+减亏预期,33
002637.SZ,002637,化工板块+表面活性剂+印尼基地,33
