股票代码,code,涨停原因类别[20260213],market_code
000004.SZ,000004,地天板+AI大模型+鸿蒙安全+移动安全,33
000021.SZ,000021,存储芯片+先进封装+央企,33
000070.SZ,000070,,33
000488.SZ,000488,浆纸一体化+复工复产+山东国资,33
000609.SZ,000609,半导体的人来了+房地产+创投,33
000638.SZ,000638,军工+粮食+退市博弈,33
000669.SZ,000669,预重整+天然气+扭亏,33
000711.SZ,000711,金属铟+ITO靶材+鑫联科技注入,33
000798.SZ,000798,远洋渔业+扭亏为盈+央企,33
000821.SZ,000821,钙钛矿设备+锂电订单+北美突破,33
000839.SZ,000839,内容审核+AI数据标注+央企背景,33
000859.SZ,000859,光刻胶+拟收购金张科技+合肥国资,33
000890.SZ,000890,钢帘线+环保设备+重大资产出售,33
000892.SZ,000892,,33
001270.SZ,001270,商业航天+T/R芯片+扭亏为盈,33
001896.SZ,001896,参股算力+绿电储备+火电+河南国资,33
002009.SZ,002009,人形机器人+银河通用+工业场景落地,33
002169.SZ,002169,高压储能+10亿订单+参投粤芯半导体+业绩预计扭亏,33
002289.SZ,002289,IDC并购+液晶显示+ST板块,33
002323.SZ,002323,,33
002342.SZ,002342,,33
002355.SZ,002355,无人驾驶+车联网+低空经济+钢制车轮,33
002491.SZ,002491,,33
002498.SZ,002498,特高压+海上风电+电网设备,33
002510.SZ,002510,资产重组+东实股份+汽车模具+国企,33
002592.SZ,002592,业绩预增+汽车热管理+新能源基地,33
002647.SZ,002647,AI算力+第三方支付+扭亏为盈+摘帽预期,33
002703.SZ,002703,线控转向+L3自动驾驶,33
002713.SZ,002713,算力中心+重整完成+家装AI,33
002731.SZ,002731,,33
002843.SZ,002843,数据中心电源+商业航天+合金钢带,33
002951.SZ,002951,超级电容+储能系统+间接投资光纤公司,33
002957.SZ,002957,,33
002969.SZ,002969,,33
300344.SZ,300344,,33
300449.SZ,300449,数字水印+智算服务+重大资产重组,33
300719.SZ,300719,国产大飞机+eVTOL订单+定增获批,33
300812.SZ,300812,CPO+先进封装+年报扭亏,33
600355.SH,600355,,22
600410.SH,600410,AI算力+AI应用,17
600481.SH,600481,,17
600545.SH,600545,,17
600599.SH,600599,,22
600629.SH,600629,上海微电子相关+工程设计+浦东机场T3+上海国资,17
600791.SH,600791,地产开发+京津冀规划+北京国资,17
600893.SH,600893,航空发动机+低空经济+AES100订单+军工央企,17
600984.SH,600984,工程机械+煤矿智能开采+一带一路+陕西国资,17
601777.SH,601777,荣耀前CEO赵明加盟+智驾L3+Robotaxi+整车出口,17
601890.SH,601890,深远海系泊+锚链+全球最大链条生产企业,17
603021.SH,603021,日用玻璃+地下管网+跨境电商,22
603163.SH,603163,半导体洁净室+东南亚布局+在手订单,17
603268.SH,603268,VLCC大单+船舶制造+业绩预增,22
603331.SH,603331,银河通用合作+人形机器人+汽车零部件,17
603466.SH,603466,字节概念+数字体验+商业航天+人形机器人,17
603533.SH,603533,AI短剧+字节概念+数字阅读,17
603618.SH,603618,,17
603960.SH,603960,机器人+AI应用+汽车电子,17
603980.SH,603980,,17
605007.SH,605007,造纸+格拉辛纸投产,17
605033.SH,605033,农药制剂+原药一体化+西部大开发,17
605287.SH,605287,,17
605289.SH,605289,算力订单+液冷服务器+风电EPC,17
