market_code,code,股票代码,涨停原因类别[20260605]
33,000010,000010.SZ,庭外重组+一季报扭亏+建筑工程
33,000056,000056.SZ,债务化解+功率半导体+物业管理
33,000078,000078.SZ,创新药+医药全产业链+ST板块
33,000504,000504.SZ,
33,000517,000517.SZ,房地产开发+长三角深耕+以旧换新
33,000520,000520.SZ,干散货航运+镍矿运输+一季度扭亏
33,000539,000539.SZ,
33,000608,000608.SZ,商业地产+成立数字科技公司+已摘帽
33,000609,000609.SZ,拟收购北京天微100%股权+控股股东财务资助+半导体封测
33,000668,000668.SZ,房地产去化+跨境物流+摘帽
33,000759,000759.SZ,零售+AI智能超市+武汉国资
33,001256,001256.SZ,包装印刷+新品发布+一季报增
33,001299,001299.SZ,
33,001400,001400.SZ,商业航天+3D打印液冷+铝挤压模具+一季报增长
33,001896,001896.SZ,
33,002138,002138.SZ,元件+AI电感+钽电容+垂直供电
33,002183,002183.SZ,英特尔合作+AI算力+存储芯片+深圳国资
33,002194,002194.SZ,商业航天+6G预研+射频器件
33,002251,002251.SZ,线上零售+胖东来调改+营收增长
33,002254,002254.SZ,光纤+芳纶涂覆+半固态电池+国企
33,002329,002329.SZ,
33,002354,002354.SZ,物理AI+具身智能+算力租赁+AI应用
33,002361,002361.SZ,商业航天+聚酯树脂+芜湖国资
33,002387,002387.SZ,ViP技术+AMOLED+合肥国资
33,002421,002421.SZ,AI Agent 2.0+AIoT平台+液冷
33,002471,002471.SZ,中标电力电缆项目+商业航天+高温合金
33,002613,002613.SZ,玻璃深加工+钙钛矿设备+建筑节能
33,002631,002631.SZ,柔性屏+石墨烯+亏损收窄
33,002694,002694.SZ,塑料管道+智慧管网+*ST板块
33,002708,002708.SZ,机器人+关节模组+拟收购PCB标的+地方国资
33,002717,002717.SZ,罚单落地+面值退市博弈+生态文旅+ST板块
33,002786,002786.SZ,半导体封装+总经理增持+中央汇金
33,002856,002856.SZ,庭外重组+建筑装饰+佛山国资
33,002877,002877.SZ,智能控制阀+新能源+一季报增长
33,002892,002892.SZ,机器人+伺服系统+定增
33,002896,002896.SZ,人形机器人+精密减速器+海外布局
33,002903,002903.SZ,机器人+工业母机+消费电子+汽车零部件
33,002951,002951.SZ,
33,002960,002960.SZ,消防机器人+人形机器人+更名
33,002969,002969.SZ,
33,002983,002983.SZ,MiniLED+AI眼镜+华为供应链
33,003009,003009.SZ,商业航天+小型制导火箭+一季度扭亏+央企
33,003033,003033.SZ,
33,003036,003036.SZ,电子布纺织机+纺织机器人+固态电池+高端纺机
33,300052,300052.SZ,算力租赁+游戏+资产注入预期+摘帽
33,300162,300162.SZ,玻璃基面板+商业航天+Micro LED
33,300334,300334.SZ,膜技术+工业水处理+一季报增长
33,300353,300353.SZ,人形机器人+参股高威科+工业操作系统
33,300626,300626.SZ,机器人+换向器+地方国企+控股股东股权转让
33,301151,301151.SZ,液冷服务器+雅江工程+节水阀门
33,301193,301193.SZ,股权激励+3D打印耗材+可降解塑料
17,600063,600063.SH,MLCC树脂+百亿项目+PVA龙头+国企改革
22,600180,600180.SH,
17,600207,600207.SH,光伏玻璃+拟控股弘诺玻璃+河南国资
22,600228,600228.SH,摘帽申请+AI导购+效果营销
22,600243,600243.SH,减速器+电梯配件+公积金弥补亏损+ST板块
22,600265,600265.SH,
17,600293,600293.SH,电子玻璃+高端玻璃转型+硅材料基地+宜昌国资
17,600303,600303.SH,燃料电池客车+海外拓展+军工
17,600310,600310.SH,
17,600382,600382.SH,铁精粉扩产+尾矿回收钨锡+业绩补偿推进
17,600403,600403.SH,焦煤期货大涨+煤炭开采+河南国资
17,600516,600516.SH,石墨电极+电池材料+核电石墨
17,600552,600552.SH,超薄柔性玻璃UTG+纳米钛酸钡+商业航天+央企
17,600714,600714.SH,液晶玻璃基板上游+锶盐+天青石矿+国家电投入主
17,600726,600726.SH,
22,600730,600730.SH,
17,600776,600776.SH,商业航天+AI智能体+央企
17,600819,600819.SH,TCO玻璃+钙钛矿+上海国资
17,600881,600881.SH,创新药+长春国资+拟出售东北证券股权
17,600973,600973.SH,高速线缆+售电业务+可控核聚变+央企
17,600996,600996.SH,算力+广电5G+贵州国资
17,603020,603020.SH,收购进展+香精香料+一季度增长
17,603048,603048.SH,关注机器人行业+汽车零部件+业绩增长
17,603070,603070.SH,AI数据中心+电气机柜+分红
17,603078,603078.SH,湿电子化学品+光刻胶+存储芯片+国资入主
17,603124,603124.SH,股权激励+液冷散热+铜基新材料+一季报增长
