code,涨停原因类别[20260626],market_code,股票代码
000056,功率半导体+债务化解预期+亏损收窄,33,000056.SZ
000070,,33,000070.SZ
000566,,33,000566.SZ
000609,债务和解+拟收购北京天微+半导体封测,33,000609.SZ
000620,存储芯片+封装测试+战略转型,33,000620.SZ
000711,,33,000711.SZ
000752,,33,000752.SZ
000766,,33,000766.SZ
000823,转债摘牌+PCB+覆铜板+算力硬件,33,000823.SZ
000826,,33,000826.SZ
000838,控制权拟变更+房地产+环保+ST板块,33,000838.SZ
000859,,33,000859.SZ
001210,成功竞拍+数据中心供冷+综合能源服务+新能源供热,33,001210.SZ
001215,预制菜+对外投资+一季报增长,33,001215.SZ
001267,,33,001267.SZ
001270,商业航天+相控阵T/R芯片+卫星通信+摘帽,33,001270.SZ
001289,风电+分红+央企,33,001289.SZ
001389,算力PCB+拟60亿投建总部+可转债预案,33,001389.SZ
001400,3D打印+商业航天+液冷服务器+铝挤压模具,33,001400.SZ
002083,,33,002083.SZ
002106,玻璃基板封装+MED电子纸+触摸屏龙头,33,002106.SZ
002119,半导体封装材料+引线框架+产能满产+回购,33,002119.SZ
002129,半导体硅片+光伏硅片,33,002129.SZ
002141,PCB上游+覆铜板+盐湖提锂参股,33,002141.SZ
002180,集成电路设计+机器人+打印机+券商看好,33,002180.SZ
002192,,33,002192.SZ
002194,,33,002194.SZ
002217,,33,002217.SZ
002253,摘帽+复牌+低空经济+军工射频,33,002253.SZ
002263,,33,002263.SZ
002307,,33,002307.SZ
002354,具身智能数据集+3D视觉+算力租赁+AI营销,33,002354.SZ
002360,,33,002360.SZ
002497,,33,002497.SZ
002514,,33,002514.SZ
002538,磷矿采矿权+工行战略合作+ST摘牌预期,33,002538.SZ
002559,参股半导体检测公司+工业母机+机器人+海外并购,33,002559.SZ
002568,中报预增+预调鸡尾酒+威士忌,33,002568.SZ
002580,,33,002580.SZ
002667,,33,002667.SZ
002674,磷化铟收购+机器人电子皮肤+汽车内饰皮革,33,002674.SZ
002713,算力产业+摘帽预期+增资+家装,33,002713.SZ
002726,,33,002726.SZ
002789,,33,002789.SZ
002816,半导体设备+机器人线束+颖泉国资,33,002816.SZ
002822,申请撤销ST+物业管理+固废资源化,33,002822.SZ
002903,,33,002903.SZ
002910,乳业龙头+甘肃国资,33,002910.SZ
002930,长兴半导体+存储+石化仓储+转债兑付,33,002930.SZ
002962,TGV产品+光学光电子+AR/VR,33,002962.SZ
002965,收购酷尔芯+液冷服务器+人形机器人,33,002965.SZ
003033,人形机器人+灵巧手+链传动龙头+张雪机车合作,33,003033.SZ
300162,玻璃基Micro LED+先进封装+LED超高清显,33,300162.SZ
300264,音视频软件+《仙剑奇侠传》IP+MR,33,300264.SZ
300540,商业航天+氦气+空分装置中标+业绩增长,33,300540.SZ
301051,玻璃盖板+储能调频+双主业+中标,33,301051.SZ
301349,光纤概念+负极包覆材料+碳纤维,33,301349.SZ
600118,商业航天+卫星+央企+一季度营收增,17,600118.SH
600152,,17,600152.SH
600180,庭外重组+海外煤炭+代加工业务,22,600180.SH
600228,控制权变更+复牌+摘帽+在线导购,17,600228.SH
600343,商业航天+氢能+航天央企,17,600343.SH
600345,,17,600345.SH
600367,玻璃基板上游+MLCC上游+碳酸锶+青岛国资,17,600367.SH
600381,,22,600381.SH
600481,硅片+光伏+液冷服务器,17,600481.SH
600498,,17,600498.SH
600522,,17,600522.SH
600539,拟收购利珀科技+半导体封装+机器视觉+AI应用,17,600539.SH
600545,电子布设备+华为合作+纺织机械,17,600545.SH
600552,玻璃基板TGV+有色锆+超薄柔性玻璃UTG,17,600552.SH
600568,股权转让+大健康+房地产,22,600568.SH
600708,,17,600708.SH
600724,,17,600724.SH
600730,先进封装+半导体封测+教育,22,600730.SH
600745,安世半导体控制权诉讼+半导体+先进封装,22,600745.SH
600776,,17,600776.SH
600851,,17,600851.SH
600962,半导体工程+并购重组+浓缩果汁+央企,17,600962.SH
601016,绿色电力+储能+风电,17,601016.SH
601133,半导体洁净室+OLED洁净室+订单新高+存储芯片,17,601133.SH
601369,压缩空气储能+透平机械+国企改革,17,601369.SH
601799,,17,601799.SH
603031,,17,603031.SH
603155,半导体材料+高纯四氯化硅+光纤概念+锂电池,17,603155.SH
603159,,17,603159.SH
603163,可转债申请通过+半导体洁净室+东南亚PCB,17,603163.SH
603194,机器人+数智物流项目+股东减持落地,17,603194.SH
603201,,17,603201.SH
603261,航空装备+低空经济+摘帽,17,603261.SH
603270,半导体散热片+关节模组+人形机器人+精密冲压,17,603270.SH
603272,,22,603272.SH
603296,,17,603296.SH
603316,,17,603316.SH
603327,,17,603327.SH
603377,预重整进展+董事会换届+智能驾培,22,603377.SH
603399,,17,603399.SH
603429,,22,603429.SH
603595,一季报增长+碳化硅+消费电子,22,603595.SH
603629,,17,603629.SH
603650,光刻胶树脂+H股上市,17,603650.SH
603687,GPU投资进展+钙钛矿设备+纸包装,17,603687.SH
603698,实控人航天科技+绿氢工程+煤气化+央企,17,603698.SH
603722,COC放量+半导体材料+特种高耐热树脂+航空航天,17,603722.SH
603822,,22,603822.SH
603861,AIDC直流配电+变压器出海+电网设备,17,603861.SH
603903,芯长征入主+功率半导体+污水处理+一季报扭亏,17,603903.SH
603928,铸造树脂+光刻胶+业绩增长,17,603928.SH
603956,液冷泵+六张网建设+智慧水务,17,603956.SH
603977,钽铌涨价+小型固体火箭+江西国资,17,603977.SH
605296,猪肉+产能调控+全产业链+成本优势,17,605296.SH
605336,,22,605336.SH
605366,光纤概念+高纯四氯化硅+含硫硅烷+券商推荐,17,605366.SH
605399,功能性硅烷+气凝胶+产能释放+回购注销,17,605399.SH
688409,半导体设备+一季报扭亏,17,688409.SH
688432,半导体硅片+硅片涨价预期+拟收购晶隆半导体,17,688432.SH
688596,碳化硅陶瓷+半导体设备+订单增长,17,688596.SH
