code,涨停原因类别[20260303],market_code,股票代码
002491,光纤光缆涨价受益+数据中心+储能消防,33,002491.SZ
002957,半导体设备+光模块+AI眼镜+低空经济,33,002957.SZ
600339,油气储运+一带一路+可控核聚变,17,600339.SH
000426,,33,000426.SZ
600360,,22,600360.SH
002149,,33,002149.SZ
002424,,33,002424.SZ
600798,航运涨价+电煤运输+浙江国资,17,600798.SH
600259,,17,600259.SH
000638,,33,000638.SZ
600608,,22,600608.SH
600681,天然气+具身智能布局+高股息,17,600681.SH
000738,,33,000738.SZ
002565,,33,002565.SZ
002731,,33,002731.SZ
600617,天然气+山西管网+山西国资,17,600617.SH
600938,油价上涨+油气产量增长+央企,17,600938.SH
002173,,33,002173.SZ
002911,甲醇+燃气+佛山国资,33,002911.SZ
002267,天然气+管网龙头+陕西国资,33,002267.SZ
603053,天然气+燃气运营+成都国资,17,603053.SH
600397,,17,600397.SH
600961,,17,600961.SH
600770,,17,600770.SH
000968,天然气+煤层气+山西国资,33,000968.SZ
603778,固态电池+异质结光伏+光伏EPC,17,603778.SH
603619,油气开采及服务+伊拉克中标+民营龙头,17,603619.SH
600714,天青石+锶盐,17,600714.SH
600082,,17,600082.SH
002713,,33,002713.SZ
920010,天然气+算力+储气设施,151,920010.BJ
002868,,33,002868.SZ
601857,油气龙头+地缘冲突+央企增持,17,601857.SH
002792,,33,002792.SZ
603958,,17,603958.SH
600256,油气涨价+LNG+煤炭外销,17,600256.SH
000691,,33,000691.SZ
600531,,17,600531.SH
603616,拟收购兴福新材+PEEK新材料+PCCP水利,17,603616.SH
600392,,17,600392.SH
600583,油气开采+卡塔尔40亿订单+央企,17,600583.SH
000421,天然气+光储充换+南京国资,33,000421.SZ
002952,电子纸+汽车电子+外销占比高,33,002952.SZ
000609,,33,000609.SZ
001225,,33,001225.SZ
601808,油服龙头+央企,17,601808.SH
603689,天然气+管网+安徽国资,17,603689.SH
000960,,33,000960.SZ
002682,天然气+机器人+土地收储+龙岩国资,33,002682.SZ
002980,拟收购伽蓝特+光通信测试+AI眼镜+仪器仪表,33,002980.SZ
300191,涠洲5-3油田+业绩预增+油气开采,33,300191.SZ
603706,天然气+区域燃气+高股息,17,603706.SH
605255,,17,605255.SH
605368,天然气+豫南管网,17,605368.SH
600333,天然气涨价+能源托管+长春国资,17,600333.SH
001400,,33,001400.SZ
603626,,17,603626.SH
605169,天然气+LNG/CNG扩张+新疆振兴,17,605169.SH
603007,,22,603007.SH
603139,中药+农业种植+控制权变更,17,603139.SH
600381,ST博弈+高端白酒+中药大健康,22,600381.SH
000004,,33,000004.SZ
600777,美国页岩油+诉讼进展+ST板块,22,600777.SH
603080,天然气+区域燃气龙头,17,603080.SH
002903,,33,002903.SZ
920571,地缘冲突+运力扩张+绿色船舶+BDI上行,151,920571.BJ
002620,,33,002620.SZ
603500,,17,603500.SH
300483,天然气+产量倍增+地缘冲突,33,300483.SZ
600917,天然气+燃气供应+央企,17,600917.SH
301302,军工AI+军事大模型+商业航天,33,301302.SZ
000669,,33,000669.SZ
601975,油运+央企,17,601975.SH
002467,,33,002467.SZ
002297,,33,002297.SZ
002490,油气装备+中东订单+扭亏+国资背景,33,002490.SZ
600871,地缘冲突+油服工程+海外大单+央企,17,600871.SH
002054,,33,002054.SZ
603021,,22,603021.SH
000635,,33,000635.SZ
600367,碳酸钡+锶盐涨价+青岛国资,17,600367.SH
603977,,17,603977.SH
002700,天然气+新疆振兴,33,002700.SZ
600537,,17,600537.SH
600903,天然气+页岩气收购+贵州国资,17,600903.SH
605006,,17,605006.SH
300157,绿氢氨+油气资产+扭亏+压缩机,33,300157.SZ
601022,航运涨价+浙江国资+运力扩张,17,601022.SH
001269,光伏设备+半导体石英坩埚+重大采购修订,33,001269.SZ
002207,油气服务+新疆国资,33,002207.SZ
603318,燃气运营+氢能源+山东国资,17,603318.SH
002040,航运涨价+原油中转+江苏国资,33,002040.SZ
603601,,17,603601.SH
600599,,22,600599.SH
000096,成品油+化工贸易+增持妈湾电力+深圳国资,33,000096.SZ
600610,,17,600610.SH
002569,,33,002569.SZ
603261,,22,603261.SH
