涨停原因类别[20260225],market_code,code,股票代码
安徽国资拟入主+偏光片龙头+固态电池,17,600884,600884.SH
退市博弈+军工+粮食+虾青素,33,000638,000638.SZ
稀土+钢铁+内蒙古国资,17,600010,600010.SH
电子铜箔+固态电池铜箔+技改扩产,17,600110,600110.SH
黄金+锂盐+ST,33,002731,002731.SZ
磷化工+水处理剂+超跌反弹,33,300437,300437.SZ
电网设备+储能中标+新能源合同,22,600525,600525.SH
尿素涨价+甲醇+低价股,17,600227,600227.SH
有机硅龙头+机器人材料+新能源应用,33,300821,300821.SZ
人民币升值+格拉辛纸投产+特种纸龙头,17,605007,605007.SH
定增收购钨钽资产+磁选设备+江西国资,17,600397,600397.SH
不赎回转债+再生涤纶+汽车内饰,33,002998,002998.SZ
ST保壳+动保兽药+资产剥离完成,33,002868,002868.SZ
年报预增+室内设计+IP经济+一带一路,33,002811,002811.SZ
控制权变更+氢能中心+天然气,33,000593,000593.SZ
磷化工+聚甲醛+国企改革,17,600096,600096.SH
锂矿+人形机器人+伺服电机,33,002176,002176.SZ
玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销,17,600545,600545.SH
半导体的人来了+房地产+创投,33,000609,000609.SZ
机器人概念+工业缝纫机+股权转让+国资背景,33,002021,002021.SZ
影视传媒+诉讼胜诉+湖北国资,22,600136,600136.SH
磷化工+埃及项目+年报预增,33,300505,300505.SZ
算力订单+液冷服务器+AR/VR+风电EPC,17,605289,605289.SH
燃料电池+石墨电极+人形机器人+国企改革,33,000581,000581.SZ
化肥+磷矿建设+复合肥龙头,33,002470,002470.SZ
锌铜冶炼+金属铟+黄金概念,33,000751,000751.SZ
高速树脂+AI服务器+业绩预增,17,601208,601208.SH
,33,000004,000004.SZ
商业航天+天目一号+央企,33,000547,000547.SZ
磷化工+新材料+扭亏,17,600078,600078.SH
AI数据标注+央企背景+业绩预增,33,000839,000839.SZ
,17,603103,603103.SH
GenSci141软膏+获批临床+国企,33,000661,000661.SZ
,17,603533,603533.SH
预重整推进+海南文旅+国资入主,33,000793,000793.SZ
金属铜+智慧农业+外销占比高,33,000816,000816.SZ
庭外重组+天然气+扭亏,33,000669,000669.SZ
锗精矿+铅锌矿+锌冶炼+曲靖国资,33,002114,002114.SZ
矿产资源+磷矿+草甘膦,17,603077,603077.SH
靶材+业绩预增+稀土永磁+央企,17,600206,600206.SH
生物航煤+扭亏+出口白名单,22,603822,603822.SH
特高压+海上风电+电网设备,33,002498,002498.SZ
AMD合作+半导体芯片测试探针+业绩扭亏,17,688661,688661.SH
数控机床+退市风险+ST板块,22,600243,600243.SH
实控人变更+潮玩玩具+机器人概念,33,002348,002348.SZ
磷矿+磷化工+化肥+有色金属,33,002538,002538.SZ
磷化铟+光芯片+铝轮毂出口,33,002725,002725.SZ
硅片扩产+刻蚀硅材+存储芯片,17,688432,688432.SH
拟并购嘉合劲威+存储芯片+智慧城市,17,605178,605178.SH
AI出版+IP运营+动漫文创+国企,33,300788,300788.SZ
重组预案+半导体材料+个护用品,33,300658,300658.SZ
玻璃微纤维+SpaceX传闻+高效滤材,17,603601,603601.SH
油气开采+哈萨克斯坦油田,17,600759,600759.SH
房产经纪+长租公寓+商业资产管理,33,000560,000560.SZ
钨矿增储+PCB钻针棒扩产,33,000657,000657.SZ
钛白粉+减产+转型橡胶,33,000545,000545.SZ
金属铟+ITO靶材+鑫联科技拟注入,33,000711,000711.SZ
地下管网+专精特新+次新股,33,001396,001396.SZ
有机硅+减亏+ST博弈,33,002211,002211.SZ
商业航天+T/R芯片+扭亏为盈,33,001270,001270.SZ
商业航天+锗晶片+小金属,33,002428,002428.SZ
光纤概念+重大资产出售+钢帘线,33,000890,000890.SZ
卤味龙头+预制菜,17,603057,603057.SH
退市博弈+机器人+ST板块,22,600355,600355.SH
文旅转型+机器人合作+智能钢琴+广州国资,33,002678,002678.SZ
锂矿放量+铁矿龙头+固态电池,33,001203,001203.SZ
磷化工+化肥+精制磷酸,17,600470,600470.SH
稀土永磁+业绩预增+内蒙古国资,17,600111,600111.SH
浆纸一体化+复工复产+山东国资,33,000488,000488.SZ
酱香型白酒+退市风险+ST板块,22,600696,600696.SH
ST板块+LPG分销+年报预盈,22,600753,600753.SH
,33,001330,001330.SZ
POE催化剂+拟收购+军工材料+高分子助剂,33,301100,301100.SZ
扭亏为盈+房地产去化+跨境物流转型,33,000668,000668.SZ
玻璃玻纤+机器人+柔性玻璃+回购,33,000012,000012.SZ
TDI涨价+特种PC+央企改革,17,600230,600230.SH
AI智家+拟收购万德溙+家居定制,17,600337,600337.SH
家居服龙头+IP经济+跨境电商,33,001209,001209.SZ
钛材项目+钛精矿龙头+小金属涨价,33,002978,002978.SZ
MLCC涨价+AI算力+广东国资,33,000636,000636.SZ
AI设计+装配式建筑+新型城镇化,33,002949,002949.SZ
球形硅微粉+纳米二氧化硅+人形机器人,33,301373,301373.SZ
退市博弈+轻型输送带+两岸融合,22,603580,603580.SH
小金属+锡锑锌铟+增储扩产+国企改革,17,600301,600301.SH
特钢转型+河南国资,17,600569,600569.SH
扭亏为盈+光耦合器+珠海国资,33,002047,002047.SZ
盐湖提锂+城市更新+地产开发,33,000036,000036.SZ
一带一路+超临界锅炉+ST摘帽预期,33,002630,002630.SZ
生物医药+ST板块,33,000518,000518.SZ
钨价上调+钨产业链+业绩预增,33,002378,002378.SZ
VLCC油运+业绩预增+央企,17,601872,601872.SH
船舶制造+业绩预增+大额订单,22,603268,603268.SH
火电+新能源+江西国资,33,000899,000899.SZ
重整预期+无人环卫+固废处置,33,000826,000826.SZ
业绩大增+REITs扩募+上海国资,17,600649,600649.SH
钛白粉+珠光材料+低空经济,17,603826,603826.SH
功率半导体+商业管理+增持,33,000056,000056.SZ
无人配送+氢能源+无人机+ST摘帽,33,000903,000903.SZ
半导体封装+国资背景+精装修,33,002989,002989.SZ
参股算力+火电+绿电储备+河南国资,33,001896,001896.SZ
智慧城市+深圳国资+减亏+ST板块,33,002528,002528.SZ
有色金属+国际工程承包+央企,33,000758,000758.SZ
电解铝中标+盐湖提锂+央企,17,601068,601068.SH
钽铌制品+定增注册获批+商业航天,33,000962,000962.SZ
童装童鞋+电解铝+ST板块,22,603557,603557.SH
