股票代码,code,涨停原因类别[20260702],market_code
002491.SZ,002491,,33
603001.SH,603001,,17
002250.SZ,002250,创新药+六氟磷酸锂+新能源+分红,33
600165.SH,600165,长链二元酸+布局藻油+ST板块,22
603717.SH,603717,生猪养殖+拟设AI公司+功能性红曲+光伏,17
002409.SZ,002409,,33
002995.SZ,002995,AI营销+字节概念+持股中书艺莲+VR文旅,33
603608.SH,603608,多品牌女鞋+网红经济+可转债到期+控制权变更,17
605286.SH,605286,算电协同+储能+风电+电梯部件,17
002542.SZ,002542,保壳+低空经济+成都国资,33
002674.SZ,002674,磷化铟收购+机器人电子皮肤+汽车内饰皮革,33
001313.SZ,001313,特种水产饲料+生物科技+越南投产,33
002547.SZ,002547,破产重整预期+5G通信技术+汽车零部件,33
002977.SZ,002977,商业航天+固态微波前端+摘帽预期,33
603283.SH,603283,,17
002106.SZ,002106,,33
002427.SZ,002427,涤纶工业丝+海工装备+国企改革,33
000601.SZ,000601,业绩预增+清洁能源改造+算电协同,33
600480.SH,600480,人形机器人+液冷+央企,17
000909.SZ,000909,资产整合+杭州国资+大功率充电桩,33
000016.SZ,000016,追偿1.67亿+华润保壳预期+PCB存储芯片+央企,33
002656.SZ,002656,撤销退市风险警示+电工产品+服装,33
002931.SZ,002931,优必选入主+机器人概念+园林机械零部件,33
600228.SH,600228,,17
002634.SZ,002634,重整通过+美年健康入主+无缝服装+ST板块,33
603338.SH,603338,机器人+电动化+世界杯概念,17
605189.SH,605189,人形机器人+PEEK材料+业绩增长+筒子纱龙头,17
002175.SZ,002175,控制权变更+复牌+碳基新材料+智能制造,33
002020.SZ,002020,首仿获批+精神分裂症+创新药+股份回购,33
603986.SH,603986,,17
002360.SZ,002360,债务重整+民爆一体化+执行终结,33
600172.SH,600172,培育钻石+金刚石散热+许昌国资,17
600084.SH,600084,葡萄酒+一季报增长+董事长变更+央企,22
002198.SZ,002198,ST摘帽+中成药+创新药,33
603083.SH,603083,,17
600537.SH,600537,预重整+光伏组件+ST板块,22
600107.SH,600107,服装主业+诉讼回款+ST板块,22
000595.SZ,000595,脱星摘帽+新能源发电+宁夏国资+控股股东增持,33
603505.SH,603505,制冷剂涨价+萤石龙头+AI液冷,17
002696.SZ,002696,水产饲料+超级鱼粉涨价+国企改革,33
002971.SZ,002971,六氟化钨+电子特气+氟化工,33
002371.SZ,002371,,33
002354.SZ,002354,具身智能数据集+3D视觉+算力租赁+AI营销,33
601718.SH,601718,澄清无退市风险+军需品+ST板块+央企,22
000010.SZ,000010,ST板块+庭外重组+工程施工,33
002569.SZ,002569,控制权变更+男装品牌+ST板块,33
002305.SZ,002305,摘帽预期+扭亏为盈+城市运营+央企,33
002735.SZ,002735,,33
600759.SH,600759,ST板块+油气开采+控制权变更预期,22
000823.SZ,000823,,33
000955.SZ,000955,海南自贸区+非织造材料+转型升级,33
000021.SZ,000021,,33
301019.SZ,301019,POE胶膜+色母粒+化工,33
000677.SZ,000677,第一大股东增持+低空经济+帘子布,33
002693.SZ,002693,许可协议+紫杉醇+海南自贸区+扭亏,33
000890.SZ,000890,参股光纤公司+金属制品+环保业务,33
601010.SH,601010,ST板块+零售+回购注销,22
600491.SH,600491,司法拍卖中止+面值退市博弈+基建投资,22
002102.SZ,002102,维生素E+回购注销+国资+ST板块,33
301092.SZ,301092,半导体超纯水+离子交换树脂+核电+减肥药,33
000520.SZ,000520,干散货航运+船舶购置+一季度扭亏,33
000572.SZ,000572,海南自贸港+氢能汽车+换电+出口,33
