code,股票代码,涨停原因类别[20260806],market_code
605366,605366.SH,光纤概念+高纯四氯化硅+功能性硅烷,17
002552,002552.SZ,覆铜板+黄金+业绩增长+国企,33
601678,601678.SH,高纯氟化氢+环氧丙烷+H股上市+半年报预增,17
300311,300311.SZ,AI安全+网络安全+摘帽,33
688693,688693.SH,资产重组+功率半导体+SiC MOSFET,17
002963,002963.SZ,液冷服务器+智慧灯杆+照明工程,33
688549,688549.SH,六氟化钨+存储芯片+电子化学品,17
600127,600127.SH,粮食概念+大健康食品+湖南国资,17
300386,300386.SZ,数字支付+零售数字化+安全芯片,33
002649,002649.SZ,金融科技+AI应用+IT服务,33
000692,000692.SZ,供热工程+风电+亏损收窄,33
603823,603823.SH,光刻胶+PEEK材料+战略入股,17
600326,600326.SH,水泥+矿产+西藏国资,17
600156,600156.SH,算力租赁+绿色智算中心+拟收购易信科技+湖南国资,17
002428,002428.SZ,磷化铟+重大合同+锗业龙头,33
600601,600601.SH,PCB+光模块+业绩预增+珠海国资,17
002485,002485.SZ,ST板块+实控人变更预期+文旅+供应链,33
002376,002376.SZ,打印扫描+机器人概念+中报预增,33
603988,603988.SH,电机+风电+储能+上游资源,17
000720,000720.SZ,终止委托管理+电缆+光纤+实控人中国华能,33
003040,003040.SZ,AI应用+数字政务+数字人民币,33
002915,002915.SZ,电子化学品+氟化工+PEEK材料+萤石矿,33
600397,600397.SH,钨钽铌资产注入+磁选装备+江西国资,17
000908,000908.SZ,创新药+中药+石药入主+中报扭亏,33
003029,003029.SZ,数字货币+密码安全+商业航天,33
002826,002826.SZ,化学制药+米格列醇片+设立AI公司+半年报预增,33
002759,002759.SZ,六氟磷酸锂+化工+ST摘帽预期,33
605336,605336.SH,重大资产重组+集成灶+保壳,22
002792,002792.SZ,拟入股佳贤通信+英伟达相关+卫星通信+光模块,33
600665,600665.SH,房地产+资产出售+跨界并购+国企,17
003036,003036.SZ,电子布织机+固态电池+机器人概念+纺织机械,33
603421,603421.SH,智能电网+液流储能+消防,17
001267,001267.SZ,光模块+重大资产重组+CPO+代工,33
002212,002212.SZ,AI安全+腾讯生态+智算云,33
002973,002973.SZ,人形机器人+智慧城服+环卫保洁,33
002052,002052.SZ,算力电源+锂电池+电源产品,33
601666,601666.SH,主焦煤龙头+河南国资,17
603228,603228.SH,AI算力PCB+光模块+汽车电子PCB,17
603773,603773.SH,TGV玻璃基板+CPO+先进封装,17
600188,600188.SH,煤炭+煤化工+中报预增+山东国资,17
301251,301251.SZ,AI服务器电源PCB+定增扩产+光模块,33
600262,600262.SH,无人驾驶+新能源矿车+国企改革,17
603221,603221.SH,复牌+拟收购欧康诺+存储测试+PVC地板,17
002827,002827.SZ,控股股东拟变更+矿山投资开发+民爆+西藏国资,33
603078,603078.SH,实控人拟变更+G5级湿电子化学品+半导体+上海国资,17
603106,603106.SH,金融智能终端+AI应用+金融信创,17
600721,600721.SH,CRO+创新药+金华国资入主,17
600985,600985.SH,煤炭+煤化工+安徽国资+高股息,17
300903,300903.SZ,陶瓷PCB+AI算力+存储,33
002686,002686.SZ,控制权变更+数据中心+风机龙头,33
002667,002667.SZ,钨锡铅锌矿+碳酸锂+ST板块,33
002369,002369.SZ,对外投资+消费电子+机器人概念,33
600272,600272.SH,医药商业+SPD+半年报预增+上海国资,17
603122,603122.SH,AI医疗+体外诊断+业绩改善,17
002407,002407.SZ,半导体级氢氟酸+六氟磷酸锂+中报预增,33
600892,600892.SH,短剧+游戏+摘帽+唐山国资,17
000839,000839.SZ,AI应用+内容审核+数据标注+央企,33
600330,600330.SH,光模块上游+铌酸锂+软磁材料+AI算力,17
300615,300615.SZ,控制权变更+高溢价转让+射频器件,33
600584,600584.SH,先进封装+半年报预增+央企,17
601101,601101.SH,煤炭+甲醇+中报预增+北京国资,17
300540,300540.SZ,氦气+商业航天+国企改革+气体投资,33
600363,600363.SH,,17
600206,600206.SH,半年报增长+半导体靶材+聚焦集成电路+央企,17
002194,002194.SZ,6G预研+商业航天+滤波器龙头,33
002721,002721.SZ,数字货币+黄金珠宝+海淀国资,33
600829,600829.SH,医药商业+健康消费+DTP药房+哈药集团,17
603285,603285.SH,拟收购+赛克+电磁线漆,17
600403,600403.SH,煤炭+中报减亏+河南国资,17
603738,603738.SH,光模块晶振+CPO+半年报预增,17
002425,002425.SZ,游戏IP+AI应用+半年报预计扭亏,33
601700,601700.SH,特高压+中报预增+国企改革,17
002104,002104.SZ,数字人民币+中标+智能卡+数据安全,33
600758,600758.SH,煤炭+热电+辽宁国企,17
603039,603039.SH,AI应用+半年报预增+协同办公,17
603123,603123.SH,数字人民币+跨境支付+AI应用+北京国资,17
002214,002214.SZ,摘帽+红外热像仪+无人驾驶+新能源,33
002180,002180.SZ,国产打印机+端侧AI芯片,33
002971,002971.SZ,六氟化钨+电子特气+大宗气体,33
001378,001378.SZ,功能性BOPP薄膜+锂电池膜+中报预增,33
002302,002302.SZ,核电+预拌混凝土+国企改革,33
300711,300711.SZ,6G概念+AI应用+电力调度+广州国资,33
002975,002975.SZ,AI服务器测试+MLCC设备+英伟达+中报预增,33
601699,601699.SH,喷吹煤龙头+上马煤矿探转采+山西国资,17
