涨停原因类别[20260812],股票代码,market_code,code
光纤光缆+光棒扩产+中报预计扭亏,002491.SZ,33,002491
定增获批+精酿鲜啤+液态食品装备,603076.SH,17,603076
机器人+算力+生猪养殖,000048.SZ,33,000048
机器人+精密减速器+具身智能,002164.SZ,33,002164
创新药+中药+浙江国资,600572.SH,17,600572
涤纶化纤+不再持有索尔思光电+创投+国企改革,000936.SZ,33,000936
定增获批+AI数据中心+华为超充+输配电全产业链,603191.SH,17,603191
地产开发+商业运营+物业管理,601155.SH,17,601155
百货零售+首店经济+IP经济,000715.SZ,33,000715
民营房企龙头+销售额逆势增长+杭州地产,002244.SZ,33,002244
汽车软内饰+海外产能+新能源客户,001260.SZ,33,001260
算电协同+储能+电梯部件,605286.SH,17,605286
算力租赁+彩票印刷+成立科技公司,002229.SZ,33,002229
机器人概念+AI医疗+减持届满,301602.SZ,33,301602
钨钽铌资产注入+磁选装备+国企改革,600397.SH,17,600397
水产饲料+业绩预增+战略并购,001313.SZ,33,001313
模块化数据中心+算力租赁+央企入主,603887.SH,17,603887
乳业+新式茶饮+奶水牛种源,002329.SZ,33,002329
AI应用+工业智能体+上海,301315.SZ,33,301315
拟入股佳贤通信+英伟达概念+卫星通信+光模块,002792.SZ,33,002792
举牌+天然气+氢能,000593.SZ,33,000593
智算中心+AI产业基金+上海国资,600602.SH,17,600602
签署重整投资协议+实控人拟变更,000838.SZ,33,000838
生态环保+重大资产重组+央企,300197.SZ,33,300197
光通信+掺稀土光纤+商业航天+次新股,688635.SH,17,688635
真空灭弧室+特高压+氦气+央企,600379.SH,17,600379
AI算力+液冷服务器+2026中报预增,605289.SH,17,605289
换电合作+机器人+国企改革,002682.SZ,33,002682
CRO+金华国资+仿制药,600721.SH,17,600721
《欢迎来龙餐馆》上映+影视全产业链+半年报减亏,000802.SZ,33,000802
算力租赁+定增+建筑工程,600234.SH,17,600234
航空发动机+机器人概念+资产置换,001696.SZ,33,001696
人形机器人+液冷服务器+汽车零部件,000887.SZ,33,000887
实控人变更+天然气+ST板块,000669.SZ,33,000669
间接持股宇树科技+房地产+北京国资,600376.SH,17,600376
电子胶+CPO+半年报预盈+出售子公司,603330.SH,17,603330
一体化压铸+注塑机+海外业务,603289.SH,17,603289
拟收购岚创科技+真空镀膜设备+环境监测+低空经济,300862.SZ,33,300862
AI医疗+智慧城市+数字能源,002178.SZ,33,002178
零售+黄金+杭州金帝入主,600857.SH,17,600857
铝全产业链+拟定增+中报预增,002379.SZ,33,002379
硅光芯片+CPO+功能性器件,603052.SH,17,603052
中报预增+国资入主+低空经济+客运龙头,002357.SZ,33,002357
消防机器人+海外业务+新加坡子公司,920856.BJ,151,920856
覆铜板+黄金+业绩预增+地方国资,002552.SZ,33,002552
控制权变更预期+汽车零部件+一季报增长+ST板块,603922.SH,22,603922
创新药+神经退行性疾病+仿制药龙头,002437.SZ,33,002437
间接投资长存+园区数字经济+上海国资,600604.SH,17,600604
数据中心液冷+核电冷却+冷却塔,603269.SH,17,603269
供热工程+风电+亏损收窄,000692.SZ,33,000692
电子元器件分销+半年报预盈+家居塑料,603615.SH,17,603615
光纤+电缆+终止委托管理+实控人中国华能,000720.SZ,33,000720
AI验布机+纺织机械+高端装备,603095.SH,17,603095
工业母机+谐波减速器+圆台磨床中标,002248.SZ,33,002248
具身智能+AI教育+中报扭亏,003032.SZ,33,003032
要约收购+建筑总包+绿色建筑,600491.SH,22,600491
光伏设备+钙钛矿电池+氢能装备,603396.SH,17,603396
白酒+渠道稳健+江苏国资,603369.SH,17,603369
定增落地+机器人+电子皮肤+智能座舱,002870.SZ,33,002870
人形机器人+RV减速器+轮胎模具,002031.SZ,33,002031
光芯片订单+CPO+中报预增,600105.SH,17,600105
大消费+调味品+一季报增长,603696.SH,17,603696
工业母机+商业航天+央企国资,000410.SZ,33,000410
北京地产+商业航天+北京国资,600266.SH,17,600266
创新药+AI应用+医药流通,002589.SZ,33,002589
AI算力PCB+光模块+通信业务增长,603228.SH,17,603228
电磁线+机器人概念+中报分红,603897.SH,17,603897
脑机接口+医疗服务+高压氧舱+国企改革,002172.SZ,33,002172
半年报增长+牛散新进+GLP-1减肥药+CDMO,603538.SH,17,603538
机器人概念+烟气脱硫+环保+四川国资,002573.SZ,33,002573
人形机器人+真空镀膜+发动机核心零部件+回购注销,603758.SH,17,603758
铟+铋材料+离子注入设备+半导体设备,600641.SH,17,600641
资产重组+拟购光电子资产+TOD轨道物业+北京国资,600683.SH,17,600683
轻资产运营+中交房地产控股+数据中心+中报预计扭亏,000736.SZ,33,000736
关税退税+机器人概念+商用餐饮设备,603277.SH,17,603277
船舶大单+海工装备+广州国资,002483.SZ,33,002483
光耦合器+股权转让+国企改革,002047.SZ,33,002047
LED+车载照明+小家电+摘帽,002005.SZ,33,002005
乳业+烘焙食品+米制鲜食,605179.SH,17,605179
红枣龙头+参股鸣鸣很忙+大消费,002582.SZ,33,002582
具身智能+AI视频生成+中报预增,603466.SH,17,603466
算力租赁+广电网络+湖北国资,000665.SZ,33,000665
创新药+预重整+重整投资人招募+长春国资,600881.SH,17,600881
洁净室+海外大单+建筑装饰,002081.SZ,33,002081
半导体设备+长鑫科技+国产替代,603690.SH,17,603690
算力+IDC+家居商贸+房地产,600162.SH,17,600162
债务重组+物业管理+业绩减亏+高管增持,002146.SZ,33,002146
AI智能体+AIoT平台+新皇岗口岸+半年报减亏,002421.SZ,33,002421
特高压+中报预增+国企改革,601700.SH,17,601700
维生素+PEEK材料+半年报预增,002562.SZ,33,002562
半年报增长+BIPV+海外幕墙,601886.SH,17,601886
维生素+创新药+股份回购,600216.SH,17,600216
抗量子密码+AI安全+PKI龙头,603232.SH,17,603232
宠物经济+维生素+营养保健食品+半年报营收增长,603102.SH,17,603102
人形机器人+数控螺纹磨床+半年报扭亏+股权激励,002520.SZ,33,002520
定增+光通信+微纳光学+CPO,688167.SH,17,688167
