股票代码,code,market_code,涨停原因类别[20260720]
002193.SZ,002193,33,
605389.SH,605389,17,
600360.SH,600360,17,
002141.SZ,002141,33,
301176.SZ,301176,33,
002972.SZ,002972,33,
002816.SZ,002816,33,
002409.SZ,002409,33,
000596.SZ,000596,33,白酒+全国化次高端+国企改革
001268.SZ,001268,33,
002731.SZ,002731,33,
600726.SH,600726,17,热电联产+煤炭+新能源转型+央企
688059.SH,688059,17,
600938.SH,600938,17,油价上涨+油气开采+央企
002542.SZ,002542,33,拟申请重整+低空经济+成都国资
688500.SH,688500,17,
002674.SZ,002674,33,
603407.SH,603407,17,
001331.SZ,001331,33,
688260.SH,688260,17,
002547.SZ,002547,33,
001359.SZ,001359,33,
002008.SZ,002008,33,
603619.SH,603619,17,油气开采+中东布局
603757.SH,603757,17,
002713.SZ,002713,33,
002759.SZ,002759,33,
000767.SZ,000767,33,火电+煤电一体化+新能源+山西国资
603115.SH,603115,17,
603283.SH,603283,17,
600869.SH,600869,17,
603065.SH,603065,17,
003036.SZ,003036,33,
600302.SH,600302,22,
003043.SZ,003043,33,
002536.SZ,002536,33,
002857.SZ,002857,33,康养机器人+储能+智能电网
600188.SH,600188,17,煤炭+煤化工+中报预增+山东国资
605589.SH,605589,17,
002805.SZ,002805,33,
600520.SH,600520,17,
603316.SH,603316,17,
002931.SZ,002931,33,
600744.SH,600744,17,火电+新能源+定增获批+央企
301520.SZ,301520,33,
601898.SH,601898,17,控股股东增持+煤炭+煤化工+央企
688146.SH,688146,17,
001400.SZ,001400,33,
603139.SH,603139,17,
601208.SH,601208,17,
600234.SH,600234,17,
001211.SZ,001211,33,日用餐厨具+以竹代塑+新材料
600353.SH,600353,17,
002965.SZ,002965,33,
603391.SH,603391,17,
600863.SH,600863,17,电力+新能源+煤电联营+央企
002747.SZ,002747,33,
300005.SZ,300005,33,
600452.SH,600452,17,股权划转+配电网节能+电力+央企
603533.SH,603533,17,此前炒作Kimi+AI短剧+海外扩张+半年报减亏
603688.SH,603688,17,
002360.SZ,002360,33,
603459.SH,603459,17,
600172.SH,600172,17,
603270.SH,603270,17,
002490.SZ,002490,33,油气装备+海外大单+山东国资
603083.SH,603083,17,
688386.SH,688386,17,
002272.SZ,002272,33,
003020.SZ,003020,33,
002943.SZ,002943,33,
300780.SZ,300780,33,
002348.SZ,002348,33,
603683.SH,603683,17,
002971.SZ,002971,33,
000779.SZ,000779,33,
600857.SH,600857,17,
002484.SZ,002484,33,
002354.SZ,002354,33,
002937.SZ,002937,33,
603666.SH,603666,17,
605178.SH,605178,17,
600226.SH,600226,17,
603052.SH,603052,17,
002741.SZ,002741,33,
