market_code,涨停原因类别[20260716],股票代码,code
33,努比亚AI手机+石墨烯散热+反光材料,002632.SZ,002632
33,院线龙头+暑期档+IP潮玩,002739.SZ,002739
17,AI医疗+华为合作+医疗大模型出海+国企,603108.SH,603108
17,,600360.SH,600360
17,消费电子+华为产业链+机器人+福建国资,600203.SH,600203
33,,002080.SZ,002080
33,,000988.SZ,000988
33,商业航天+无人系统+中报扭亏,002829.SZ,002829
17,,603137.SH,603137
22,,600759.SH,600759
151,微型电声+消费电子+AI眼镜+泰国建厂,920701.BJ,920701
17,中成药集采+中药全产业链,603567.SH,603567
33,PCB铜箔+AI算力+消费电子,301176.SZ,301176
33,第一大股东增持+低空经济+帘子布,000677.SZ,000677
17,,600288.SH,600288
33,音响电声+智能音箱+AI眼镜,002045.SZ,002045
33,债务代偿+预重整+猪肉+半年报减亏,002726.SZ,002726
17,,605376.SH,605376
33,ST板块+黄金珠宝+超跌反弹,002731.SZ,002731
33,现金收购白银华鑫+金属回收+数据中心+耐磨材料,002760.SZ,002760
33,脑机接口+医疗器械注册证+股份回购,002173.SZ,002173
33,,002674.SZ,002674
17,锆材+氧氯化锆涨价+存储芯片材料,603407.SH,603407
17,新质零售+股权转让终止+区域零售龙头,600785.SH,600785
17,,600909.SH,600909
17,AI手机+折叠屏+苹果概念+福建国资,603327.SH,603327
33,人形机器人+汽车线束+汽车连接器+广州国资,001365.SZ,001365
22,要约收购+建筑总包+绿色建筑,600491.SH,600491
33,,002759.SZ,002759
17,,603115.SH,603115
17,,603065.SH,603065
33,品牌授权+互联网营销+AI应用+中报预增,002127.SZ,002127
33,绿色能源+光伏+工程EPC+佛山国资,002775.SZ,002775
17,机器人+泵类龙头+飞行汽车+业绩扭亏,603178.SH,603178
33,,002123.SZ,002123
17,AI影视+IP商业化+上海国资,601595.SH,601595
33,,002289.SZ,002289
17,中药+创新药+国企改革,600436.SH,600436
17,算力租赁+人工智能+上海国资,600602.SH,600602
33,端侧AI+物理AI+算力模组+人形机器人,002881.SZ,002881
33,,000838.SZ,000838
33,AI营销+数字零售+拼多多概念,300805.SZ,300805
17,,603163.SH,603163
33,无人环卫+机器人+智慧环卫,001230.SZ,001230
17,,605255.SH,605255
33,手机分销+鸿蒙生态+中报扭亏+深圳国资,000829.SZ,000829
33,牛磺酸+化学制药+中报预增,002365.SZ,002365
33,,002772.SZ,002772
33,,002185.SZ,002185
33,细胞医疗+中报预增+湖南国资,000504.SZ,000504
17,,600641.SH,600641
33,创新药+化学制药+脑机接口+央企,000566.SZ,000566
17,AI医疗+创新药+脑机接口,603716.SH,603716
17,中报预增+基药目录+创新药+化学制药,600664.SH,600664
17,控制权拟变更+复牌+轻型输送带+消费电子,603580.SH,603580
151,退市整理期投机+大数据存储+AI大模型,920305.BJ,920305
17,,600353.SH,600353
22,污水处理+增持+中报扭亏,600187.SH,600187
33,互动影游+短剧+AI应用,000892.SZ,000892
33,,002208.SZ,002208
17,,600584.SH,600584
17,,603629.SH,603629
17,,603669.SH,603669
22,,603398.SH,603398
17,间接投资长江存储+算力+上海出租车,600611.SH,600611
33,风电光伏+定增获批+半年报预增+新疆国资,001258.SZ,001258
33,,002851.SZ,002851
17,,600667.SH,600667
17,,603713.SH,603713
17,,603931.SH,603931
17,家居商贸+房地产,600162.SH,600162
33,,001309.SZ,001309
33,中报预增+华为鲸鸿+互联网媒体+广告,000676.SZ,000676
33,中报扭亏+玉米油+资产剥离+高管增持,000639.SZ,000639
17,,603698.SH,603698
33,,003020.SZ,003020
33,AI手机+AI眼镜+联想供应链+精密结构件,300968.SZ,300968
33,,003018.SZ,003018
17,,603683.SH,603683
33,储能出海+回购提价+配电设备,002350.SZ,002350
17,华为昇腾+AI算力底座+拟收购数珩科技,603496.SH,603496
22,,600730.SH,600730
33,,002975.SZ,002975
33,房地产+拟收购晶华电子+深圳国资,000014.SZ,000014
17,,603928.SH,603928
33,半导体超纯水膜+盐湖提锂+央企,000920.SZ,000920
