code,所属概念,market_code,所属概念数量,股票代码
688648,机器视觉;无人驾驶;专精特新;华为概念;人工智能;阿里巴巴概念;机器人概念;抖音概念(字节概念);无人机;智能物流;拼多多概念;国企改革;统一大市场;沪股通;中字头股票;融资融券,17,16,688648.SH
688020,PCB概念;先进封装;华为手机;5G;PET铜箔;消费电子概念;小米概念;专精特新;华为概念;稀土永磁;融资融券,17,11,688020.SH
301188,医疗器械概念;回购增持再贷款概念;融资融券,33,3,301188.SZ
688226,共封装光学(CPO);数据中心;东数西算(算力);智能电网;华为概念;特斯拉概念;专精特新;光伏概念;储能;HJT电池;风电;钠离子电池;沪股通;融资融券,17,14,688226.SH
300776,BC电池;钙钛矿电池;TOPCON电池;HJT电池;MicroLED概念;第三代半导体;先进封装;OLED;光伏概念;MiniLED;芯片概念;消费电子概念;PCB概念;融资融券;深股通,33,15,300776.SZ
301278,钙钛矿电池;光伏概念;光伏建筑一体化;储能;充电桩;专精特新;机器人概念;融资融券,33,8,301278.SZ
000751,金属锌;金属铅;黄金概念;金属铜;小金属概念;金属回收;深股通,33,7,000751.SZ
002397,C2M概念;三胎概念;智能家居;网红经济;IP经济(谷子经济),33,5,002397.SZ
603318,天然气;氢能源;国企改革;一带一路;股权转让(并购重组);专精特新;融资融券,17,7,603318.SH
600052,体育产业;文化传媒概念;国企改革;储能;锂电池概念,17,5,600052.SH
000990,煤化工概念;POE胶膜;人造肉;NMN概念;工业大麻;氢能源;碳中和;燃料电池;合成生物;国企改革;民营医院;OLED;医美概念;小米概念;深股通;融资融券,33,16,000990.SZ
600683,特色小镇;土地流转;物业管理;旅游概念;养老概念;国企改革;京津冀一体化;创投,17,8,600683.SH
600234,物业管理;抖音概念(字节概念);文化传媒概念;摘帽,17,4,600234.SH
002081,装配式建筑;新型城镇化;PPP概念;光伏建筑一体化;一带一路;长三角一体化;智能家居;人工智能;芯片概念;第三代半导体;深股通;融资融券,33,12,002081.SZ
601512,参股券商;新型城镇化;国企改革;污水处理;一带一路;创投;长三角一体化;绿色电力;2025年报预增;储能;光伏概念;充电桩;沪股通,17,13,601512.SH
603637,碳中和;氢能源;国企改革;天然气,17,4,603637.SH
603618,光纤概念;特高压;抽水蓄能;智能电网;风电;光伏概念;储能;PET铜箔;石墨烯;5G;共同富裕示范区;新能源汽车;锂电池概念;沪股通;融资融券,17,15,603618.SH
002194,卫星导航;5G;毫米波雷达;商业航天;华为概念;职业教育;芯片概念;军工;汽车电子;创投;融资融券;深股通,33,12,002194.SZ
605365,人民币贬值受益;家用电器;跨境电商;智能物流;一带一路;福建自贸区;海峡两岸;传感器;新型工业化;智能家居;机器人概念;安防;物联网;毫米波雷达;华为概念;人工智能;鸿蒙概念;沪股通,17,18,605365.SH
002360,可降解塑料;民爆概念;光伏概念,33,3,002360.SZ
601061,金属铜;金属锌;黄金概念;小金属概念;金属镍;超导概念;一带一路;国企改革;同花顺中特估100;沪股通;中字头股票;融资融券,17,12,601061.SH
600703,MicroLED概念;MiniLED;汽车芯片;第三代半导体;先进封装;AI眼镜;芯片概念;共封装光学(CPO);消费电子概念;小米概念;苹果概念;商业航天;5G;卫星导航;光伏概念;无人驾驶;比亚迪概念;数据中心;华为汽车;新能源汽车;充电桩;数字经济;福建自贸区;海峡两岸;金属回收;同花顺漂亮100;沪股通;融资融券,17,28,600703.SH
000811,液冷服务器;超导概念;3D打印;可控核聚变;核电;数据中心;海工装备;军工;空气能热泵;新能源汽车;储能;中芯国际概念;机器人概念;海峡两岸;燃料电池;雅下水电概念;水利;中俄贸易概念;氢能源;固态电池;碳中和;回购增持再贷款概念;智能物流;创投;人工智能;国企改革;体育产业;冷链物流;冰雪产业;宠物经济;天然气;融资融券;深股通,33,33,000811.SZ
001234,体育产业;三胎概念;长三角一体化;国企改革;股权转让(并购重组),33,5,001234.SZ
003018,液冷服务器,33,1,003018.SZ
000062,2026一季报预增;存储芯片;华为海思概念股;芯片概念;第三代半导体;汽车电子;粤港澳大湾区;比亚迪概念;华为概念;共封装光学(CPO);新能源汽车;6G概念;人民币贬值受益;华为昇腾;2025年报预增;腾讯概念;机器人概念;互联网金融;创投;AI智能体;智慧城市;雄安新区;深股通;融资融券;证金持股;传感器;人形机器人,33,27,000062.SZ
002938,共封装光学(CPO);PCB概念;富士康概念;同花顺果指数;MiniLED;AI PC;汽车电子;苹果概念;消费电子概念;AI眼镜;AI手机;智能穿戴;无线耳机;智能座舱;无人驾驶;商业航天;新能源汽车;人形机器人;华为概念;虚拟现实;海峡两岸;人民币贬值受益;融资融券;深股通,33,24,002938.SZ
002636,PCB概念;2025年报预增;消毒剂;医疗器械概念;深股通;融资融券,33,6,002636.SZ
605376,金属镍;小金属概念;硅能源;3D打印;光伏概念;2025年报预增;锂电池概念;专精特新;人民币贬值受益;融资融券;沪股通,17,11,605376.SH
002432,血氧仪;流感;智能医疗;天津自贸区;医疗器械概念;AI应用;回购增持再贷款概念;创投;人民币贬值受益;京津冀一体化;跨境电商;智能穿戴;养老概念;小米概念;深股通;融资融券,33,16,002432.SZ
600105,共封装光学(CPO);光纤概念;商业航天;5G;可控核聚变;3D打印;芯片概念;超导概念;军工;数据中心;东数西算(算力);华为概念;低空经济;网络安全;海工装备;数据安全;核电;比亚迪概念;专精特新;工业互联网;新能源汽车;华为汽车;2025年报预增;长三角一体化;一带一路;风电;沪股通;参股银行;融资融券,17,29,600105.SH
603115,汽车电子;专精特新;储能;高股息精选,17,4,603115.SH
