code,所属概念,所属概念数量,market_code,股票代码
301248,智谱AI;华为昇腾;多模态AI;华为鲲鹏;语音技术;财税数字化;信创;AIGC概念;AI智能体;云办公;云计算;智慧政务;网络安全;算力租赁;卫星导航;人脸识别;阿里巴巴概念;数据要素;在线教育;腾讯概念;数据确权;东数西算(算力);时空大数据;芯片概念;华为概念;区块链;智慧灯杆;数字乡村;5G;安防;人工智能;智慧城市;DeepSeek概念;数字孪生;无人机;数据中心;低空经济;华为数字能源;数字经济;物联网;智能医疗;液冷服务器;新型工业化;机器人概念;粤港澳大湾区;智能物流;智能电网;新型城镇化;AI应用;融资融券,50,33,301248.SZ
688107,汽车芯片;国家大基金持股;5G;芯片概念;汽车电子;智能座舱;人形机器人;数据中心;量子科技;无人机;无人驾驶;专精特新;机器人概念;商业航天;F5G概念;沪股通;融资融券,17,17,688107.SH
300672,汽车芯片;存储芯片;国家大基金持股;智能座舱;芯片概念;WiFi 6;卫星导航;星闪概念;无人驾驶;机器视觉;车联网(车路协同);东数西算(算力);虚拟现实;专精特新;机器人概念;物联网;鸿蒙概念;人工智能;深股通;股权转让(并购重组);融资融券,21,33,300672.SZ
300113,算力租赁;云游戏;云计算;多模态AI;Web3.0;东数西算(算力);数据确权;抖音概念(字节概念);虚拟数字人;AIGC概念;腾讯概念;AI智能体;百度概念;区块链;电子竞技;元宇宙;NFT概念;DeepSeek概念;手机游戏;英伟达概念;数据中心;文化传媒概念;人工智能;智能医疗;虚拟现实;华为概念;IP经济(谷子经济);AI应用;深股通;融资融券,30,33,300113.SZ
688316,智谱AI;算力租赁;华为欧拉;云计算;华为鲲鹏;智慧政务;信创;网络安全;东数西算(算力);英伟达概念;DeepSeek概念;数字经济;数据中心;互联网金融;华为概念;物联网;低空经济;无人驾驶;融资融券,19,17,688316.SH
300943,商业航天;卫星导航;核电;军民融合;军工;无人机;传感器;智慧城市;芯片概念;汽车热管理;燃料电池;氢能源;新能源汽车;天然气;股权转让(并购重组);融资融券,16,33,300943.SZ
301588,粤港澳大湾区;人民币贬值受益;融资融券,3,33,301588.SZ
688485,京津冀一体化;专精特新;融资融券,3,17,688485.SH
688307,光刻机;无人机;专精特新;海峡两岸;智能穿戴;机器视觉;无人驾驶;智能座舱;机器人概念;华为概念;安防;虚拟现实;人工智能;融资融券,14,17,688307.SH
301282,共封装光学(CPO);PCB概念;富士康概念;5G;汽车电子;消费电子概念;无人机;卫星导航;数据中心;商业航天;比亚迪概念;智能座舱;新能源汽车;军工;无人驾驶;海峡两岸;华为概念;低空经济;机器人概念;宁德时代概念;华为汽车;物联网;东数西算(算力);充电桩;车联网(车路协同);高铁;智能家居;储能;固态电池;创投;融资融券,31,33,301282.SZ
